,Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
54,55, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:12:28.3,+00:02:05.4,1
55,56, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:12:34,+00:02:11.1,1
56,57, Eric ROYERE Gilbert DINI,Alpine A110,64,00:12:38.1,+00:02:15.2,1
57,58, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:12:43.9,+00:02:21,1
58,59, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:55.2,+00:02:32.3,1
59,60, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:57.2,+00:02:34.3,1
60,61, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:12:59.5,+00:02:36.6,1
61,62, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:13:00.1,+00:02:37.2,1
62,63, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:13:04.6,+00:02:41.7,1
63,64, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:13:11.9,+00:02:49,1
64,65, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:13:21.8,+00:02:58.9,1
65,66, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:13:24.4,+00:03:01.5,1
66,67, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:13:27.6,+00:03:04.7,1
67,68, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:13:32.7,+00:03:09.8,1
68,69, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:13:33.8,+00:03:10.9,1
69,70, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:13:39.5,+00:03:16.6,1
70,71, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:14:26.8,+00:04:03.9,1
71,72, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:14:28.4,+00:04:05.5,1
72,73, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:15:01.9,+00:04:39,1
73,74, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:15:27,+00:05:04.1,1
74,75, Sami PAJARI Enni MÄLKÖNEN,Skoda Fabia RS,30,,+,1
0,1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:27.1,+00:00:00,10
