,Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
20,21, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:09:58.6,+00:00:56.8,12
21,22, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:04.2,+00:01:02.4,12
22,23, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:07.9,+00:01:06.1,12
23,24, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:09.7,+00:01:07.9,12
24,25, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:10.4,+00:01:08.6,12
25,26, Alessandro GINO Daniele MICHI,Citroen C3,53,00:10:19.4,+00:01:17.6,12
26,27, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:10:19.4,+00:01:17.6,12
27,28, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:10:24.1,+00:01:22.3,12
28,29, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:10:26.4,+00:01:24.6,12
29,30, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:10:26.8,+00:01:25,12
30,31, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:10:34.8,+00:01:33,12
31,32, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:10:37.8,+00:01:36,12
32,33, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:10:39.8,+00:01:38,12
33,34, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:10:40.9,+00:01:39.1,12
34,35, Eamonn BOLAND MJ ,Citroen C3,42,00:10:43.3,+00:01:41.5,12
35,36, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:10:46.7,+00:01:44.9,12
36,37, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:10:50.7,+00:01:48.9,12
37,38, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:10:53.7,+00:01:51.9,12
38,39, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:10:55.8,+00:01:54,12
39,40, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:10:57.8,+00:01:56,12
40,41, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:10:59.6,+00:01:57.8,12
41,42, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:01.5,+00:01:59.7,12
42,43, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:04.6,+00:02:02.8,12
43,44, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:11:04.6,+00:02:02.8,12
44,45, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:06.9,+00:02:05.1,12
45,46, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:07.6,+00:02:05.8,12
46,47, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:08.5,+00:02:06.7,12
47,48, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:10.8,+00:02:09,12
48,49, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:12.3,+00:02:10.5,12
49,50, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:13.7,+00:02:11.9,12
50,51, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:11:16.8,+00:02:15,12
51,52, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:11:28.8,+00:02:27,12
52,53, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:29.9,+00:02:28.1,12
53,54, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:11:31.8,+00:02:30,12
54,55, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:11:40.6,+00:02:38.8,12
55,56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:11:45.1,+00:02:43.3,12
56,57, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:11:56.7,+00:02:54.9,12
57,58, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:11:57.4,+00:02:55.6,12
58,59, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:01.2,+00:02:59.4,12
59,60, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:01.9,+00:03:00.1,12
60,61, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:12.5,+00:03:10.7,12
61,62, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:13.6,+00:03:11.8,12
62,63, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:12:44.5,+00:03:42.7,12
63,64, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:12:55.6,+00:03:53.8,12
64,65, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:13:42.4,+00:04:40.6,12
65,66, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:13:47.6,+00:04:45.8,12
66,67, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:14:19.7,+00:05:17.9,12
67,68, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:17:00.4,+00:07:58.6,12
68,69, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:19:01.8,+00:10:00,12
69,70, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:19:26.8,+00:10:25,12
70,71, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:29:26.7,+00:20:24.9,12
71,72, Richard FRAU Stephane MARQUEZ,Alpine A110,63,,+,12
72,73, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,,+,12
0,1, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:09:27.6,+00:00:00,13
1,2, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:09:27.8,+00:00:00.2,13
2,3, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:30.6,+00:00:03,13
3,4, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:31.5,+00:00:03.9,13
4,5, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:09:34.2,+00:00:06.6,13
5,6, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:09:35.4,+00:00:07.8,13
6,7, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:09:37.3,+00:00:09.7,13
7,8, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:09:40.5,+00:00:12.9,13
8,9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:09:59.4,+00:00:31.8,13
9,10, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:02,+00:00:34.4,13
10,11, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:02.4,+00:00:34.8,13
11,12, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:04.4,+00:00:36.8,13
12,13, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:10:05,+00:00:37.4,13
13,14, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:05.3,+00:00:37.7,13
14,15, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:08,+00:00:40.4,13
15,16, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:08.8,+00:00:41.2,13
16,17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:10.2,+00:00:42.6,13
17,18, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:10:14.7,+00:00:47.1,13
18,19, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:18.9,+00:00:51.3,13
19,20, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:24.3,+00:00:56.7,13
20,21, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:26,+00:00:58.4,13
21,22, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:10:36.2,+00:01:08.6,13
22,23, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:41.8,+00:01:14.2,13
23,24, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:46.3,+00:01:18.7,13
24,25, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:10:48.8,+00:01:21.2,13
25,26, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:10:48.9,+00:01:21.3,13
26,27, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:51.4,+00:01:23.8,13
27,28, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:10:58.3,+00:01:30.7,13
28,29, Alessandro GINO Daniele MICHI,Citroen C3,53,00:11:04.4,+00:01:36.8,13
29,30, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:11:06.8,+00:01:39.2,13
30,31, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:11:11.2,+00:01:43.6,13
31,32, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:11:12,+00:01:44.4,13
32,33, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:15.6,+00:01:48,13
33,34, Eamonn BOLAND MJ ,Citroen C3,42,00:11:15.6,+00:01:48,13
34,35, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:19.8,+00:01:52.2,13
35,36, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:21.7,+00:01:54.1,13
36,37, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:11:28.9,+00:02:01.3,13
37,38, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:30.5,+00:02:02.9,13
38,39, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:11:31,+00:02:03.4,13
39,40, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:36.4,+00:02:08.8,13
40,41, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:37.9,+00:02:10.3,13
41,42, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:42.5,+00:02:14.9,13
42,43, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:42.9,+00:02:15.3,13
43,44, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:48,+00:02:20.4,13
44,45, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:59.9,+00:02:32.3,13
45,46, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:12:00.5,+00:02:32.9,13
46,47, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:12:01.5,+00:02:33.9,13
47,48, Eric ROYERE Gilbert DINI,Alpine A110,64,00:12:03.7,+00:02:36.1,13
48,49, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:12:06.5,+00:02:38.9,13
49,50, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:12:07,+00:02:39.4,13
50,51, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:08.8,+00:02:41.2,13
51,52, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:12:14.9,+00:02:47.3,13
52,53, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:37.2,+00:03:09.6,13
53,54, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:39.6,+00:03:12,13
54,55, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:41.1,+00:03:13.5,13
55,56, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:45.8,+00:03:18.2,13
56,57, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:47.3,+00:03:19.7,13
57,58, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:12:49.2,+00:03:21.6,13
58,59, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:59.7,+00:03:32.1,13
59,60, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:13:00.5,+00:03:32.9,13
60,61, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:13:25.1,+00:03:57.5,13
61,62, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:13:52.4,+00:04:24.8,13
62,63, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:14:26.6,+00:04:59,13
63,64, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:15:16.9,+00:05:49.3,13
64,65, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:16:06.1,+00:06:38.5,13
65,66, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:19:27,+00:09:59.4,13
66,67, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:19:27.6,+00:10:00,13
67,68, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:19:59.4,+00:10:31.8,13
68,69, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:19:59.4,+00:10:31.8,13
69,70, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:21:30.5,+00:12:02.9,13
70,71, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:38:33.6,+00:29:06,13
71,72, Richard FRAU Stephane MARQUEZ,Alpine A110,63,,+,13
72,73, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,,+,13
0,1, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:11:30.2,+00:00:00,14
1,2, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:11:36.9,+00:00:06.7,14
2,3, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:11:38.9,+00:00:08.7,14
3,4, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:11:40,+00:00:09.8,14
4,5, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:11:49.9,+00:00:19.7,14
5,6, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:11:52.3,+00:00:22.1,14
6,7, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:11:56.5,+00:00:26.3,14
7,8, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:03.8,+00:00:33.6,14
8,9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:07.7,+00:00:37.5,14
9,10, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:12:10.1,+00:00:39.9,14
10,11, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:12:12.2,+00:00:42,14
11,12, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:12:19.1,+00:00:48.9,14
12,13, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:22.5,+00:00:52.3,14
13,14, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:27.4,+00:00:57.2,14
14,15, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:12:27.7,+00:00:57.5,14
15,16, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:28.9,+00:00:58.7,14
16,17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:12:36.1,+00:01:05.9,14
17,18, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:12:47.1,+00:01:16.9,14
18,19, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:12:51.4,+00:01:21.2,14
19,20, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:13:00.4,+00:01:30.2,14
20,21, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:13:13.2,+00:01:43,14
21,22, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:13:28.4,+00:01:58.2,14
22,23, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:13:34.1,+00:02:03.9,14
23,24, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:42.1,+00:02:11.9,14
24,25, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:45.6,+00:02:15.4,14
25,26, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:13:46,+00:02:15.8,14
26,27, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:13:49,+00:02:18.8,14
27,28, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:52.8,+00:02:22.6,14
28,29, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:14:07.2,+00:02:37,14
29,30, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:14:12.2,+00:02:42,14
30,31, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:14:15.2,+00:02:45,14
31,32, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:14:22.7,+00:02:52.5,14
32,33, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:14:27.9,+00:02:57.7,14
33,34, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:14:29,+00:02:58.8,14
34,35, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:14:30.7,+00:03:00.5,14
35,36, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:14:33.9,+00:03:03.7,14
36,37, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:14:39.5,+00:03:09.3,14
37,38, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:14:41,+00:03:10.8,14
38,39, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:41.6,+00:03:11.4,14
39,40, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:14:42.9,+00:03:12.7,14
40,41, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:14:43.8,+00:03:13.6,14
41,42, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:14:45.2,+00:03:15,14
42,43, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:14:50,+00:03:19.8,14
43,44, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:14:50.1,+00:03:19.9,14
44,45, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:14:50.6,+00:03:20.4,14
45,46, Eamonn BOLAND MJ ,Citroen C3,42,00:14:53.7,+00:03:23.5,14
46,47, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:59.6,+00:03:29.4,14
47,48, Eric ROYERE Gilbert DINI,Alpine A110,64,00:15:10.1,+00:03:39.9,14
48,49, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:15:11.2,+00:03:41,14
49,50, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:15:12.9,+00:03:42.7,14
50,51, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:15:20.3,+00:03:50.1,14
51,52, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:15:22.5,+00:03:52.3,14
52,53, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:15:36.7,+00:04:06.5,14
53,54, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:15:43.1,+00:04:12.9,14
54,55, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:15:44.7,+00:04:14.5,14
55,56, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:15:47.5,+00:04:17.3,14
56,57, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:16:04.9,+00:04:34.7,14
57,58, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:16:13.4,+00:04:43.2,14
58,59, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:16:20,+00:04:49.8,14
59,60, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:16:51.6,+00:05:21.4,14
60,61, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:17:03,+00:05:32.8,14
61,62, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:17:19.2,+00:05:49,14
62,63, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:17:33.9,+00:06:03.7,14
63,64, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:19:13.6,+00:07:43.4,14
64,65, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:21:30.2,+00:10:00,14
65,66, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:22:03.8,+00:10:33.6,14
66,67, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:22:03.8,+00:10:33.6,14
67,68, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:22:03.8,+00:10:33.6,14
68,69, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:22:56.4,+00:11:26.2,14
69,70, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:23:28.4,+00:11:58.2,14
70,71, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:24:07.2,+00:12:37,14
71,72, Richard FRAU Stephane MARQUEZ,Alpine A110,63,,+,14
72,73, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,,+,14
0,1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:12:17.9,+00:00:00,15
1,2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:12:20.6,+00:00:02.7,15
2,3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:12:20.6,+00:00:02.7,15
3,4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:12:23,+00:00:05.1,15
4,5, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:12:30.5,+00:00:12.6,15
5,6, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:12:34.1,+00:00:16.2,15
6,7, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:12:35.2,+00:00:17.3,15
7,8, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:12:35.2,+00:00:17.3,15
8,9, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:51,+00:00:33.1,15
9,10, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:55.7,+00:00:37.8,15
10,11, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:12:55.7,+00:00:37.8,15
11,12, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:57.1,+00:00:39.2,15
12,13, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:59.9,+00:00:42,15
13,14, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:13:00.6,+00:00:42.7,15
14,15, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:13:04.7,+00:00:46.8,15
15,16, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:13:05.1,+00:00:47.2,15
16,17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:13:07.1,+00:00:49.2,15
17,18, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:13:10.8,+00:00:52.9,15
18,19, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:13:14,+00:00:56.1,15
19,20, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:13:14.4,+00:00:56.5,15
20,21, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:13:14.9,+00:00:57,15
21,22, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:13:16.7,+00:00:58.8,15
22,23, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:13:20.8,+00:01:02.9,15
23,24, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:13:21.2,+00:01:03.3,15
24,25, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:13:28.5,+00:01:10.6,15
25,26, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:13:30.5,+00:01:12.6,15
26,27, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:33.3,+00:01:15.4,15
27,28, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:40.9,+00:01:23,15
28,29, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:42.9,+00:01:25,15
29,30, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:13:46,+00:01:28.1,15
30,31, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:13:52.2,+00:01:34.3,15
31,32, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:13:57.6,+00:01:39.7,15
32,33, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:14:07.5,+00:01:49.6,15
33,34, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:14:07.7,+00:01:49.8,15
34,35, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:14:08.3,+00:01:50.4,15
35,36, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:14:10.4,+00:01:52.5,15
36,37, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:14:10.7,+00:01:52.8,15
37,38, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:14:14.8,+00:01:56.9,15
38,39, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:14:16.4,+00:01:58.5,15
39,40, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:14:17.9,+00:02:00,15
40,41, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:14:18.2,+00:02:00.3,15
41,42, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:14:19.7,+00:02:01.8,15
42,43, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:14:20.5,+00:02:02.6,15
43,44, Eric ROYERE Gilbert DINI,Alpine A110,64,00:14:20.9,+00:02:03,15
44,45, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:14:24.9,+00:02:07,15
45,46, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:14:25,+00:02:07.1,15
