Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:11:30.2,+00:00:00,14
2, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:11:36.9,+00:00:06.7,14
3, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:11:38.9,+00:00:08.7,14
4, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:11:40,+00:00:09.8,14
5, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:11:49.9,+00:00:19.7,14
6, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:11:52.3,+00:00:22.1,14
7, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:11:56.5,+00:00:26.3,14
8, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:03.8,+00:00:33.6,14
9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:07.7,+00:00:37.5,14
10, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:12:10.1,+00:00:39.9,14
11, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:12:12.2,+00:00:42,14
12, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:12:19.1,+00:00:48.9,14
13, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:22.5,+00:00:52.3,14
14, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:27.4,+00:00:57.2,14
15, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:12:27.7,+00:00:57.5,14
16, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:28.9,+00:00:58.7,14
17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:12:36.1,+00:01:05.9,14
18, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:12:47.1,+00:01:16.9,14
19, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:12:51.4,+00:01:21.2,14
20, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:13:00.4,+00:01:30.2,14
21, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:13:13.2,+00:01:43,14
22, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:13:28.4,+00:01:58.2,14
23, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:13:34.1,+00:02:03.9,14
24, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:42.1,+00:02:11.9,14
25, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:45.6,+00:02:15.4,14
26, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:13:46,+00:02:15.8,14
27, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:13:49,+00:02:18.8,14
28, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:52.8,+00:02:22.6,14
29, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:14:07.2,+00:02:37,14
30, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:14:12.2,+00:02:42,14
31, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:14:15.2,+00:02:45,14
32, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:14:22.7,+00:02:52.5,14
