Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:09:05.5,+00:00:00,9
2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:06.1,+00:00:00.6,9
3, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:08,+00:00:02.5,9
4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:09:08.2,+00:00:02.7,9
5, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:09:11.3,+00:00:05.8,9
6, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:09:15.3,+00:00:09.8,9
7, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:09:19.7,+00:00:14.2,9
8, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:09:25.2,+00:00:19.7,9
9, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:09:25.5,+00:00:20,9
10, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:09:30.4,+00:00:24.9,9
11, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:09:35,+00:00:29.5,9
12, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:09:39.6,+00:00:34.1,9
13, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:09:39.6,+00:00:34.1,9
14, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:09:40.3,+00:00:34.8,9
15, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:09:43.3,+00:00:37.8,9
16, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:09:44.6,+00:00:39.1,9
17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:09:48.5,+00:00:43,9
18, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:09:48.5,+00:00:43,9
19, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:09:57.1,+00:00:51.6,9
20, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:09:58,+00:00:52.5,9
21, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:09:59.1,+00:00:53.6,9
22, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:02.5,+00:00:57,9
23, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:10:11.4,+00:01:05.9,9
24, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:15.1,+00:01:09.6,9
25, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:15.5,+00:01:10,9
26, Alessandro GINO Daniele MICHI,Citroen C3,53,00:10:19.4,+00:01:13.9,9
27, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:20.2,+00:01:14.7,9
28, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:10:21.5,+00:01:16,9
29, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:10:26.5,+00:01:21,9
30, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:10:38.2,+00:01:32.7,9
31, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:10:41.2,+00:01:35.7,9
