Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:11:44.7,+00:00:00,4
2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:11:46.8,+00:00:02.1,4
3, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:11:49.6,+00:00:04.9,4
4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:11:50.7,+00:00:06,4
5, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:11:52.5,+00:00:07.8,4
6, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:11:54.7,+00:00:10,4
7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:11:55.1,+00:00:10.4,4
8, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:11:55.8,+00:00:11.1,4
9, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:12:00.8,+00:00:16.1,4
10, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:17.8,+00:00:33.1,4
11, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:12:20.6,+00:00:35.9,4
12, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:21.4,+00:00:36.7,4
13, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:27,+00:00:42.3,4
14, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:27.4,+00:00:42.7,4
15, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:12:27.6,+00:00:42.9,4
16, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:12:28,+00:00:43.3,4
17, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:12:28.5,+00:00:43.8,4
18, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:12:29.4,+00:00:44.7,4
19, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:30.8,+00:00:46.1,4
20, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:12:35.9,+00:00:51.2,4
21, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:12:37.7,+00:00:53,4
22, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:12:39,+00:00:54.3,4
23, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:12:43.2,+00:00:58.5,4
24, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:12:47,+00:01:02.3,4
25, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:12:48.6,+00:01:03.9,4
26, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:12:49.5,+00:01:04.8,4
27, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:12:51.4,+00:01:06.7,4
28, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:12:58.3,+00:01:13.6,4
29, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:03.1,+00:01:18.4,4
30, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:10.6,+00:01:25.9,4
31, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:13:12,+00:01:27.3,4
32, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:13:13.2,+00:01:28.5,4
33, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:13:14.7,+00:01:30,4
34, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:19.4,+00:01:34.7,4
35, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:13:23.2,+00:01:38.5,4
36, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:13:30.9,+00:01:46.2,4
37, Eamonn BOLAND MJ ,Citroen C3,42,00:13:31.9,+00:01:47.2,4
38, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:13:32.2,+00:01:47.5,4
39, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:13:35,+00:01:50.3,4
40, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:13:36.8,+00:01:52.1,4
41, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:13:38.2,+00:01:53.5,4
42, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:13:40,+00:01:55.3,4
43, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:13:41.8,+00:01:57.1,4
44, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:13:42,+00:01:57.3,4
45, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:13:42.3,+00:01:57.6,4
46, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:13:42.6,+00:01:57.9,4
47, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:13:45.1,+00:02:00.4,4
48, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:13:45.6,+00:02:00.9,4
49, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:13:46.2,+00:02:01.5,4
50, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:13:54.5,+00:02:09.8,4
51, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:13:55.7,+00:02:11,4
52, Eric ROYERE Gilbert DINI,Alpine A110,64,00:14:00.8,+00:02:16.1,4
53, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:06.8,+00:02:22.1,4
54, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:14:15.7,+00:02:31,4
55, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:14:17.4,+00:02:32.7,4
56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:14:18.7,+00:02:34,4
57, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:14:29.6,+00:02:44.9,4
58, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:14:32,+00:02:47.3,4
59, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:14:39.9,+00:02:55.2,4
60, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:14:40.3,+00:02:55.6,4
61, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:14:41.2,+00:02:56.5,4
62, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:14:45.9,+00:03:01.2,4
63, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:46.8,+00:03:02.1,4
64, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:14:48.3,+00:03:03.6,4
65, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:15:04.5,+00:03:19.8,4
66, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:15:20.7,+00:03:36,4
67, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:15:21,+00:03:36.3,4
68, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:16:00.7,+00:04:16,4
69, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:16:24.3,+00:04:39.6,4
70, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:16:43.6,+00:04:58.9,4
71, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:22:17.8,+00:10:33.1,4
72, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,00:22:47,+00:11:02.3,4
73, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:23:30.9,+00:11:46.2,4
74, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:23:36.8,+00:11:52.1,4
