Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:54.7,+00:00:00,3
2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:57.9,+00:00:03.2,3
3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:10:00.8,+00:00:06.1,3
4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:10:02.5,+00:00:07.8,3
5, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:10:02.7,+00:00:08,3
6, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:10:02.9,+00:00:08.2,3
7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:10:07.5,+00:00:12.8,3
8, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:10:09.1,+00:00:14.4,3
9, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:10:12.8,+00:00:18.1,3
10, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:10:26.5,+00:00:31.8,3
11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:30.4,+00:00:35.7,3
12, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:31.1,+00:00:36.4,3
13, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:34.3,+00:00:39.6,3
14, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:35.1,+00:00:40.4,3
15, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:10:36,+00:00:41.3,3
16, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:36.1,+00:00:41.4,3
17, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:10:39.7,+00:00:45,3
18, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:40.6,+00:00:45.9,3
19, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:42.6,+00:00:47.9,3
20, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:43,+00:00:48.3,3
21, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:45.5,+00:00:50.8,3
22, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:10:51.6,+00:00:56.9,3
23, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:51.7,+00:00:57,3
24, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:10:52.1,+00:00:57.4,3
25, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:53.4,+00:00:58.7,3
26, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:10:53.6,+00:00:58.9,3
27, Alessandro GINO Daniele MICHI,Citroen C3,53,00:10:59.7,+00:01:05,3
28, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:11:01.3,+00:01:06.6,3
29, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:11:01.4,+00:01:06.7,3
30, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:11:02.3,+00:01:07.6,3
31, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:11:11.6,+00:01:16.9,3
32, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:11.8,+00:01:17.1,3
33, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:11:13.8,+00:01:19.1,3
34, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:11:15.5,+00:01:20.8,3
35, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:20.6,+00:01:25.9,3
36, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:11:25.2,+00:01:30.5,3
37, Eamonn BOLAND MJ ,Citroen C3,42,00:11:25.6,+00:01:30.9,3
38, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:11:27,+00:01:32.3,3
39, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:11:28.1,+00:01:33.4,3
40, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:11:30,+00:01:35.3,3
41, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:11:31.2,+00:01:36.5,3
42, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:11:32.7,+00:01:38,3
43, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:34.3,+00:01:39.6,3
44, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:38.3,+00:01:43.6,3
45, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:39.3,+00:01:44.6,3
46, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:44.1,+00:01:49.4,3
47, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:45.4,+00:01:50.7,3
48, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,00:11:47.7,+00:01:53,3
49, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:47.8,+00:01:53.1,3
50, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:48.2,+00:01:53.5,3
51, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:49.1,+00:01:54.4,3
52, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:52.9,+00:01:58.2,3
53, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:53.5,+00:01:58.8,3
54, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:53.7,+00:01:59,3
55, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:12:03.7,+00:02:09,3
56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:12:04.9,+00:02:10.2,3
57, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:12:09.5,+00:02:14.8,3
58, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:10.7,+00:02:16,3
59, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:12:17,+00:02:22.3,3
60, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:23.1,+00:02:28.4,3
61, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:12:24.8,+00:02:30.1,3
62, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:34.7,+00:02:40,3
63, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:38.3,+00:02:43.6,3
64, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:12:40,+00:02:45.3,3
65, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:43.3,+00:02:48.6,3
66, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:43.8,+00:02:49.1,3
67, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:12:48.9,+00:02:54.2,3
68, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:58.5,+00:03:03.8,3
69, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:13:04.3,+00:03:09.6,3
70, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:25.5,+00:03:30.8,3
71, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:13:54.6,+00:03:59.9,3
72, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:14:43.4,+00:04:48.7,3
73, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:16:06,+00:06:11.3,3
