,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Avgeropoulos C,C4 F2,Palladio,2,4,2,3,1,1
Benoukas Marin,C6 F2,Palladio,3,16,17,20,12,8
Chrissafi Mari,C6 F2,Palladio,3,28,28,27,26,25
Dekas Giorgos ,C4 F2,Palladio,3,-,-,-,-,-
Dekas K.  - Ba,C4 F2,Palladio,3,-,-,-,-,-
Gavriilidis Gi,4 2000+,Palladio,3,22,25,24,23,18
Gerovassilis A,4 2000,Palladio,3,20,20,21,21,22
Gyzis Ioannis ,C3 F2,Palladio,3,-,-,-,-,-
Halivelakis A.,3 2000,Palladio,3,24,23,22,22,20
Kalaitzian I. ,C4 F2,Palladio,3,19,18,12,15,11
Kandiliotis V.,C3 F2,Palladio,3,11,10,11,13,12
Kapralos D.  -,C3 F2,Palladio,3,5,19,4,3,5
Karathanassis ,C5 F2,Palladio,3,6,7,8,4,6
Katsikas Ioann,3 2000,Palladio,3,8,13,13,9,16
Kondilis Panag,C5 F2,Palladio,3,13,14,18,16,23
Koukeas Efstat,C1,Palladio,1,3,4,1,17,-
Kouniakis K.  ,C6 F2,Palladio,3,26,26,-,-,-
Margaronis A. ,C3 F2,Palladio,3,9,6,25,8,10
Melas D.  - Va,2,Palladio,3,21,22,19,24,19
Moschos A.  - ,C3 F2,Palladio,3,1,1,2,10,3
Nomikos Andrea,C1,Palladio,32,7,5,6,5,2
Pakkos F.  - P,C3 F2,Palladio,3,27,27,26,25,24
Papaloukas Nik,C5 F2,Palladio,3,14,15,15,-,-
Papazoglou L. ,4 2000+,Palladio,3,25,24,23,18,21
Rekkas Panange,C6 F2,Palladio,3,10,9,9,6,9
Rekkas Viktora,C6 F2,Palladio,3,18,8,14,7,7
Stafilopatis M,4 2000+,Palladio,3,2,3,5,2,4
Stamatakis S. ,C6 F2,Palladio,3,17,12,10,14,14
Tiros Nikos  -,C6 F2,Palladio,3,12,11,7,11,13
Tsalamatas Ioa,4 2000,Palladio,3,23,21,17,20,17
Zakheos Nikola,C3 F2,Palladio,3,-,-,-,-,-
Zois Dimitris ,C5 F2,Palladio,3,15,16,16,19,15
