,,,Pos.,Pos.
ss,,,1,2
Crew,Gr/Cl,Race,,
Amaxopoulos D.,2 1600,Aigio,23,21
Avgeropoulos C,C4 F2,Aigio,12,-
Basdelis Giorg,C6 F2,Aigio,11,-
Daskalopoulos ,C2,Aigio,16,11
Gerodimos Gior,C2,Aigio,4,2
Gerovassilis A,4 2000,Aigio,23,23
Kaberos Alekos,C3 F2,Aigio,17,18
Kaberos Willia,C3 F2,Aigio,34,24
Kandiliotis V.,C2,Aigio,35,6
Kapralos D.  -,C3 F2,Aigio,5,8
Karathanassis ,C5 F2,Aigio,7,4
Karouzos Giorg,C4 F2,Aigio,36,28
Kassidopoulos ,3 1600,Aigio,23,30
Katsarelias E.,C3 F2,Aigio,9,10
Katsikas Ioann,3 2000,Aigio,23,16
Kofinas Konsta,4 2000+,Aigio,23,32
Komnos Nikos  ,C5 F2,Aigio,20,5
Kondilis Panag,C5 F2,Aigio,6,9
Kopanakis Gior,C4 F2,Aigio,8,29
Koukeas E.  - ,C1,Aigio,1,1
Kouniakis K.  ,C6 F2,Aigio,19,20
Kyriakopoulos ,4 1600,Aigio,23,26
Lykakis Ioanni,2 2000,Aigio,23,-
Mavromatis Mar,C6 F2,Aigio,18,22
Mitropoulos Ko,2 2000,Aigio,23,31
Moschos A.  - ,C3 F2,Aigio,2,-
Nomikos Andrea,C1,Aigio,3,3
Pantelakis Gio,C3 F2,Aigio,15,17
Pantieras Stam,C6 F2,Aigio,10,12
Papazoglou L. ,4 2000+,Aigio,23,27
Rekkas Panange,C6 F2,Aigio,22,19
Stafilopatis M,4 2000+,Aigio,23,7
Tiros Nikos  -,C6 F2,Aigio,13,15
Tsiplantonis K,3 1600,Aigio,23,-
Tzikopoulos P.,C3 F2,Aigio,14,14
Zizas Agis  - ,C5 F2,Aigio,21,25
Zois Dimitris ,C5 F2,Aigio,37,13
