Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Titakis Titos ,C3 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,7,310.75
Frantzeskakis ,C3 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,8,314.97
Kafetzakis I. ,C5 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,9,315.41
Zervakis Mihal,C4 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,10,316.09
Konstantinidis,C3 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,11,317.54
Damianakis Gia,C4 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,12,326.88
Perakis A.  - ,C4 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,13,327.6
Maragakis Andr,C4 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,14,329.42
Kakepakis Gian,C6 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,15,331.01
Polias Mihalis,C5 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,16,331.41
Manouskos Niko,C6 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,17,341.68
Poulakis Mihal,C6 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,18,346.07
Stamatakis S. ,C6 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,19,349.49
Gobakis Lefter,C3 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,20,353.15
Massialas Vage,C6 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,21,356.57
Kapsalakis D. ,C3 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,22,358.36
Stivaktakis Ar,C6 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,23,359.25
Mihailakis S. ,C3 F2,3,Kritis,21-22/10/2023,Tarmac,Championship,24,727.66
Aligizakis E. ,C1,4,Kritis,21-22/10/2023,Tarmac,Championship,1,289.0
Anapoliotakis ,C1,4,Kritis,21-22/10/2023,Tarmac,Championship,2,290.01
Peroulakis Geo,C2,4,Kritis,21-22/10/2023,Tarmac,Championship,3,298.76
Ktistakis Dimi,C3 F2,4,Kritis,21-22/10/2023,Tarmac,Championship,4,302.46
Titakis Titos ,C3 F2,4,Kritis,21-22/10/2023,Tarmac,Championship,5,308.2
Konstantinidis,C3 F2,4,Kritis,21-22/10/2023,Tarmac,Championship,6,308.43
Nikolidakis I.,C5 F2,4,Kritis,21-22/10/2023,Tarmac,Championship,7,309.15
Frantzeskakis ,C3 F2,4,Kritis,21-22/10/2023,Tarmac,Championship,8,312.26
