Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Gerodimos Gior,C2,1,Almiros,11/6/2023,Tarmac,cup,1,408.44
Vlachos Aposto,C2,1,Almiros,11/6/2023,Tarmac,cup,2,414.62
Kampilis Panag,C1,1,Almiros,11/6/2023,Tarmac,cup,3,414.86
Stergiadis A. ,C5 F2,1,Almiros,11/6/2023,Tarmac,cup,4,421.7
Michail Stamat,C5 F2,1,Almiros,11/6/2023,Tarmac,cup,5,430.79
Karathanassis ,C5 F2,1,Almiros,11/6/2023,Tarmac,cup,6,431.58
Vatsos Nikos  ,C3 F2,1,Almiros,11/6/2023,Tarmac,cup,7,435.57
Katsionis T.  ,C4 F2,1,Almiros,11/6/2023,Tarmac,cup,8,438.69
Sotiriadis Nik,C2,1,Almiros,11/6/2023,Tarmac,cup,9,439.23
Tzikopoulos P.,C3 F2,1,Almiros,11/6/2023,Tarmac,cup,10,444.62
Katsarelias E.,C3 F2,1,Almiros,11/6/2023,Tarmac,cup,11,447.19
Panagiotopoulo,C2,1,Almiros,11/6/2023,Tarmac,cup,12,454.42
Trichidis Niko,C3 F2,1,Almiros,11/6/2023,Tarmac,cup,13,461.73
Efthimiadis H.,C5 F2,1,Almiros,11/6/2023,Tarmac,cup,14,
Figioris Vassi,C3 F2,1,Almiros,11/6/2023,Tarmac,cup,15,
Diamantis D.  ,C4 F2,1,Almiros,11/6/2023,Tarmac,cup,16,
Massialas Vage,C6 F2,1,Almiros,11/6/2023,Tarmac,cup,17,
Kehagias Dimit,C5 F2,1,Almiros,11/6/2023,Tarmac,cup,18,
Anastasiou Mak,C5 F2,1,Almiros,11/6/2023,Tarmac,cup,19,
Labrou Athanas,C5 F2,1,Almiros,11/6/2023,Tarmac,cup,20,
Koutsoukos Ang,C4 F2,1,Almiros,11/6/2023,Tarmac,cup,21,
Theofanidis S.,C3 F2,1,Almiros,11/6/2023,Tarmac,cup,22,465.49
Kampilis Panag,C1,2,Almiros,11/6/2023,Tarmac,cup,1,201.09
Vlachos Aposto,C2,2,Almiros,11/6/2023,Tarmac,cup,2,203.41
Karathanassis ,C5 F2,2,Almiros,11/6/2023,Tarmac,cup,3,210.53
Michail Stamat,C5 F2,2,Almiros,11/6/2023,Tarmac,cup,4,210.57
Stergiadis A. ,C5 F2,2,Almiros,11/6/2023,Tarmac,cup,5,211.07
Katsionis T.  ,C4 F2,2,Almiros,11/6/2023,Tarmac,cup,6,211.7
Vatsos Nikos  ,C3 F2,2,Almiros,11/6/2023,Tarmac,cup,7,213.16
Sotiriadis Nik,C2,2,Almiros,11/6/2023,Tarmac,cup,8,216.48
Katsarelias E.,C3 F2,2,Almiros,11/6/2023,Tarmac,cup,9,217.47
Panagiotopoulo,C2,2,Almiros,11/6/2023,Tarmac,cup,10,220.63
Tzikopoulos P.,C3 F2,2,Almiros,11/6/2023,Tarmac,cup,11,221.51
Theofanidis S.,C3 F2,2,Almiros,11/6/2023,Tarmac,cup,12,226.66
Massialas Vage,C6 F2,2,Almiros,11/6/2023,Tarmac,cup,13,230.15
Efthimiadis H.,C5 F2,2,Almiros,11/6/2023,Tarmac,cup,14,235.77
Kehagias Dimit,C5 F2,2,Almiros,11/6/2023,Tarmac,cup,15,236.14
Diamantis D.  ,C4 F2,2,Almiros,11/6/2023,Tarmac,cup,16,236.37
Anastasiou Mak,C5 F2,2,Almiros,11/6/2023,Tarmac,cup,17,243.2
Figioris Vassi,C3 F2,2,Almiros,11/6/2023,Tarmac,cup,18,246.93
Koutsoukos Ang,C4 F2,2,Almiros,11/6/2023,Tarmac,cup,19,259.33
Labrou Athanas,C5 F2,2,Almiros,11/6/2023,Tarmac,cup,20,268.0
Kampilis Panag,C1,3,Almiros,11/6/2023,Tarmac,cup,1,407.03
Vlachos Aposto,C2,3,Almiros,11/6/2023,Tarmac,cup,2,420.44
Stergiadis A. ,C5 F2,3,Almiros,11/6/2023,Tarmac,cup,3,420.56
Michail Stamat,C5 F2,3,Almiros,11/6/2023,Tarmac,cup,4,423.72
Karathanassis ,C5 F2,3,Almiros,11/6/2023,Tarmac,cup,5,423.76
Sotiriadis Nik,C2,3,Almiros,11/6/2023,Tarmac,cup,6,429.76
Katsionis T.  ,C4 F2,3,Almiros,11/6/2023,Tarmac,cup,7,434.1
Katsarelias E.,C3 F2,3,Almiros,11/6/2023,Tarmac,cup,8,436.22
Panagiotopoulo,C2,3,Almiros,11/6/2023,Tarmac,cup,9,437.21
Vatsos Nikos  ,C3 F2,3,Almiros,11/6/2023,Tarmac,cup,10,438.49
Tzikopoulos P.,C3 F2,3,Almiros,11/6/2023,Tarmac,cup,11,447.76
Theofanidis S.,C3 F2,3,Almiros,11/6/2023,Tarmac,cup,12,453.99
Massialas Vage,C6 F2,3,Almiros,11/6/2023,Tarmac,cup,13,460.52
Diamantis D.  ,C4 F2,3,Almiros,11/6/2023,Tarmac,cup,14,478.31
Figioris Vassi,C3 F2,3,Almiros,11/6/2023,Tarmac,cup,15,480.08
Anastasiou Mak,C5 F2,3,Almiros,11/6/2023,Tarmac,cup,16,482.29
Kehagias Dimit,C5 F2,3,Almiros,11/6/2023,Tarmac,cup,17,485.92
Efthimiadis H.,C5 F2,3,Almiros,11/6/2023,Tarmac,cup,18,486.24
Labrou Athanas,C5 F2,3,Almiros,11/6/2023,Tarmac,cup,19,500.21
Kampilis Panag,C1,4,Almiros,11/6/2023,Tarmac,cup,1,199.14
Vlachos Aposto,C2,4,Almiros,11/6/2023,Tarmac,cup,2,204.28
