,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
65,Avgeropoulos C,C4 F2,3,Palladio,2/12/2023,Tarmac,Cup,2,241.94,241.94,237.9,4.039999999999992,0.0,0.0,03
66,Kalaitzian I. ,C4 F2,3,Palladio,2/12/2023,Tarmac,Cup,18,278.8,241.94,237.9,40.900000000000006,36.860000000000014,15.23518227659751,03
72,Karathanassis ,C5 F2,3,Palladio,2/12/2023,Tarmac,Cup,7,263.0,263.0,237.9,25.099999999999994,0.0,0.0,03
73,Kondilis Panag,C5 F2,3,Palladio,2/12/2023,Tarmac,Cup,14,270.1,263.0,237.9,32.20000000000002,7.100000000000023,2.6996197718631265,03
74,Papaloukas Nik,C5 F2,3,Palladio,2/12/2023,Tarmac,Cup,15,270.73,263.0,237.9,32.83000000000001,7.730000000000018,2.9391634980988663,03
75,Zois Dimitris ,C5 F2,3,Palladio,2/12/2023,Tarmac,Cup,16,274.71,263.0,237.9,36.809999999999974,11.70999999999998,4.4524714828897265,03
76,Rekkas Viktora,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,8,263.35,263.35,237.9,25.450000000000017,0.0,0.0,03
77,Rekkas Panange,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,9,263.79,263.35,237.9,25.890000000000015,0.4399999999999977,0.16707803303588292,03
78,Tiros Nikos  -,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,11,265.14,263.35,237.9,27.23999999999998,1.7899999999999636,0.6797038162141498,03
79,Stamatakis S. ,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,12,266.09,263.35,237.9,28.18999999999997,2.7399999999999523,1.0404404784507126,03
80,Benoukas Marin,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,17,278.1,263.35,237.9,40.20000000000002,14.75,5.60091133472565,03
81,Kouniakis K.  ,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,26,303.66,263.35,237.9,65.76000000000002,40.31,15.306626162901082,03
82,Chrissafi Mari,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,28,344.42,263.35,237.9,106.52000000000001,81.07,30.784127586861587,03
