Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time,SS.
Tassos V,C2,3,Deth,17/9/2023,Tarmac,Championship,22,750.36,635.88,Deth_03
Maragaki,C6 F2,3,Deth,17/9/2023,Tarmac,Championship,23,758.73,635.88,Deth_03
Massiala,C6 F2,3,Deth,17/9/2023,Tarmac,Championship,24,779.68,635.88,Deth_03
Pazis So,C6 F2,3,Deth,17/9/2023,Tarmac,Championship,25,784.79,635.88,Deth_03
Partalio,C3 F2,3,Deth,17/9/2023,Tarmac,Championship,26,788.14,635.88,Deth_03
Manousko,C6 F2,3,Deth,17/9/2023,Tarmac,Championship,27,791.47,635.88,Deth_03
Rakitzis,C5 F2,3,Deth,17/9/2023,Tarmac,Championship,28,831.2,635.88,Deth_03
Bais Gio,C6 F2,3,Deth,17/9/2023,Tarmac,Championship,29,833.86,635.88,Deth_03
Tsakirog,C3 F2,3,Deth,17/9/2023,Tarmac,Championship,30,876.68,635.88,Deth_03
Vezyris ,C6 F2,3,Deth,17/9/2023,Tarmac,Championship,31,921.29,635.88,Deth_03
Koukas S,C3 F2,3,Deth,17/9/2023,Tarmac,Championship,32,923.61,635.88,Deth_03
Anastass,C6 F2,3,Deth,17/9/2023,Tarmac,Championship,33,924.62,635.88,Deth_03
Angelidi,C3 F2,3,Deth,17/9/2023,Tarmac,Championship,34,1039.3,635.88,Deth_03
Tsolakid,C1,4,Deth,17/9/2023,Tarmac,Championship,1,835.21,835.21,Deth_04
Anapolio,C1,4,Deth,17/9/2023,Tarmac,Championship,2,841.01,835.21,Deth_04
Aligizak,C1,4,Deth,17/9/2023,Tarmac,Championship,3,842.23,835.21,Deth_04
Ieremiad,C1,4,Deth,17/9/2023,Tarmac,Championship,4,861.68,835.21,Deth_04
Moschos ,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,5,878.87,835.21,Deth_04
Argiriou,C2,4,Deth,17/9/2023,Tarmac,Championship,6,882.3,835.21,Deth_04
Brozos F,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,7,885.35,835.21,Deth_04
Peroulak,C2,4,Deth,17/9/2023,Tarmac,Championship,8,886.04,835.21,Deth_04
Konstant,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,9,890.55,835.21,Deth_04
Gerodimo,C2,4,Deth,17/9/2023,Tarmac,Championship,10,895.4,835.21,Deth_04
Sotiriad,C2,4,Deth,17/9/2023,Tarmac,Championship,11,916.65,835.21,Deth_04
Katsioni,C4 F2,4,Deth,17/9/2023,Tarmac,Championship,12,935.46,835.21,Deth_04
Stergiad,C5 F2,4,Deth,17/9/2023,Tarmac,Championship,13,935.6,835.21,Deth_04
Baxevana,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,14,944.66,835.21,Deth_04
Perakis ,C4 F2,4,Deth,17/9/2023,Tarmac,Championship,15,945.57,835.21,Deth_04
Vatsos N,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,16,947.24,835.21,Deth_04
Koutsodi,C6 F2,4,Deth,17/9/2023,Tarmac,Championship,17,947.33,835.21,Deth_04
Anagnost,C4 F2,4,Deth,17/9/2023,Tarmac,Championship,18,956.72,835.21,Deth_04
Tassos V,C2,4,Deth,17/9/2023,Tarmac,Championship,19,970.85,835.21,Deth_04
Karagioz,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,20,985.6,835.21,Deth_04
Massiala,C6 F2,4,Deth,17/9/2023,Tarmac,Championship,21,1011.11,835.21,Deth_04
Pazis So,C6 F2,4,Deth,17/9/2023,Tarmac,Championship,22,1021.27,835.21,Deth_04
Manousko,C6 F2,4,Deth,17/9/2023,Tarmac,Championship,23,1023.89,835.21,Deth_04
Avramidi,C6,4,Deth,17/9/2023,Tarmac,Championship,24,1026.45,835.21,Deth_04
Partalio,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,25,1036.19,835.21,Deth_04
Angelidi,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,26,1088.03,835.21,Deth_04
Rakitzis,C5 F2,4,Deth,17/9/2023,Tarmac,Championship,27,1100.68,835.21,Deth_04
Tsakirog,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,28,1199.75,835.21,Deth_04
Koukas S,C3 F2,4,Deth,17/9/2023,Tarmac,Championship,29,1222.5,835.21,Deth_04
Anastass,C6 F2,4,Deth,17/9/2023,Tarmac,Championship,30,1257.7,835.21,Deth_04
Vezyris ,C6 F2,4,Deth,17/9/2023,Tarmac,Championship,31,1258.03,835.21,Deth_04
Tsouloft,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,1,702.34,702.34,Fthiotidas_G_01
Kehagias,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,2,718.2,702.34,Fthiotidas_G_01
Philippe,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,3,724.43,702.34,Fthiotidas_G_01
Kirkos P,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,4,758.43,702.34,Fthiotidas_G_01
Karaniko,C5 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,5,777.42,702.34,Fthiotidas_G_01
Badounas,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,6,779.85,702.34,Fthiotidas_G_01
Chatzima,C3 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,7,780.96,702.34,Fthiotidas_G_01
Ismailos,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,8,782.57,702.34,Fthiotidas_G_01
Halkias ,C3,1,Fthiotidas_G,2/7/2023,Gravel,Championship,9,791.64,702.34,Fthiotidas_G_01
Angelov ,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,10,795.36,702.34,Fthiotidas_G_01
Xanthako,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,11,811.56,702.34,Fthiotidas_G_01
Flandy  ,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,12,815.77,702.34,Fthiotidas_G_01
Theochar,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,13,818.58,702.34,Fthiotidas_G_01
Panteli ,C5 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,14,833.73,702.34,Fthiotidas_G_01
Antoniou,C3 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,15,846.87,702.34,Fthiotidas_G_01
Tsakalos,C6 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,16,853.1,702.34,Fthiotidas_G_01
Davaris ,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,17,853.27,702.34,Fthiotidas_G_01
Roinioti,C3 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,18,858.39,702.34,Fthiotidas_G_01
Milonas ,C4 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,19,863.79,702.34,Fthiotidas_G_01
Vigopoul,C5 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,20,873.59,702.34,Fthiotidas_G_01
Chatziga,C3 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,21,874.71,702.34,Fthiotidas_G_01
Stavropo,C6 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,22,883.3,702.34,Fthiotidas_G_01
Rigas Gi,C3 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,23,895.96,702.34,Fthiotidas_G_01
Manousko,C6 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,24,897.28,702.34,Fthiotidas_G_01
Giannako,C5 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,25,899.52,702.34,Fthiotidas_G_01
Agelis E,C6 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,26,904.36,702.34,Fthiotidas_G_01
Kalamara,C5 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,27,936.92,702.34,Fthiotidas_G_01
Sotiropo,C6 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,28,954.37,702.34,Fthiotidas_G_01
Moshopou,C6 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,29,959.85,702.34,Fthiotidas_G_01
Koutsouk,C4 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,30,981.56,702.34,Fthiotidas_G_01
Baxevana,C6,1,Fthiotidas_G,2/7/2023,Gravel,Championship,31,1007.96,702.34,Fthiotidas_G_01
Rahoutis,C6 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,32,1023.85,702.34,Fthiotidas_G_01
Tzemos K,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,33,1132.24,702.34,Fthiotidas_G_01
Laos Cos,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,34,1385.53,702.34,Fthiotidas_G_01
Tsouloft,C1,2,Fthiotidas_G,2/7/2023,Gravel,Championship,1,1171.34,1171.34,Fthiotidas_G_02
Kehagias,C1,2,Fthiotidas_G,2/7/2023,Gravel,Championship,2,1207.4,1171.34,Fthiotidas_G_02
Philippe,C1,2,Fthiotidas_G,2/7/2023,Gravel,Championship,3,1211.22,1171.34,Fthiotidas_G_02
Kirkos P,C2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,4,1248.59,1171.34,Fthiotidas_G_02
Halkias ,C3,2,Fthiotidas_G,2/7/2023,Gravel,Championship,5,1275.84,1171.34,Fthiotidas_G_02
Xanthako,C1,2,Fthiotidas_G,2/7/2023,Gravel,Championship,6,1301.98,1171.34,Fthiotidas_G_02
Badounas,C2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,7,1303.07,1171.34,Fthiotidas_G_02
Chatzima,C3 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,8,1303.12,1171.34,Fthiotidas_G_02
Ismailos,C2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,9,1304.45,1171.34,Fthiotidas_G_02
Karaniko,C5 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,10,1309.18,1171.34,Fthiotidas_G_02
Angelov ,C1,2,Fthiotidas_G,2/7/2023,Gravel,Championship,11,1320.26,1171.34,Fthiotidas_G_02
Flandy  ,C1,2,Fthiotidas_G,2/7/2023,Gravel,Championship,12,1335.79,1171.34,Fthiotidas_G_02
Panteli ,C5 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,13,1340.29,1171.34,Fthiotidas_G_02
Theochar,C2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,14,1355.72,1171.34,Fthiotidas_G_02
Laos Cos,C2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,15,1358.43,1171.34,Fthiotidas_G_02
Tsakalos,C6 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,16,1429.04,1171.34,Fthiotidas_G_02
Vigopoul,C5 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,17,1432.65,1171.34,Fthiotidas_G_02
Giannako,C5 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,18,1445.83,1171.34,Fthiotidas_G_02
Chatziga,C3 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,19,1446.5,1171.34,Fthiotidas_G_02
Stavropo,C6 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,20,1483.63,1171.34,Fthiotidas_G_02
Manousko,C6 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,21,1484.53,1171.34,Fthiotidas_G_02
Agelis E,C6 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,22,1491.36,1171.34,Fthiotidas_G_02
Sotiropo,C6 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,23,1549.17,1171.34,Fthiotidas_G_02
Milonas ,C4 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,24,1561.29,1171.34,Fthiotidas_G_02
Baxevana,C6,2,Fthiotidas_G,2/7/2023,Gravel,Championship,25,1571.19,1171.34,Fthiotidas_G_02
Moshopou,C6 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,26,1572.2,1171.34,Fthiotidas_G_02
Rahoutis,C6 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,27,1661.98,1171.34,Fthiotidas_G_02
Roinioti,C3 F2,2,Fthiotidas_G,2/7/2023,Gravel,Championship,28,1736.2,1171.34,Fthiotidas_G_02
Tsouloft,C1,3,Fthiotidas_G,2/7/2023,Gravel,Championship,1,694.7,694.7,Fthiotidas_G_03
Kehagias,C1,3,Fthiotidas_G,2/7/2023,Gravel,Championship,2,707.12,694.7,Fthiotidas_G_03
Kirkos P,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,3,744.14,694.7,Fthiotidas_G_03
Chatzima,C3 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,4,770.83,694.7,Fthiotidas_G_03
Angelov ,C1,3,Fthiotidas_G,2/7/2023,Gravel,Championship,5,775.1,694.7,Fthiotidas_G_03
Ismailos,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,6,785.33,694.7,Fthiotidas_G_03
Karaniko,C5 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,7,786.01,694.7,Fthiotidas_G_03
Xanthako,C1,3,Fthiotidas_G,2/7/2023,Gravel,Championship,8,788.02,694.7,Fthiotidas_G_03
Badounas,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,9,791.58,694.7,Fthiotidas_G_03
Theochar,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,10,815.75,694.7,Fthiotidas_G_03
Panteli ,C5 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,11,822.1,694.7,Fthiotidas_G_03
Laos Cos,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,12,824.26,694.7,Fthiotidas_G_03
Vigopoul,C5 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,13,851.77,694.7,Fthiotidas_G_03
Roinioti,C3 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,14,856.03,694.7,Fthiotidas_G_03
Tsakalos,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,15,876.46,694.7,Fthiotidas_G_03
Milonas ,C4 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,16,886.11,694.7,Fthiotidas_G_03
Stavropo,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,17,887.94,694.7,Fthiotidas_G_03
Giannako,C5 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,18,939.96,694.7,Fthiotidas_G_03
Sotiropo,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,19,953.93,694.7,Fthiotidas_G_03
Moshopou,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,20,954.95,694.7,Fthiotidas_G_03
Baxevana,C6,3,Fthiotidas_G,2/7/2023,Gravel,Championship,21,986.56,694.7,Fthiotidas_G_03
Halkias ,C3,3,Fthiotidas_G,2/7/2023,Gravel,Championship,22,1012.56,694.7,Fthiotidas_G_03
Agelis E,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,23,1024.88,694.7,Fthiotidas_G_03
Rahoutis,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,24,1053.08,694.7,Fthiotidas_G_03
Philippe,C1,3,Fthiotidas_G,2/7/2023,Gravel,Championship,25,1128.01,694.7,Fthiotidas_G_03
Manousko,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,26,1206.46,694.7,Fthiotidas_G_03
Tsouloft,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,1,1161.76,1161.76,Fthiotidas_G_04
Kehagias,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,2,1186.14,1161.76,Fthiotidas_G_04
Philippe,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,3,1195.6,1161.76,Fthiotidas_G_04
Kirkos P,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,4,1259.08,1161.76,Fthiotidas_G_04
Xanthako,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,5,1271.86,1161.76,Fthiotidas_G_04
Karaniko,C5 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,6,1281.9,1161.76,Fthiotidas_G_04
Badounas,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,7,1285.76,1161.76,Fthiotidas_G_04
Chatzima,C3 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,8,1298.4,1161.76,Fthiotidas_G_04
Ismailos,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,9,1300.57,1161.76,Fthiotidas_G_04
Angelov ,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,10,1301.85,1161.76,Fthiotidas_G_04
Laos Cos,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,11,1362.08,1161.76,Fthiotidas_G_04
Panteli ,C5 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,12,1367.08,1161.76,Fthiotidas_G_04
Milonas ,C4 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,13,1402.81,1161.76,Fthiotidas_G_04
Vigopoul,C5 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,14,1426.98,1161.76,Fthiotidas_G_04
Theochar,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,15,1434.43,1161.76,Fthiotidas_G_04
Roinioti,C3 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,16,1446.54,1161.76,Fthiotidas_G_04
Tsakalos,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,17,1469.28,1161.76,Fthiotidas_G_04
Manousko,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,18,1482.33,1161.76,Fthiotidas_G_04
Stavropo,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,19,1541.76,1161.76,Fthiotidas_G_04
Sotiropo,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,20,1555.13,1161.76,Fthiotidas_G_04
Moshopou,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,21,1581.79,1161.76,Fthiotidas_G_04
Baxevana,C6,4,Fthiotidas_G,2/7/2023,Gravel,Championship,22,1633.12,1161.76,Fthiotidas_G_04
Rahoutis,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,23,1894.56,1161.76,Fthiotidas_G_04
Anapolio,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,1,941.22,941.22,Fthiotidas_T_01
Papadimi,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,2,958.54,941.22,Fthiotidas_T_01
Aligizak,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,3,961.56,941.22,Fthiotidas_T_01
Kampilis,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,4,988.99,941.22,Fthiotidas_T_01
Koukeas ,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,5,989.01,941.22,Fthiotidas_T_01
Stafilop,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,6,989.47,941.22,Fthiotidas_T_01
Moschos ,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,7,991.37,941.22,Fthiotidas_T_01
Ktistaki,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,8,992.08,941.22,Fthiotidas_T_01
Peroulak,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,9,992.65,941.22,Fthiotidas_T_01
Argiriou,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,10,1001.02,941.22,Fthiotidas_T_01
Gerodimo,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,11,1003.56,941.22,Fthiotidas_T_01
Konstant,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,12,1013.63,941.22,Fthiotidas_T_01
Mihos Di,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,13,1017.89,941.22,Fthiotidas_T_01
Avgeropo,C4 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,14,1027.89,941.22,Fthiotidas_T_01
Stratiev,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,15,1035.74,941.22,Fthiotidas_T_01
Titakis ,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,16,1039.85,941.22,Fthiotidas_T_01
Michail ,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,17,1050.37,941.22,Fthiotidas_T_01
Kazanas ,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,18,1062.83,941.22,Fthiotidas_T_01
Vergozis,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,19,1064.71,941.22,Fthiotidas_T_01
Koutsodi,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,20,1067.07,941.22,Fthiotidas_T_01
Nomikos ,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,21,1070.96,941.22,Fthiotidas_T_01
Stergiad,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,22,1073.62,941.22,Fthiotidas_T_01
Baxevana,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,23,1084.33,941.22,Fthiotidas_T_01
Vatsos N,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,24,1092.5,941.22,Fthiotidas_T_01
Tsitsigi,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,25,1105.57,941.22,Fthiotidas_T_01
Anagnost,C4 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,26,1119.65,941.22,Fthiotidas_T_01
Stamatak,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,27,1123.68,941.22,Fthiotidas_T_01
Avramidi,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,28,1124.27,941.22,Fthiotidas_T_01
Tomov Al,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,29,1125.49,941.22,Fthiotidas_T_01
Kougias ,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,30,1127.99,941.22,Fthiotidas_T_01
Massiala,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,31,1131.32,941.22,Fthiotidas_T_01
Manousko,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,32,1133.94,941.22,Fthiotidas_T_01
Michos I,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,33,1135.39,941.22,Fthiotidas_T_01
Rocco Gi,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,34,1153.86,941.22,Fthiotidas_T_01
Papazogl,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,35,1155.81,941.22,Fthiotidas_T_01
Kyriakop,4 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,36,1156.68,941.22,Fthiotidas_T_01
Diamanti,C4 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,37,1159.39,941.22,Fthiotidas_T_01
Karagioz,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,38,1163.95,941.22,Fthiotidas_T_01
Papadimi,4 2000,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,39,1166.16,941.22,Fthiotidas_T_01
Halivela,3 2000,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,40,1168.29,941.22,Fthiotidas_T_01
Kofinas ,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,41,1189.74,941.22,Fthiotidas_T_01
Amaxopou,2 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,42,1195.24,941.22,Fthiotidas_T_01
Gavriili,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,43,1195.6,941.22,Fthiotidas_T_01
Bandras ,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,44,1209.6,941.22,Fthiotidas_T_01
Georgako,4 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,45,1210.8,941.22,Fthiotidas_T_01
Lykakis ,2 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,46,1257.41,941.22,Fthiotidas_T_01
Mitropou,2 2000,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,47,1262.75,941.22,Fthiotidas_T_01
Nomikos ,4 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,48,1309.3,941.22,Fthiotidas_T_01
Bistas I,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,49,1484.42,941.22,Fthiotidas_T_01
Polatsid,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,50,1682.07,941.22,Fthiotidas_T_01
Anapolio,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,1,407.56,407.56,Fthiotidas_T_02
Aligizak,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,2,412.86,407.56,Fthiotidas_T_02
Papadimi,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,3,415.84,407.56,Fthiotidas_T_02
Peroulak,C2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,4,421.0,407.56,Fthiotidas_T_02
Koukeas ,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,5,421.56,407.56,Fthiotidas_T_02
Ktistaki,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,6,423.8,407.56,Fthiotidas_T_02
Avgeropo,C4 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,7,427.08,407.56,Fthiotidas_T_02
Kampilis,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,8,433.18,407.56,Fthiotidas_T_02
Argiriou,C2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,9,433.4,407.56,Fthiotidas_T_02
Konstant,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,10,436.75,407.56,Fthiotidas_T_02
Mihos Di,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,11,438.32,407.56,Fthiotidas_T_02
Gerodimo,C2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,12,438.97,407.56,Fthiotidas_T_02
Titakis ,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,13,446.17,407.56,Fthiotidas_T_02
Stratiev,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,14,451.08,407.56,Fthiotidas_T_02
Kazanas ,C2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,15,451.29,407.56,Fthiotidas_T_02
Stafilop,4 2000+,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,16,451.42,407.56,Fthiotidas_T_02
Nomikos ,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,17,452.14,407.56,Fthiotidas_T_02
Michail ,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,18,455.3,407.56,Fthiotidas_T_02
Bistas I,C2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,19,458.22,407.56,Fthiotidas_T_02
Vergozis,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,20,463.33,407.56,Fthiotidas_T_02
Baxevana,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,21,468.77,407.56,Fthiotidas_T_02
Massiala,C6 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,22,478.26,407.56,Fthiotidas_T_02
Stergiad,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,23,479.43,407.56,Fthiotidas_T_02
Avramidi,C6 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,24,481.21,407.56,Fthiotidas_T_02
Kyriakop,4 -1600,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,25,481.63,407.56,Fthiotidas_T_02
Tomov Al,C6 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,26,482.42,407.56,Fthiotidas_T_02
Tsitsigi,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,27,482.52,407.56,Fthiotidas_T_02
