Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Titakis Titos ,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,13,446.17
Stratieva Ekat,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,14,451.08
Kazanas Dimitr,C2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,15,451.29
Stafilopatis M,4 2000+,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,16,451.42
Nomikos Ioanni,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,17,452.14
Michail Stamat,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,18,455.3
Bistas Ioannis,C2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,19,458.22
Vergozissis Ap,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,20,463.33
Baxevanakis P.,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,21,468.77
Massialas Vage,C6 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,22,478.26
Stergiadis A. ,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,23,479.43
Avramidis A.  ,C6 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,24,481.21
Kyriakopoulos ,4 -1600,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,25,481.63
Tomov Aleksand,C6 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,26,482.42
Tsitsigiannis ,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,27,482.52
Papazoglou L. ,4 2000+,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,28,484.25
Manouskos Niko,C6 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,29,487.06
Amaxopoulos D.,2 -1600,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,30,492.58
Rocco Gianluca,4 2000+,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,31,493.26
Anagnostakis K,C4 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,32,497.85
Michos Ioannis,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,33,498.08
Papadimitriou ,4 2000,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,34,498.64
Kofinas Konsta,4 2000+,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,35,500.07
Halivelakis A.,3 2000,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,36,500.46
Kougias jr  - ,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,37,501.16
Gavriilidis Gi,4 2000+,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,38,503.07
Georgakopoulos,4 -1600,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,39,503.85
Bandras Gavrii,C6 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,40,508.49
Diamantis D.  ,C4 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,41,512.66
Vatsos Nikos  ,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,42,519.36
Mitropoulos Ko,2 2000,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,43,531.46
Nomikos Mihali,4 -1600,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,44,534.38
Koutsodimos Io,C6 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,45,542.25
Karagiozopoulo,C3 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,46,577.74
Polatsidis D. ,C5 F2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,47,591.64
Papadimitriou ,C1,3,Fthiotidas_T,1/7/2023,Tarmac,Championship,1,941.2
Aligizakis E. ,C1,3,Fthiotidas_T,1/7/2023,Tarmac,Championship,2,947.01
Anapoliotakis ,C1,3,Fthiotidas_T,1/7/2023,Tarmac,Championship,3,947.88
