Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Yfantis V.  - ,C3 F2,3,Fthinoporino,1/10/2023,Gravel,Championship,14,508.9
Stavropoulos D,C6 F2,3,Fthinoporino,1/10/2023,Gravel,Championship,15,520.18
Sotiropoulos N,C6 F2,3,Fthinoporino,1/10/2023,Gravel,Championship,16,526.38
Panagiotopoulo,C6 F2,3,Fthinoporino,1/10/2023,Gravel,Championship,17,527.23
Yiangou Y.  - ,C2,3,Fthinoporino,1/10/2023,Gravel,Championship,18,542.49
Rahoutis Fanis,C6 F2,3,Fthinoporino,1/10/2023,Gravel,Championship,19,552.99
Batis Vassilis,C6 F2,3,Fthinoporino,1/10/2023,Gravel,Championship,20,570.82
Karatarouk K. ,C4 F2,3,Fthinoporino,1/10/2023,Gravel,Championship,21,577.56
Kaldis Konstan,4,3,Fthinoporino,1/10/2023,Gravel,Championship,22,578.88
Kattis Dimítri,C6 F2,3,Fthinoporino,1/10/2023,Gravel,Championship,23,594.2
Andrikopoulos ,C5 F2,3,Fthinoporino,1/10/2023,Gravel,Championship,24,597.18
Papadimitriou ,C1,4,Fthinoporino,1/10/2023,Gravel,Championship,1,879.22
Kechagias Gior,C1,4,Fthinoporino,1/10/2023,Gravel,Championship,2,903.24
Kirkos Panagio,C2,4,Fthinoporino,1/10/2023,Gravel,Championship,3,928.75
Chatzimarkos P,C3 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,4,958.66
Ismailos Panos,C2,4,Fthinoporino,1/10/2023,Gravel,Championship,5,964.89
Amoutzas Giorg,C3 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,6,971.66
Delaportas Gio,C3,4,Fthinoporino,1/10/2023,Gravel,Championship,7,1002.3
Theocharopoulo,C2,4,Fthinoporino,1/10/2023,Gravel,Championship,8,1040.07
Davaris Nikos ,C2,4,Fthinoporino,1/10/2023,Gravel,Championship,9,1074.11
Milonas K.  - ,C4 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,10,1090.33
Ladias Akis  -,C2,4,Fthinoporino,1/10/2023,Gravel,Championship,11,1092.58
Yfantis V.  - ,C3 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,12,1108.34
Stavropoulos D,C6 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,13,1114.58
Panagiotopoulo,C6 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,14,1122.71
Yiangou Y.  - ,C2,4,Fthinoporino,1/10/2023,Gravel,Championship,15,1141.9
Sotiropoulos N,C6 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,16,1170.22
Batis Vassilis,C6 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,17,1211.94
Rahoutis Fanis,C6 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,18,1219.08
Karatarouk K. ,C4 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,19,1271.47
Andrikopoulos ,C5 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,20,1304.18
Kattis Dimítri,C6 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,21,1342.11
Giotis Ioannis,C4 F2,4,Fthinoporino,1/10/2023,Gravel,Championship,22,1642.91
Papadimitriou ,C1,5,Fthinoporino,1/10/2023,Gravel,Championship,1,588.67
Kechagias Gior,C1,5,Fthinoporino,1/10/2023,Gravel,Championship,2,600.71
Ismailos Panos,C2,5,Fthinoporino,1/10/2023,Gravel,Championship,3,629.85
Chatzimarkos P,C3 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,4,651.24
Amoutzas Giorg,C3 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,5,654.3
Kirkos Panagio,C2,5,Fthinoporino,1/10/2023,Gravel,Championship,6,655.36
Delaportas Gio,C3,5,Fthinoporino,1/10/2023,Gravel,Championship,7,666.56
Theocharopoulo,C2,5,Fthinoporino,1/10/2023,Gravel,Championship,8,693.6
Davaris Nikos ,C2,5,Fthinoporino,1/10/2023,Gravel,Championship,9,695.16
