Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Kirkos Panagio,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,3,744.14
Chatzimarkos P,C3 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,4,770.83
Angelov Mirosl,C1,3,Fthiotidas_G,2/7/2023,Gravel,Championship,5,775.1
Ismailos Panos,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,6,785.33
Karanikolas E.,C5 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,7,786.01
Xanthakos M.  ,C1,3,Fthiotidas_G,2/7/2023,Gravel,Championship,8,788.02
Badounas I.  -,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,9,791.58
Theocharopoulo,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,10,815.75
Panteli Chryso,C5 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,11,822.1
Laos Costas  -,C2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,12,824.26
Vigopoulos Nik,C5 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,13,851.77
Roiniotis S.  ,C3 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,14,856.03
Tsakalos Athan,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,15,876.46
Milonas K.  - ,C4 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,16,886.11
Stavropoulos D,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,17,887.94
Giannakopoulos,C5 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,18,939.96
Sotiropoulos N,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,19,953.93
Moshopoulos N.,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,20,954.95
Baxevanakis A.,C6,3,Fthiotidas_G,2/7/2023,Gravel,Championship,21,986.56
Halkias Efthim,C3,3,Fthiotidas_G,2/7/2023,Gravel,Championship,22,1012.56
Agelis Elias  ,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,23,1024.88
Rahoutis Fanis,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,24,1053.08
Philippedes Yo,C1,3,Fthiotidas_G,2/7/2023,Gravel,Championship,25,1128.01
Manouskos Elia,C6 F2,3,Fthiotidas_G,2/7/2023,Gravel,Championship,26,1206.46
Tsouloftas Ale,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,1,1161.76
Kehagias Giorg,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,2,1186.14
Philippedes Yo,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,3,1195.6
Kirkos Panagio,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,4,1259.08
Xanthakos M.  ,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,5,1271.86
Karanikolas E.,C5 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,6,1281.9
Badounas I.  -,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,7,1285.76
Chatzimarkos P,C3 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,8,1298.4
Ismailos Panos,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,9,1300.57
Angelov Mirosl,C1,4,Fthiotidas_G,2/7/2023,Gravel,Championship,10,1301.85
Laos Costas  -,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,11,1362.08
Panteli Chryso,C5 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,12,1367.08
Milonas K.  - ,C4 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,13,1402.81
Vigopoulos Nik,C5 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,14,1426.98
Theocharopoulo,C2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,15,1434.43
Roiniotis S.  ,C3 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,16,1446.54
Tsakalos Athan,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,17,1469.28
Manouskos Elia,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,18,1482.33
Stavropoulos D,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,19,1541.76
Sotiropoulos N,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,20,1555.13
Moshopoulos N.,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,21,1581.79
Baxevanakis A.,C6,4,Fthiotidas_G,2/7/2023,Gravel,Championship,22,1633.12
Rahoutis Fanis,C6 F2,4,Fthiotidas_G,2/7/2023,Gravel,Championship,23,1894.56
