,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23
#32,Granados Miguel - MartÃ­ Marc Å koda Fabia Rally2 evo,RC2,1:04.4,1:04.2,23:00.0 [N],9:41.8,-,-,-,-,-,-,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:32.9,39:40.1,14:37.1,3:36.8,1:36.2,3:37.2,31:35.2,8:30.0,6:25.5
#32,Granados Miguel - MartÃ­ Marc Å koda Fabia Rally2 evo  [SR],RC2,-,-,-,-,19:57.3 [N],34:11.1 [N],19:37.0 [N],19:48.7 [N],13:30.5 [N],11:38.4 [N],-,-,-,-,-,-,-,-,-,-,-,-
#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,59.5,58.0,22:08.1,8:28.5,8:58.8,22:01.7,8:25.0,8:51.6,3:19.9,1:31.0,8:38.1,14:38.8,12:23.6,3:13.1,14:33.1,12:18.6,3:15.0,1:31.0,3:11.1,24:37.7,7:14.9,5:20.2
#34,Salas Carlos - Zapata Ortega Jaime Å koda Fabia R5,RC2,1:04.1,1:03.5,23:00.0 [N],9:40.1,9:57.3,24:14.6,9:41.8,9:55.1,3:30.5,1:38.4,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:30.3,16:46.5,14:13.1,3:32.5,1:36.2,3:28.4,28:00.3,8:10.1,6:15.7
#35,Coyne John - Treacy Eoin Ford Fiesta Rally2,RC2,1:09.4,1:09.8,23:00.0 [N],11:03.6,10:47.6,26:14.2,10:24.9,10:53.5,4:50.1,1:51.9,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:58.4,17:37.0,15:31.4,3:59.5,1:52.6,3:48.8,30:55.9,-,-
#36,Mauro SÃ¡nchez A. - Sanjuan de Eusebio D. Å koda Fabia Rally2 evo,RC2,1:03.7,1:03.9,23:00.0 [N],9:54.0,9:58.8,24:20.7,9:43.3,9:48.7,11:08.3,1:44.7,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:28.6,16:35.1,14:09.1,3:35.1,1:36.0,3:38.4,31:08.7,8:49.1,6:50.2
#37,Bailey Jason - Peterson Shayne Ford Fiesta Rally3,RC3,1:11.7,1:08.1,23:00.0 [N],10:42.8,10:51.9,26:38.9,10:47.5,10:47.8,3:50.3,-,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:47.5,18:04.8,15:19.7,3:51.5,1:47.1,3:55.8,30:10.3,8:55.7,6:46.7
#37,Bailey Jason - Peterson Shayne Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,-,11:37.9 [N],-,-,-,-,-,-,-,-,-,-,-,-
#38,Spitalier Patrice - Spitalier N. Renault Clio Rally5,RC5,1:11.4,1:12.3,23:00.0 [N],11:12.1,11:30.2,28:23.2,11:29.6,11:31.1,4:00.4,1:49.8,9:47.2 [N],16:40.2 [N],14:16.5 [N],3:57.7,19:20.2,16:01.2,3:58.3,1:47.8,3:54.6,31:17.9,9:29.5,7:04.6
#39,Uriostegui Gustavo - Zapata Armando Renault Clio Rally5,RC5,1:11.9,1:14.0,23:00.0 [N],-,-,-,-,-,-,-,9:47.2 [N],16:40.2 [N],14:16.5 [N],4:03.3,19:09.2,16:07.5,3:58.7,1:57.2,3:55.5,30:55.6,9:15.0,6:57.3
#39,Uriostegui Gustavo - Zapata Armando Renault Clio Rally5  [SR],RC5,-,-,-,21:12.1 [N],21:30.2 [N],38:23.2 [N],21:29.6 [N],21:31.1 [N],14:00.4 [N],11:49.5 [N],-,-,-,-,-,-,-,-,-,-,-,-
#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,59.3,57.1,22:00.2,8:28.2,8:55.6,21:54.1,8:22.7,8:47.7,3:15.0,1:32.1,-,-,-,-,-,-,-,-,-,-,-,-
#41,Maggio Rodriguez R. - Pimentel M. Renault Clio Rally5,RC5,1:30.4,1:32.4,23:00.0 [N],12:36.6,12:26.1,29:58.9,12:25.5,12:45.2,4:22.5,2:01.8,9:47.2 [N],16:40.2 [N],14:16.5 [N],4:10.2,20:15.3,17:53.6,4:12.2,1:55.4,4:05.1,-,-,-
#42,Retama Emiliano - Retama Diego Renault Clio Rally5,RC5,1:13.4,1:10.8,23:00.0 [N],11:58.9,11:57.4,29:49.4,12:09.9,12:21.3,4:06.3,1:49.5,9:47.2 [N],16:40.2 [N],14:16.5 [N],4:13.8,20:06.7,17:34.5,4:06.5,1:50.0,4:03.7,31:44.6,9:16.8,7:09.2
#6,Sordo Dani - Carrera CÃ¡ndido Hyundai i20 N Rally1,RC1 M,59.8,57.8,22:06.3,8:32.1,8:57.5,22:02.2,9:20.9,8:53.1,3:19.6,1:29.9,8:48.8,14:50.4,12:32.9,3:12.8,14:44.0,12:25.3,3:14.3,1:31.1,3:20.9,25:06.9,7:22.1,5:19.5
#69,RovanperÃ¤ Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,58.8,57.1,22:12.9,8:32.4,9:08.4,22:06.5,8:28.8,8:54.5,3:20.5,1:31.8,8:42.8,14:44.8,12:28.9,3:12.8,14:33.8,12:31.9,3:13.7,1:31.2,3:12.8,25:02.1,7:18.9,5:19.3
#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,1:00.1,57.8,-,-,-,-,-,-,-,-,9:00.1,15:13.1,12:53.6,3:17.4,14:50.7,22:16.0 [N],13:13.6 [N],11:29.6 [N],3:23.5,26:27.3,7:30.5,5:27.0
#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1  [SR],RC1 M,-,-,32:00.2 [N],18:27.8 [N],18:55.6 [N],31:54.1 [N],18:20.8 [N],18:47.7 [N],13:15.0 [N],11:29.9 [N],-,-,-,-,-,-,-,-,-,-,-,-
#8,TÃ¤nak Ott - JÃ¤rveoja Martin Ford Puma Rally1,RC1 M,58.0,56.2,29:47.9,11:07.8,11:04.0,22:23.1,8:54.7,9:11.2,3:23.7,1:30.4,8:42.7,14:57.4,12:31.4,3:12.1,14:37.5,12:21.8,3:13.6,1:29.6,3:11.5,25:24.2,7:13.3,5:16.9
#9,Serderidis Jourdan - Miclotte F. Ford Puma Rally1,RC1,1:04.7,1:02.4,-,-,-,-,-,-,-,-,9:47.2,16:40.2,14:16.5,3:30.6,16:31.8,14:05.5,3:33.6,1:35.5,3:34.9,27:52.5,8:07.3,6:11.2
#9,Serderidis Jourdan - Miclotte F. Ford Puma Rally1  [SR],RC1,-,-,32:00.2 [N],18:27.8 [N],18:55.6 [N],31:54.1 [N],18:20.8 [N],18:47.7 [N],13:15.0 [N],11:29.9 [N],-,-,-,-,-,-,-,-,-,-,-,-
