Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
10,#25,Kajetanowicz K. - Szczepaniak M. Å koda Fabia Rally2 evo,RC2,9:19.0,+31.3 +5.7,88.8 2.27,8
11,#24,Lindholm Emil - HÃ¤mÃ¤lÃ¤inen Reeta Å koda Fabia Rally2 evo,RC2,9:19.6,+31.9 +0.6,88.7 2.31,8
12,#29,MartÃ­nez Fontena J. - Alvarez Nicholson A. Å koda Fabia R5,RC2,9:33.5,+45.8 +13.9,86.6 3.32,8
13,#26,Prokop Martin - Ernst Michal Ford Fiesta Rally2,RC2,9:36.1,+48.4 +2.6,86.2 3.51,8
14,#36,Mauro SÃ¡nchez A. - Sanjuan de Eusebio D. Å koda Fabia Rally2 evo,RC2,9:48.7,+1:01.0 +12.6,84.3 4.42,8
15,#34,Salas Carlos - Zapata Ortega Jaime Å koda Fabia R5,RC2,9:55.1,+1:07.4 +6.4,83.4 4.89,8
16,#31,Cordero Jr. Ricardo - HernÃ¡ndez M. CitroÃ«n C3 Rally2,RC2,10:08.3,+1:20.6 +13.2,81.6 5.84,8
17,#30,DomÃ­nguez Jr. Diego - PeÃ±ate R. Ford Fiesta Rally3,RC3,10:15.1,+1:27.4 +6.8,80.7 6.34,8
18,#37,Bailey Jason - Peterson Shayne Ford Fiesta Rally3,RC3,10:47.8,+2:00.1 +32.7,76.6 8.71,8
19,#21,Solberg Oliver - Edmondson Elliott Å koda Fabia RS Rally2,RC2,10:49.8,+2:02.1 +2.0,76.4 8.85,8
20,#35,Coyne John - Treacy Eoin Ford Fiesta Rally2,RC2,10:53.5,+2:05.8 +3.7,76.0 9.12,8
21,#27,Chwist Daniel - Heller Kamil Å koda Fabia Rally2 evo,RC2,10:59.0,+2:11.3 +5.5,75.3 9.52,8
22,#38,Spitalier Patrice - Spitalier N. Renault Clio Rally5,RC5,11:31.1,+2:43.4 +32.1,71.8 11.9,8
23,#42,Retama Emiliano - Retama Diego Renault Clio Rally5,RC5,12:21.3,+3:33.6 +50.2,67.0 15.5,8
24,#41,Maggio Rodriguez R. - Pimentel M. Renault Clio Rally5,RC5,12:45.2,+3:57.5 +23.9,64.9 17.2,8
25,#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1  [SR],RC1 M,18:47.7 [N],+10:00.0 +6:02.5,44.0 43.5,8
25,#9,Serderidis Jourdan - Miclotte F. Ford Puma Rally1  [SR],RC1,18:47.7 [N],+10:00.0 +0.0,44.0 43.5,8
25,#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1  [SR],RC1,18:47.7 [N],+10:00.0 +0.0,44.0 43.5,8
28,#28,Castro Eduardo - Mussano Fernando Å koda Fabia Rally2 evo  [SR],RC2,19:08.3 [N],+10:20.6 +20.6,43.2 45.0,8
29,#32,Granados Miguel - MartÃ­ Marc Å koda Fabia Rally2 evo  [SR],RC2,19:48.7 [N],+11:01.0 +40.4,41.8 47.9,8
30,#39,Uriostegui Gustavo - Zapata Armando Renault Clio Rally5  [SR],RC5,21:31.1 [N],+12:43.4 +1:42.4,38.5 55.4,8
1,#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,3:15.0,,65.2,9
2,#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,3:17.6,+2.6 +2.6,64.3 0.74,9
