Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
42,#50,Fukunaga Osamu - Saida Misako Škoda Fabia RS Rally2,RC2,2:08.1,+16.9 +0.5,71.7 6.63,1
43,#63,László Zoltán - Zsiros Gábor Škoda Fabia RS Rally2,RC2,2:09.2,+18.0 +1.1,71.1 7.06,1
44,#59,Allkofer C. - Götzenberger K. Ford Fiesta Rally2,RC2,2:09.5,+18.3 +0.3,70.9 7.18,1
45,#64,Fontana Matteo - Arnaboldi A. Peugeot 208 Rally4,RC4,2:09.7,+18.5 +0.2,70.8 7.25,1
46,#53,Marchino Filippo - Ometto P. Škoda Fabia R5,RC2,2:11.3,+20.1 +1.6,69.9 7.88,1
46,#66,Nešetřil Petr - Černoch Jiří Porsche 997 GT3,RGT,2:11.3,+20.1 +0.0,69.9 7.88,1
48,#47,Horák Michal - Horák Ivan Škoda Fabia R5,RC2,2:11.7,+20.5 +0.4,69.7 8.04,1
49,#75,Weigert Timo - Weigert Jasmin Peugeot 208 Rally4,RC4,2:12.3,+21.1 +0.6,69.4 8.27,1
50,#61,Schulz Timo - Wenzel Michael Opel Corsa Rally4,RC4,2:13.8,+22.6 +1.5,68.6 8.86,1
51,#52,Díaz-Aboitiz M. - Sanjuan de Eusebio R. Škoda Fabia RS Rally2,RC2,2:15.3,+24.1 +1.5,67.8 9.45,1
52,#76,Strabello Paolo - Bianchi Davide Peugeot 208 Rally4,RC4,2:16.0,+24.8 +0.7,67.5 9.73,1
53,#67,Rada Martin - Jugas Jaroslav Abarth 124 Rally RGT,RGT,2:17.0,+25.8 +1.0,67.0 10.1,1
54,#68,Kačírek Petr - Řiháková Petra Škoda Fabia R5,RC2,2:17.4,+26.2 +0.4,66.8 10.3,1
55,#71,Irlacher Wolfgang - Irlacher Elke Peugeot 208 Rally4,RC4,2:17.9,+26.7 +0.5,66.6 10.5,1
56,#73,Borodin Petr - Cheprasov Roman Ford Fiesta Rally4,RC4,2:20.9,+29.7 +3.0,65.2 11.7,1
57,#65,Fumal Armand - Escartefigue Jules Alpine A110 Rally RGT,RGT,2:21.5,+30.3 +0.6,64.9 11.9,1
58,#51,Boland Eamonn - MJ Citroën C3 Rally2,RC2,2:24.3,+33.1 +2.8,63.6 13.0,1
59,#78,Wilson Conor - Marsh Sean Ford Fiesta Rally4,RC4,2:28.2,+37.0 +3.9,61.9 14.5,1
60,#80,Stejskal Václav - Omelka Zdeněk Renault Clio Rally5,RC5,2:30.6,+39.4 +2.4,61.0 15.5,1
61,#81,Šekuljica Slaven - Petrović Damir Renault Clio Rally5,RC5,2:30.7,+39.5 +0.1,60.9 15.5,1
62,#72,Wallner Christian - Konrad Florian Ford Fiesta Rally4,RC4,2:32.2,+41.0 +1.5,60.3 16.1,1
63,#77,Windischberger C. - Treybal P. Citroën DS3 R5,RC2,2:34.1,+42.9 +1.9,59.6 16.8,1
64,#54,Vossen Henk - van Hoek Radboud Ford Fiesta Rally2,RC2,2:37.9,+46.7 +3.8,58.1 18.3,1
65,#70,Jirovec Jiří - Král Josef Škoda Fabia R5,RC2,2:38.7,+47.5 +0.8,57.8 18.6,1
66,#74,Yein Dai-wei - Hsieh Tsung-yu Škoda Fabia R5,RC2,2:52.2,+1:01.0 +13.5,53.3 23.9,1
67,#79,Pahlitzsch Thomas - Grundmann S. Peugeot 208 Rally4,RC4,3:10.9,+1:19.7 +18.7,48.1 31.3,1
1,#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,4:14.7,,126.1,2
2,#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,4:16.9,+2.2 +2.2,125.0 0.25,2
3,#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,4:17.6,+2.9 +0.7,124.7 0.33,2
4,#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,4:17.7,+3.0 +0.1,124.6 0.34,2
5,#17,Ogier Sébastien - Landais Vincent Toyota GR Yaris Rally1,RC1 M,4:20.8,+6.1 +3.1,123.1 0.68,2
6,#3,Suninen Teemu - Markkula Mikko Hyundai i20 N Rally1,RC1 M,4:21.6,+6.9 +0.8,122.8 0.77,2
7,#7,Loubet Pierre-Louis - Veillas B. Ford Puma Rally1,RC1 M,4:21.7,+7.0 +0.1,122.7 0.78,2
8,#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1,4:22.4,+7.7 +0.7,122.4 0.86,2
9,#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,4:22.5,+7.8 +0.1,122.3 0.87,2
10,#13,Munster Grégoire - Louka Louis Ford Puma Rally1,RC1,4:27.9,+13.2 +5.4,119.9 1.48,2
11,#21,Rossel Yohan - Dunand Arnaud Citroën C3 Rally2,RC2,4:35.0,+20.3 +7.1,116.8 2.28,2
12,#24,Fourmaux Adrien - Coria Alexandre Ford Fiesta Rally2,RC2,4:36.8,+22.1 +1.8,116.0 2.48,2
13,#26,Kajetanowicz K. - Szczepaniak M. Škoda Fabia RS Rally2,RC2,4:37.9,+23.2 +1.1,115.6 2.60,2
14,#22,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,4:38.4,+23.7 +0.5,115.3 2.66,2
15,#20,Mikkelsen Andreas - Eriksen T. Škoda Fabia RS Rally2,RC2,4:38.5,+23.8 +0.1,115.3 2.67,2
