,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#35,Cachón A. - López Fernández A. Citroën C3 Rally2,RC2,1:59.2,4:44.7,10:16.6,13:38.5,14:32.6,-,-,-,9:07.5,20:20.7,8:37.3,8:52.4,17:43.8,8:46.7,8:52.3,9:28.3,8:46.3,9:24.3
#35,Cachón A. - López Fernández A. Citroën C3 Rally2  [SR],RC2,-,-,-,-,-,17:42.6 [N],23:42.3 [N],24:26.6 [N],-,-,-,-,-,-,-,-,-,-
#36,Ciamin Nicolas - Roche Yannick Škoda Fabia RS Rally2,RC2,1:56.2,4:39.6,7:46.1,13:52.1,14:38.1,7:42.6 [N],13:48.9,14:41.9,8:51.5,17:19.4,8:09.5,8:47.0,17:29.7,8:31.6,8:49.9,9:19.7,8:51.0,9:18.2
#37,Korhonen Roope - Viinikka Anssi Škoda Fabia Rally2 evo,RC2,2:00.3,14:35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#38,Skála Jan - Skořepa Jiří Hyundai i20 N Rally2,RC2,1:59.9,4:47.8,8:03.9,14:07.3,15:06.2,7:42.6 [N],14:22.3,15:14.3,9:45.0,18:00.2,8:32.6,9:10.1,20:56.8,8:40.8,9:08.5,-,-,-
#39,Wagner Simon - Winter Gerald Škoda Fabia RS Rally2,RC2,1:55.4,4:41.2,8:52.7,14:04.8,14:54.7,7:42.6 [N],14:16.6,15:00.8,9:09.8,17:40.0,8:34.9,8:56.0,17:46.6,8:37.6,8:57.1,9:33.9,8:52.5,9:26.9
#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,1:52.8,4:17.7,7:10.0,12:40.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#40,Gamba Matteo - Gonella Nicolò Škoda Fabia RS Rally2,RC2,1:57.7,14:35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#41,Březík Adam - Krajča Ondřej Škoda Fabia Rally2 evo,RC2,1:59.1,4:44.1,8:13.8,14:12.8,14:56.9,7:42.6 [N],14:07.1,14:53.1,9:30.9,17:52.0,8:32.0,8:59.3,17:48.1,8:43.9,9:12.7,9:48.9,9:00.6,9:37.1
#44,Vojtěch Štěpán - Ernst Michal Škoda Fabia R5,RC2,2:01.8,4:44.3,9:02.5,14:13.6,15:15.1,7:42.6 [N],14:34.2,15:57.7,9:19.1,18:15.3,9:02.7,9:12.4,18:40.2,9:07.2,9:14.4,10:27.4,9:08.9,9:58.7
#45,von Thurn und Taxis A. - Hain J. Škoda Fabia RS Rally2,RC2,2:01.0,4:49.0,8:19.3,14:19.8,29:07.7,-,-,-,9:18.0,21:21.8,9:08.8,9:05.3,18:23.8,9:18.4,9:02.9,9:41.5,8:55.4,9:46.3
#45,von Thurn und Taxis A. - Hain J. Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,17:42.6 [N],23:42.3 [N],24:26.6 [N],-,-,-,-,-,-,-,-,-,-
#46,Roßgatterer Martin - Heigl Jürgen Škoda Fabia Rally2 evo,RC2,2:01.6,4:44.9,8:42.7,14:11.3,15:00.9,7:42.6 [N],15:01.6,16:10.9,9:30.0,20:58.3,8:51.3,9:08.9,18:11.4,9:01.2,9:14.8,9:54.6,8:59.6,9:53.1
#47,Horák Michal - Horák Ivan Škoda Fabia R5,RC2,2:11.7,5:11.4,8:42.2,15:11.4,16:16.7,7:42.6 [N],15:37.4,17:08.5,10:12.6,19:28.4,9:56.3,9:54.8,19:51.2,10:13.2,9:58.5,10:28.8,9:52.3,10:39.5
#48,Kremer Armin - Kremer Ella Škoda Fabia RS Rally2,RC2,2:01.0,4:51.0,8:16.7,14:15.1,15:14.1,7:42.6 [N],14:27.1,15:43.8,9:33.0,18:20.0,8:50.4,9:17.7,18:30.0,8:51.1,9:19.7,9:49.8,9:08.8,9:56.1
#49,Keferböck Johannes - Minor Ilka Škoda Fabia RS Rally2,RC2,2:04.0,5:00.7,8:44.0,14:45.1,15:35.8,7:42.6 [N],14:50.7,16:16.8,9:37.3,18:36.5,8:56.4,9:31.8,18:52.9,14:40.2,9:19.8,10:05.8,9:09.9,10:10.7
#50,Fukunaga Osamu - Saida Misako Škoda Fabia RS Rally2,RC2,2:08.1,5:09.4,8:46.7,14:47.6,15:39.1,7:42.6 [N],15:04.8,-,9:49.6,-,-,18:45.4,-,-,-,-,-,-
#50,Fukunaga Osamu - Saida Misako Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,24:26.6 [N],-,-,-,-,-,-,-,-,-,-
#51,Boland Eamonn - MJ Citroën C3 Rally2,RC2,2:24.3,14:35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#52,Díaz-Aboitiz M. - Sanjuan de Eusebio R. Škoda Fabia RS Rally2,RC2,2:15.3,5:32.5,10:00.1,16:57.5,18:28.4,7:42.6 [N],17:52.7,21:00.5,10:54.3,22:02.7,10:10.8,10:51.1,22:53.2,12:03.8,10:38.7,11:04.5,10:33.4,13:22.3
#53,Marchino Filippo - Ometto P. Škoda Fabia R5,RC2,2:11.3,5:35.7,9:40.4,16:46.6,17:34.1,7:42.6 [N],17:12.7,19:04.1,10:47.0,21:52.2,10:08.8,10:41.4,21:21.1,10:44.2,10:45.6,11:11.3,10:18.3,11:06.4
