,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
Vossen Henk - ,RC2,Chile,64,58,58,56,53,10,51,51,54,53,40,48,49,46,54,51,51,50
Wagner Simon -,RC2,Chile,13,20,37,22,23,10,22,20,21,18,21,18,20,16,14,16,16,14
Wallner Christ,RC4,Chile,62,55,50,47,50,10,46,41,52,43,40,47,44,40,50,47,45,46
Weigert Timo -,RC4,Chile,49,48,43,48,46,10,58,58,58,51,40,50,46,43,48,48,49,48
Wilson Conor -,RC4,Chile,59,56,52,51,54,10,52,48,53,47,40,48,50,44,52,52,50,47
Windischberger,RC2,Chile,63,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yein Dai-wei -,RC2,Chile,66,59,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zaldivar F. - ,RC2,Chile,34,31,21,24,27,10,21,24,25,25,23,24,25,23,25,23,22,22
van den Brink ,RC3,Chile,38,40,35,36,36,10,34,31,33,31,-,-,-,-,-,-,-,-
von Thurn und ,RC2,Chile,29,30,24,30,59,56,55,54,24,42,29,23,24,27,20,22,17,23
Šekuljica Slav,RC5,Chile,61,61,60,57,60,56,60,60,57,59,58,59,57,56,55,54,53,54
