No,Crew,Vehicle,Gr,Cl,_F,_L
36,ΛΑΠΠΑΣ ΑΝΤΩΝΙΟΣ - ΣΑΡΙΚΑΣ ΔΗΜΗΤΡΙΟΣ ΙΩΝ.,TOYOTA YARIS,C6,A5,F2,LEG
37,ΑΝΑΓΝΩΣΤΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ - ΑΛΕΞΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ,SUZUKI SWIFT,C4,E10,F2,
38,ΔΙΑΜΑΝΤΗΣ ΔΗΜΗΤΡΙΟΣ - ΜΑΣΙΑΛΑΣ ΑΝΔΡΕΑΣ,TOYOTA COROLLA AE86,C4,E10,F2,
39,ΦΥΓΚΙΩΡΗΣ ΒΑΣΙΛΕΙΟΣ - ΚΙΤΣΟΣ ΧΡΗΣΤΟΣ,OPEL ASCONA B,C3,E11,F2,
40,ΜΑΣΙΑΛΑΣ ΕΥΑΓΓΕΛΟΣ - ΜΟΣΧΟΣ ΙΩΑΝΝΗΣ,CITROEN SAXO VTS,C6,N2,F2,LEG
41,ΜΟΣΙΟΣ ΙΩΑΝΝΗΣ - ΣΤΕΛΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,CITROEN SAXO VTS,C6,N2,F2,LEG
42,ΣΤΑΜΑΤΑΚΗΣ ΕΥΣΤΡΑΤΙΟΣ - ΦΑΚΟΥΡΕΛΗΣ ΦΙΛΙΠΠΟΣ ΝΙΚ.,PEUGEOT 106 S16,C6,A5,F2,LEG
43,ΠΑΥΛΗ ΜΑΡΙΑΛΕΝΑ - ΠΑΠΑΔΑΚΗ ΒΙΡΓΙΝΙΑ-ΑΝΝΑ,NISSAN MICRA K11,C6,A5,F2,LEG
44,ΜΙΧΟΣ ΙΩΑΝΝΗΣ - ΦΛΩΡΟΣ ΧΡΥΣΟΣΤΟΜΟΣ,CITROEN SAXO VTS,C5,A6,F2,LEG
45,ΜΠΑΝΤΡΑΣ ΓΑΒΡΙΗΛ - ΜΠΟΓΔΑΝΟΣ ΣΠΥΡΙΔΩΝ,PEUGEOT 106 S16,C6,N2,F2,LEG
101,ΧΑΛΙΒΕΛΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ - ΠΑΠΑΓΕΩΡΓΙΟΥ ΑΘΑΝΑΣΙΟΣ,FORD ESCORT RS2000 MK2,3,D3,,
102,ΣΤΑΦΥΛΟΠΑΤΗΣ ΜΑΡΙΟΣ - ΧΑΤΖΗΡΗΓΑΣ ΓΕΩΡΓΙΟΣ,FORD SIERRA 4x4 COSWORTH,4,E4,,
103,ΑΜΑΞΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ - ΜΩΡΑΙΤΗ ΧΑΡΑ,TOYOTA COROLLA KE30,2,C2,,
104,ΓΑΒΡΙΗΛΙΔΗΣ ΓΕΩΡΓΙΟΣ - ΜΟΥΖΑΚΗΣ ΝΙΚΟΛΑΟΣ,FORD SIERRA 4X4 COSWORTH,4,E4,,
105,ROCCO GIANLUCA - ISAILOVIC JOVAN,FORD SIERRA 4X4 COSWORTH,4,E4,,
106,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ - ΣΕΒΑΣΤΟΠΟΥΛΟΣ ΕΥΑΓΓΕΛΟΣ,TOYOTA STARLET,4,E4,,
107,GEO - ΤΡΙΠΙΝΤΗΣ ΔΗΜΗΤΡΙΟΣ,PEUGEOT 205 RALLYE,4,E1,,
108,ΝΟΜΙΚΟΣ ΜΙΧΑΛΗΣ - ΤΡΟΒΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,TOYOTA STARLET,4,E1,,
109,ΚΑΛΑΙΤΖΙΑΝ ΙΩΑΝΝΗΣ - ΜΑΡΓΙΑΝΝΑ ΚΑΛΟΓΗΡΑΤΟΥ,FIAT RITMO,4,E6,,
110,ΓΕΩΡΓΑΚΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ - ΚΟΝΤΟΣ ΚΩΝ/ΝΟΣ,TOYOTA COROLLA AE86,4,E2,,
111,ΠΑΠΑΖΟΓΛΟΥ ΛΥΜΠΕΡΗΣ - ΝΙΚΟΛΟΠΟΥΛΟΥ ΜΑΡΙΑ,LANCIA DELTA,4,E8,,
112,ΚΑΛΟΓΕΡΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ - ΡΕΝΤΗΣ ΑΛΚΙΒΙΑΔΗΣ,RENAULT 5,3,D4,,
113,ΚΟΦΙΝΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ - ΚΟΦΙΝΑΣ ΑΝΔΡΕΑΣ,ALFA ROMEO ALFETA GTV,4,E6,,
114,ΛΥΚΑΚΗΣ ΙΩΑΝΝΗΣ - ΚΑΜΠΟΥΡΟΒΑ ΜΑΡΙΑ,VOLKSWAGEN BEETLE,2,C2,,
115,ΜΗΤΡΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ - ΜΠΟΥΝΑΖΟΣ ΔΗΜΗΤΡΙΟΣ,FORD ESCORT,2,C3,,
