Time,Time,Time,Time
1,2,3,4
15:41.22,06:47.56,15:47.88,06:55.10
16:01.56,06:52.86,15:47.01,07:14.13
15:58.54,06:55.84,15:41.20,06:51.50
16:28.99,07:13.18,_,_
16:32.65,07:01.00,_,_
16:43.56,07:18.97,16:40.25,07:20.75
16:32.08,07:03.80,16:33.25,07:10.72
16:29.01,07:01.56,34:26.66,07:09.04
16:41.02,07:13.40,23:19.55,07:58.44
17:42.83,07:31.29,17:28.28,07:45.81
16:57.89,07:18.32,16:36.00,07:08.77
16:31.37,_,_,_
16:53.63,07:16.75,16:44.20,07:12.14
17:19.85,07:26.17,17:15.35,07:33.21
17:53.62,07:59.43,17:33.97,07:43.73
17:07.89,07:07.08,17:06.02,07:07.87
17:50.96,07:32.14,_,_
24:44.42,07:38.22,17:49.34,07:36.24
17:15.74,07:31.08,17:43.81,07:42.22
17:44.71,07:43.33,17:51.99,07:31.84
17:30.37,07:35.30,17:40.23,07:54.95
18:12.50,08:39.36,17:46.95,07:43.09
18:04.33,07:48.77,17:56.54,07:53.64
17:47.07,09:02.25,_,_
18:44.27,08:01.21,18:38.33,07:54.62
18:47.99,08:21.16,19:26.41,08:53.76
19:23.95,09:37.74,19:34.23,08:21.39
28:02.07,09:51.64,19:12.35,08:06.70
18:25.57,08:02.52,18:42.73,08:05.90
18:45.49,08:02.42,18:24.13,07:48.72
18:53.94,08:07.06,19:16.90,10:56.45
18:39.65,08:17.85,24:06.06,10:57.42
19:19.39,08:32.66,19:10.09,08:34.27
18:51.32,07:58.26,19:01.27,07:58.51
18:43.68,_,_,_
18:55.39,08:18.08,19:06.30,08:30.24
20:09.60,08:28.49,20:58.58,08:35.89
19:28.29,08:20.46,19:28.57,08:27.55
16:29.47,07:31.42,17:20.87,09:06.18
19:55.24,08:12.58,19:39.27,08:11.12
19:55.60,08:23.07,19:27.88,09:04.81
19:13.86,08:13.26,19:17.77,08:25.22
19:26.16,08:18.64,19:38.70,08:16.38
19:16.68,08:01.63,19:13.16,07:59.17
21:49.30,08:54.38,21:47.68,08:55.68
20:10.80,08:23.85,20:07.79,09:15.10
19:15.81,08:04.25,18:56.88,08:09.18
19:49.74,08:20.07,19:53.76,08:26.91
20:57.41,_,_,_
21:02.75,08:51.46,21:30.90,09:28.74
