Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Neuville Thier,RC1,3,Japan,16-19/11/2023,Tarmac,Wrc,2,870.1
Mikkelsen Andr,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,3,876.2
Munster Grégoi,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,4,894.5
Katsuta Norihi,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,5,894.7
Ogier Sébastie,RC1,3,Japan,16-19/11/2023,Tarmac,Wrc,6,898.8
Gryazin Nikola,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,7,907.1
Fukunaga Osamu,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,8,924.1
Rovanperä Kall,RC1,3,Japan,16-19/11/2023,Tarmac,Wrc,9,925.0
Lappi Esapekka,RC1,3,Japan,16-19/11/2023,Tarmac,Wrc,10,925.2
Kovalainen Hei,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,11,926.5
Arai Toshi  - ,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,12,926.6
Boland Eamonn ,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,13,945.2
Shinkai Tomoyu,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,14,950.8
Arai Hiroki  -,RC4,3,Japan,16-19/11/2023,Tarmac,Wrc,15,957.0
Kajetanowicz K,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,16,961.4
Chwist Daniel ,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,17,969.8
Katsuta Takamo,RC1,3,Japan,16-19/11/2023,Tarmac,Wrc,18,970.1
Imai Satoshi  ,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,19,975.9
Sasaki Yasuyuk,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,20,998.2
Bailey Jason  ,RC3,3,Japan,16-19/11/2023,Tarmac,Wrc,21,1013.4
Tänak Ott  - J,RC1,3,Japan,16-19/11/2023,Tarmac,Wrc,22,1024.2
Murata Kosuke ,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,23,1029.1
Hotta Makoto  ,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,24,1038.5
Díaz-Aboitiz M,RC2,3,Japan,16-19/11/2023,Tarmac,Wrc,25,1056.1
Nakayama Toru ,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,26,1100.7
Yamamoto Yuta ,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,27,1101.7
Kunisawa Mitsu,RC5,3,Japan,16-19/11/2023,Tarmac,Wrc,28,1130.7
Iriemon  - Kag,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,29,1146.1
Takata Koji  -,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,30,1195.6
Hagiwara Yasun,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,31,1210.0
Aihara Taisuke,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,32,1264.3
Shimizu Hiroya,NAT,3,Japan,16-19/11/2023,Tarmac,Wrc,33,1746.1
Katsuta Takamo,RC1,5,Japan,16-19/11/2023,Tarmac,Wrc,1,1148.1
Neuville Thier,RC1,5,Japan,16-19/11/2023,Tarmac,Wrc,2,1151.4
Ogier Sébastie,RC1,5,Japan,16-19/11/2023,Tarmac,Wrc,3,1164.3
Evans Elfyn  -,RC1,5,Japan,16-19/11/2023,Tarmac,Wrc,4,1166.9
Rovanperä Kall,RC1,5,Japan,16-19/11/2023,Tarmac,Wrc,5,1172.3
Tänak Ott  - J,RC1,5,Japan,16-19/11/2023,Tarmac,Wrc,6,1180.3
Gryazin Nikola,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,7,1198.4
Munster Grégoi,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,8,1198.7
Lappi Esapekka,RC1,5,Japan,16-19/11/2023,Tarmac,Wrc,9,1210.6
Mikkelsen Andr,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,10,1214.2
Kovalainen Hei,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,11,1241.6
Arai Hiroki  -,RC4,5,Japan,16-19/11/2023,Tarmac,Wrc,12,1263.8
Kajetanowicz K,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,13,1271.9
Katsuta Norihi,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,14,1272.4
Arai Toshi  - ,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,15,1287.0
Fukunaga Osamu,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,16,1312.0
Shinkai Tomoyu,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,17,1316.7
Boland Eamonn ,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,18,1349.6
Chwist Daniel ,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,19,1362.4
Imai Satoshi  ,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,20,1404.7
Murata Kosuke ,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,21,1417.9
Yamamoto Yuta ,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,22,1444.3
Hotta Makoto  ,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,23,1451.6
Bailey Jason  ,RC3,5,Japan,16-19/11/2023,Tarmac,Wrc,24,1453.5
Díaz-Aboitiz M,RC2,5,Japan,16-19/11/2023,Tarmac,Wrc,25,1482.5
Kunisawa Mitsu,RC5,5,Japan,16-19/11/2023,Tarmac,Wrc,26,1602.8
Nakayama Toru ,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,27,1614.6
Takata Koji  -,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,28,1692.8
Aihara Taisuke,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,29,1707.9
Sasaki Yasuyuk,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,30,
Hagiwara Yasun,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,31,
Iriemon  - Kag,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,32,
Shimizu Hiroya,NAT,5,Japan,16-19/11/2023,Tarmac,Wrc,33,
Katsuta Takamo,RC1,6,Japan,16-19/11/2023,Tarmac,Wrc,1,768.5
Evans Elfyn  -,RC1,6,Japan,16-19/11/2023,Tarmac,Wrc,2,768.8
Ogier Sébastie,RC1,6,Japan,16-19/11/2023,Tarmac,Wrc,3,773.2
Rovanperä Kall,RC1,6,Japan,16-19/11/2023,Tarmac,Wrc,4,785.3
Lappi Esapekka,RC1,6,Japan,16-19/11/2023,Tarmac,Wrc,5,788.6
Tänak Ott  - J,RC1,6,Japan,16-19/11/2023,Tarmac,Wrc,6,801.0
Munster Grégoi,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,7,802.7
Mikkelsen Andr,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,8,810.9
Gryazin Nikola,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,9,812.1
Kovalainen Hei,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,10,826.3
Kajetanowicz K,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,11,842.8
Katsuta Norihi,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,12,846.4
Arai Hiroki  -,RC4,6,Japan,16-19/11/2023,Tarmac,Wrc,13,848.2
Arai Toshi  - ,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,14,880.5
Fukunaga Osamu,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,15,881.0
Boland Eamonn ,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,16,885.0
Shinkai Tomoyu,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,17,887.8
Chwist Daniel ,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,18,887.9
Imai Satoshi  ,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,19,929.1
Hotta Makoto  ,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,20,942.3
Bailey Jason  ,RC3,6,Japan,16-19/11/2023,Tarmac,Wrc,21,952.7
Murata Kosuke ,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,22,966.7
Díaz-Aboitiz M,RC2,6,Japan,16-19/11/2023,Tarmac,Wrc,23,967.9
Yamamoto Yuta ,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,24,993.0
Kunisawa Mitsu,RC5,6,Japan,16-19/11/2023,Tarmac,Wrc,25,1055.8
Nakayama Toru ,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,26,1062.7
Takata Koji  -,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,27,1135.6
Aihara Taisuke,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,28,1238.5
Neuville Thier,RC1,6,Japan,16-19/11/2023,Tarmac,Wrc,29,
Sasaki Yasuyuk,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,30,
Hagiwara Yasun,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,31,
Iriemon  - Kag,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,32,
Shimizu Hiroya,NAT,6,Japan,16-19/11/2023,Tarmac,Wrc,33,
Katsuta Takamo,RC1,7,Japan,16-19/11/2023,Tarmac,Wrc,1,873.6
Evans Elfyn  -,RC1,7,Japan,16-19/11/2023,Tarmac,Wrc,2,874.7
Ogier Sébastie,RC1,7,Japan,16-19/11/2023,Tarmac,Wrc,3,881.2
Rovanperä Kall,RC1,7,Japan,16-19/11/2023,Tarmac,Wrc,4,883.8
Lappi Esapekka,RC1,7,Japan,16-19/11/2023,Tarmac,Wrc,5,894.5
Munster Grégoi,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,6,914.5
Mikkelsen Andr,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,7,916.9
Tänak Ott  - J,RC1,7,Japan,16-19/11/2023,Tarmac,Wrc,8,918.7
Gryazin Nikola,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,9,923.4
Kovalainen Hei,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,10,945.1
Kajetanowicz K,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,11,973.5
Katsuta Norihi,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,12,976.9
Arai Hiroki  -,RC4,7,Japan,16-19/11/2023,Tarmac,Wrc,13,982.9
Fukunaga Osamu,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,14,1001.8
Chwist Daniel ,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,15,1007.1
Arai Toshi  - ,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,16,1010.7
