No.,Crew,Group,ss,Race,cou,time_SS_sec
17,Ogier  S. ,RC1,1,Croatia,1,717.7
11,Neuville  ,RC1,1,Croatia,2,720.3
8,Tänak  Ott,RC1,1,Croatia,3,728.2
69,Rovanperä ,RC1,1,Croatia,4,729.0
33,Evans  Elf,RC1,1,Croatia,5,730.0
4,Lappi  Esa,RC1,1,Croatia,6,740.7
18,Katsuta  T,RC1,1,Croatia,7,746.9
7,Loubet  P.,RC1,1,Croatia,8,748.0
21,Rossel  Yo,RC2,1,Croatia,9,759.2
22,Lindholm  ,RC2,1,Croatia,10,769.2
23,Greensmith,RC2,1,Croatia,11,770.8
20,Solberg  O,RC2,1,Croatia,12,772.8
24,Gryazin  N,RC2,1,Croatia,13,776.9
25,Fourmaux  ,RC2,1,Croatia,14,777.8
30,Ciamin  Ni,RC2,1,Croatia,15,788.1
26,Pajari  Sa,RC2,1,Croatia,16,790.7
29,Linnamäe  ,RC2,1,Croatia,17,791.8
36,Cachon  A.,RC2,1,Croatia,18,792.9
32,Kremer  Ar,RC2,1,Croatia,19,807.2
28,Munster  G,RC2,1,Croatia,20,808.0
44,Pellier  L,RC3,1,Croatia,21,812.4
37,Herczig  N,RC2,1,Croatia,22,818.4
38,O'Brien  P,RC2,1,Croatia,23,826.3
41,Creighton ,RC3,1,Croatia,24,827.8
35,Keferböck ,RC2,1,Croatia,25,833.0
34,Miele  Mau,RC2,1,Croatia,26,842.4
45,Dominguez ,RC3,1,Croatia,27,847.2
47,Blach  Rob,RC3,1,Croatia,28,850.7
48,Rensonnet ,RC3,1,Croatia,29,852.0
54,Turk  Rok ,RC2,1,Croatia,30,855.3
50,Kelly  Eam,RC3,1,Croatia,31,856.5
46,Hernández ,RC3,1,Croatia,32,863.3
58,Schwarz  F,RC3,1,Croatia,33,874.1
57,Cartier  V,RC2,1,Croatia,34,874.7
59,Fontana  M,RC4,1,Croatia,35,888.8
62,Medved  Ja,RC4,1,Croatia,36,889.0
53,Majerčák  ,RC2,1,Croatia,37,892.6
52,Ravenščak ,RC3,1,Croatia,38,895.5
40,Boland  Ea,RC2,1,Croatia,39,907.5
55,László  Z.,RC2,1,Croatia,40,911.6
60,Oldani  Ma,RC4,1,Croatia,41,940.9
65,Magličić  ,RC4,1,Croatia,42,949.9
56,Zrinski  A,RC2,1,Croatia,43,950.7
61,Jürgenson ,RC4,1,Croatia,44,950.7
64,Hrvatin  T,RC4,1,Croatia,45,954.0
66,Pokos  Jan,RC4,1,Croatia,46,956.9
39,Vossen  He,RC2,1,Croatia,47,1015.0
71,Mandić  Ig,RC5,1,Croatia,48,1019.9
68,Čičko  V. ,RC5,1,Croatia,49,1024.3
67,Lončarić  ,RC4,1,Croatia,50,1098.9
49,Anwar  Ham,RC3,1,Croatia,51,1114.3
27,Cais  Erik,RC2,1,Croatia,52,1359.2
51,Kohn  Fili,RC3,1,Croatia,53,1495.5
70,Šekuljica ,RC5,1,Croatia,54,1619.9
11,Neuville  ,RC1,2,Croatia,1,918.1
33,Evans  Elf,RC1,2,Croatia,2,922.3
4,Lappi  Esa,RC1,2,Croatia,3,923.7
8,Tänak  Ott,RC1,2,Croatia,4,930.2
18,Katsuta  T,RC1,2,Croatia,5,935.2
7,Loubet  P.,RC1,2,Croatia,6,935.9
21,Rossel  Yo,RC2,2,Croatia,7,953.5
30,Ciamin  Ni,RC2,2,Croatia,8,956.2
36,Cachon  A.,RC2,2,Croatia,9,965.1
26,Pajari  Sa,RC2,2,Croatia,10,966.4
20,Solberg  O,RC2,2,Croatia,11,968.3
24,Gryazin  N,RC2,2,Croatia,12,972.5
29,Linnamäe  ,RC2,2,Croatia,13,984.4
28,Munster  G,RC2,2,Croatia,14,987.2
37,Herczig  N,RC2,2,Croatia,15,991.6
32,Kremer  Ar,RC2,2,Croatia,16,998.3
17,Ogier  S. ,RC1,2,Croatia,17,1010.7
41,Creighton ,RC3,2,Croatia,18,1016.4
54,Turk  Rok ,RC2,2,Croatia,19,1016.7
44,Pellier  L,RC3,2,Croatia,20,1016.9
35,Keferböck ,RC2,2,Croatia,21,1020.7
34,Miele  Mau,RC2,2,Croatia,22,1023.5
38,O'Brien  P,RC2,2,Croatia,23,1027.6
22,Lindholm  ,RC2,2,Croatia,24,1028.2
47,Blach  Rob,RC3,2,Croatia,25,1035.1
57,Cartier  V,RC2,2,Croatia,26,1037.2
25,Fourmaux  ,RC2,2,Croatia,27,1037.4
45,Dominguez ,RC3,2,Croatia,28,1050.4
69,Rovanperä ,RC1,2,Croatia,29,1055.5
53,Majerčák  ,RC2,2,Croatia,30,1056.0
46,Hernández ,RC3,2,Croatia,31,1065.0
48,Rensonnet ,RC3,2,Croatia,32,1065.9
50,Kelly  Eam,RC3,2,Croatia,33,1072.0
40,Boland  Ea,RC2,2,Croatia,34,1074.4
58,Schwarz  F,RC3,2,Croatia,35,1082.3
55,László  Z.,RC2,2,Croatia,36,1088.7
62,Medved  Ja,RC4,2,Croatia,37,1089.2
59,Fontana  M,RC4,2,Croatia,38,1092.6
64,Hrvatin  T,RC4,2,Croatia,39,1104.7
60,Oldani  Ma,RC4,2,Croatia,40,1105.9
23,Greensmith,RC2,2,Croatia,41,1110.6
61,Jürgenson ,RC4,2,Croatia,42,1122.6
56,Zrinski  A,RC2,2,Croatia,43,1124.2
65,Magličić  ,RC4,2,Croatia,44,1131.8
71,Mandić  Ig,RC5,2,Croatia,45,1163.9
39,Vossen  He,RC2,2,Croatia,46,1191.8
49,Anwar  Ham,RC3,2,Croatia,47,1229.0
68,Čičko  V. ,RC5,2,Croatia,48,1233.6
66,Pokos  Jan,RC4,2,Croatia,49,1240.8
67,Lončarić  ,RC4,2,Croatia,50,1314.4
27,Cais  Erik,RC2,2,Croatia,51,1553.5
51,Kohn  Fili,RC3,2,Croatia,52,1616.4
52,Ravenščak ,RC3,2,Croatia,53,1616.4
70,Šekuljica ,RC5,2,Croatia,54,1763.9
17,Ogier  S. ,RC1,3,Croatia,1,330.8
11,Neuville  ,RC1,3,Croatia,2,331.6
33,Evans  Elf,RC1,3,Croatia,3,334.1
8,Tänak  Ott,RC1,3,Croatia,4,334.6
18,Katsuta  T,RC1,3,Croatia,5,335.3
4,Lappi  Esa,RC1,3,Croatia,6,338.1
7,Loubet  P.,RC1,3,Croatia,7,338.5
69,Rovanperä ,RC1,3,Croatia,8,338.9
24,Gryazin  N,RC2,3,Croatia,9,347.2
22,Lindholm  ,RC2,3,Croatia,10,349.2
23,Greensmith,RC2,3,Croatia,11,349.5
21,Rossel  Yo,RC2,3,Croatia,12,349.7
30,Ciamin  Ni,RC2,3,Croatia,13,351.6
26,Pajari  Sa,RC2,3,Croatia,14,353.0
25,Fourmaux  ,RC2,3,Croatia,15,353.1
20,Solberg  O,RC2,3,Croatia,16,355.4
28,Munster  G,RC2,3,Croatia,17,357.2
36,Cachon  A.,RC2,3,Croatia,18,360.3
29,Linnamäe  ,RC2,3,Croatia,19,361.1
37,Herczig  N,RC2,3,Croatia,20,362.2
34,Miele  Mau,RC2,3,Croatia,21,369.4
32,Kremer  Ar,RC2,3,Croatia,22,372.1
41,Creighton ,RC3,3,Croatia,23,372.5
44,Pellier  L,RC3,3,Croatia,24,373.3
54,Turk  Rok ,RC2,3,Croatia,25,373.5
35,Keferböck ,RC2,3,Croatia,26,380.5
48,Rensonnet ,RC3,3,Croatia,27,380.8
38,O'Brien  P,RC2,3,Croatia,28,383.8
50,Kelly  Eam,RC3,3,Croatia,29,386.9
53,Majerčák  ,RC2,3,Croatia,30,387.4
47,Blach  Rob,RC3,3,Croatia,31,390.6
46,Hernández ,RC3,3,Croatia,32,391.4
45,Dominguez ,RC3,3,Croatia,33,391.5
57,Cartier  V,RC2,3,Croatia,34,391.8
58,Schwarz  F,RC3,3,Croatia,35,400.8
64,Hrvatin  T,RC4,3,Croatia,36,401.0
56,Zrinski  A,RC2,3,Croatia,37,406.1
62,Medved  Ja,RC4,3,Croatia,38,409.5
60,Oldani  Ma,RC4,3,Croatia,39,409.6
61,Jürgenson ,RC4,3,Croatia,40,410.5
40,Boland  Ea,RC2,3,Croatia,41,413.6
55,László  Z.,RC2,3,Croatia,42,415.8
65,Magličić  ,RC4,3,Croatia,43,418.0
59,Fontana  M,RC4,3,Croatia,44,424.0
71,Mandić  Ig,RC5,3,Croatia,45,438.7
66,Pokos  Jan,RC4,3,Croatia,46,442.4
49,Anwar  Ham,RC3,3,Croatia,47,460.2
68,Čičko  V. ,RC5,3,Croatia,48,469.6
39,Vossen  He,RC2,3,Croatia,49,469.7
67,Lončarić  ,RC4,3,Croatia,50,474.3
27,Cais  Erik,RC2,3,Croatia,51,947.2
51,Kohn  Fili,RC3,3,Croatia,52,972.5
52,Ravenščak ,RC3,3,Croatia,53,972.5
70,Šekuljica ,RC5,3,Croatia,54,1038.7
17,Ogier  S. ,RC1,4,Croatia,1,288.2
8,Tänak  Ott,RC1,4,Croatia,2,289.5
33,Evans  Elf,RC1,4,Croatia,3,290.0
11,Neuville  ,RC1,4,Croatia,4,290.3
4,Lappi  Esa,RC1,4,Croatia,5,292.7
69,Rovanperä ,RC1,4,Croatia,6,292.8
18,Katsuta  T,RC1,4,Croatia,7,293.4
7,Loubet  P.,RC1,4,Croatia,8,293.7
22,Lindholm  ,RC2,4,Croatia,9,301.0
24,Gryazin  N,RC2,4,Croatia,10,302.1
23,Greensmith,RC2,4,Croatia,11,302.3
20,Solberg  O,RC2,4,Croatia,12,303.5
30,Ciamin  Ni,RC2,4,Croatia,13,304.0
25,Fourmaux  ,RC2,4,Croatia,14,306.0
26,Pajari  Sa,RC2,4,Croatia,15,306.4
21,Rossel  Yo,RC2,4,Croatia,16,306.6
29,Linnamäe  ,RC2,4,Croatia,17,308.4
36,Cachon  A.,RC2,4,Croatia,18,309.7
37,Herczig  N,RC2,4,Croatia,19,312.7
44,Pellier  L,RC3,4,Croatia,20,318.5
34,Miele  Mau,RC2,4,Croatia,21,319.2
32,Kremer  Ar,RC2,4,Croatia,22,319.3
41,Creighton ,RC3,4,Croatia,23,319.3
38,O'Brien  P,RC2,4,Croatia,24,327.4
35,Keferböck ,RC2,4,Croatia,25,327.7
54,Turk  Rok ,RC2,4,Croatia,26,327.8
47,Blach  Rob,RC3,4,Croatia,27,331.6
45,Dominguez ,RC3,4,Croatia,28,334.7
28,Munster  G,RC2,4,Croatia,29,337.0
48,Rensonnet ,RC3,4,Croatia,30,337.3
50,Kelly  Eam,RC3,4,Croatia,31,337.8
53,Majerčák  ,RC2,4,Croatia,32,338.7
46,Hernández ,RC3,4,Croatia,33,338.8
57,Cartier  V,RC2,4,Croatia,34,339.8
58,Schwarz  F,RC3,4,Croatia,35,347.2
61,Jürgenson ,RC4,4,Croatia,36,353.9
62,Medved  Ja,RC4,4,Croatia,37,356.5
56,Zrinski  A,RC2,4,Croatia,38,356.8
64,Hrvatin  T,RC4,4,Croatia,39,358.3
40,Boland  Ea,RC2,4,Croatia,40,362.4
60,Oldani  Ma,RC4,4,Croatia,41,362.7
55,László  Z.,RC2,4,Croatia,42,364.7
65,Magličić  ,RC4,4,Croatia,43,373.7
59,Fontana  M,RC4,4,Croatia,44,376.5
66,Pokos  Jan,RC4,4,Croatia,45,379.1
71,Mandić  Ig,RC5,4,Croatia,46,383.2
49,Anwar  Ham,RC3,4,Croatia,47,384.3
39,Vossen  He,RC2,4,Croatia,48,408.4
68,Čičko  V. ,RC5,4,Croatia,49,409.5
67,Lončarić  ,RC4,4,Croatia,50,433.4
27,Cais  Erik,RC2,4,Croatia,51,901.0
51,Kohn  Fili,RC3,4,Croatia,52,918.5
52,Ravenščak ,RC3,4,Croatia,53,918.5
70,Šekuljica ,RC5,4,Croatia,54,983.2
17,Ogier  S. ,RC1,5,Croatia,1,726.8
33,Evans  Elf,RC1,5,Croatia,2,731.6
8,Tänak  Ott,RC1,5,Croatia,3,732.6
69,Rovanperä ,RC1,5,Croatia,4,732.6
11,Neuville  ,RC1,5,Croatia,5,734.0
4,Lappi  Esa,RC1,5,Croatia,6,734.7
7,Loubet  P.,RC1,5,Croatia,7,739.8
18,Katsuta  T,RC1,5,Croatia,8,751.3
23,Greensmith,RC2,5,Croatia,9,756.6
21,Rossel  Yo,RC2,5,Croatia,10,758.2
24,Gryazin  N,RC2,5,Croatia,11,758.4
22,Lindholm  ,RC2,5,Croatia,12,759.1
20,Solberg  O,RC2,5,Croatia,13,759.5
25,Fourmaux  ,RC2,5,Croatia,14,759.8
30,Ciamin  Ni,RC2,5,Croatia,15,760.2
36,Cachon  A.,RC2,5,Croatia,16,760.6
26,Pajari  Sa,RC2,5,Croatia,17,768.1
28,Munster  G,RC2,5,Croatia,18,775.8
41,Creighton ,RC3,5,Croatia,19,794.2
32,Kremer  Ar,RC2,5,Croatia,20,800.5
37,Herczig  N,RC2,5,Croatia,21,812.6
44,Pellier  L,RC3,5,Croatia,22,813.0
34,Miele  Mau,RC2,5,Croatia,23,821.0
35,Keferböck ,RC2,5,Croatia,24,822.3
46,Hernández ,RC3,5,Croatia,25,822.7
54,Turk  Rok ,RC2,5,Croatia,26,829.9
45,Dominguez ,RC3,5,Croatia,27,830.7
50,Kelly  Eam,RC3,5,Croatia,28,833.4
57,Cartier  V,RC2,5,Croatia,29,837.7
38,O'Brien  P,RC2,5,Croatia,30,849.4
48,Rensonnet ,RC3,5,Croatia,31,849.8
53,Majerčák  ,RC2,5,Croatia,32,854.5
58,Schwarz  F,RC3,5,Croatia,33,865.0
62,Medved  Ja,RC4,5,Croatia,34,870.9
59,Fontana  M,RC4,5,Croatia,35,871.2
40,Boland  Ea,RC2,5,Croatia,36,892.3
56,Zrinski  A,RC2,5,Croatia,37,902.1
55,László  Z.,RC2,5,Croatia,38,906.3
61,Jürgenson ,RC4,5,Croatia,39,910.2
64,Hrvatin  T,RC4,5,Croatia,40,925.7
60,Oldani  Ma,RC4,5,Croatia,41,927.7
65,Magličić  ,RC4,5,Croatia,42,939.0
66,Pokos  Jan,RC4,5,Croatia,43,952.6
49,Anwar  Ham,RC3,5,Croatia,44,969.6
71,Mandić  Ig,RC5,5,Croatia,45,988.5
39,Vossen  He,RC2,5,Croatia,46,1025.8
68,Čičko  V. ,RC5,5,Croatia,47,1026.9
67,Lončarić  ,RC4,5,Croatia,48,1078.7
27,Cais  Erik,RC2,5,Croatia,49,1356.6
29,Linnamäe  ,RC2,5,Croatia,50,1356.6
47,Blach  Rob,RC3,5,Croatia,51,1394.2
51,Kohn  Fili,RC3,5,Croatia,52,1394.2
52,Ravenščak ,RC3,5,Croatia,53,1394.2
70,Šekuljica ,RC5,5,Croatia,54,1588.5
4,Lappi  Esa,RC1,6,Croatia,1,933.3
33,Evans  Elf,RC1,6,Croatia,2,934.0
17,Ogier  S. ,RC1,6,Croatia,3,935.2
11,Neuville  ,RC1,6,Croatia,4,939.7
69,Rovanperä ,RC1,6,Croatia,5,945.6
8,Tänak  Ott,RC1,6,Croatia,6,950.3
21,Rossel  Yo,RC2,6,Croatia,7,971.4
36,Cachon  A.,RC2,6,Croatia,8,975.2
7,Loubet  P.,RC1,6,Croatia,9,975.3
24,Gryazin  N,RC2,6,Croatia,10,980.3
18,Katsuta  T,RC1,6,Croatia,11,981.1
30,Ciamin  Ni,RC2,6,Croatia,12,986.3
22,Lindholm  ,RC2,6,Croatia,13,986.4
20,Solberg  O,RC2,6,Croatia,14,988.4
25,Fourmaux  ,RC2,6,Croatia,15,1001.0
23,Greensmith,RC2,6,Croatia,16,1001.6
26,Pajari  Sa,RC2,6,Croatia,17,1003.4
32,Kremer  Ar,RC2,6,Croatia,18,1023.9
41,Creighton ,RC3,6,Croatia,19,1026.4
44,Pellier  L,RC3,6,Croatia,20,1027.6
34,Miele  Mau,RC2,6,Croatia,21,1046.5
54,Turk  Rok ,RC2,6,Croatia,22,1052.2
46,Hernández ,RC3,6,Croatia,23,1053.1
35,Keferböck ,RC2,6,Croatia,24,1056.6
45,Dominguez ,RC3,6,Croatia,25,1056.7
57,Cartier  V,RC2,6,Croatia,26,1063.1
50,Kelly  Eam,RC3,6,Croatia,27,1068.6
53,Majerčák  ,RC2,6,Croatia,28,1077.6
48,Rensonnet ,RC3,6,Croatia,29,1083.0
58,Schwarz  F,RC3,6,Croatia,30,1094.4
38,O'Brien  P,RC2,6,Croatia,31,1095.7
55,László  Z.,RC2,6,Croatia,32,1102.1
60,Oldani  Ma,RC4,6,Croatia,33,1112.4
62,Medved  Ja,RC4,6,Croatia,34,1112.4
56,Zrinski  A,RC2,6,Croatia,35,1140.8
61,Jürgenson ,RC4,6,Croatia,36,1149.7
64,Hrvatin  T,RC4,6,Croatia,37,1150.6
65,Magličić  ,RC4,6,Croatia,38,1157.4
66,Pokos  Jan,RC4,6,Croatia,39,1194.5
49,Anwar  Ham,RC3,6,Croatia,40,1196.7
37,Herczig  N,RC2,6,Croatia,41,1203.1
71,Mandić  Ig,RC5,6,Croatia,42,1205.9
39,Vossen  He,RC2,6,Croatia,43,1231.0
68,Čičko  V. ,RC5,6,Croatia,44,1264.5
67,Lončarić  ,RC4,6,Croatia,45,1336.3
40,Boland  Ea,RC2,6,Croatia,46,1541.2
27,Cais  Erik,RC2,6,Croatia,47,1571.4
28,Munster  G,RC2,6,Croatia,48,1571.4
29,Linnamäe  ,RC2,6,Croatia,49,1571.4
47,Blach  Rob,RC3,6,Croatia,50,1626.4
51,Kohn  Fili,RC3,6,Croatia,51,1626.4
52,Ravenščak ,RC3,6,Croatia,52,1626.4
59,Fontana  M,RC4,6,Croatia,53,1712.4
70,Šekuljica ,RC5,6,Croatia,54,1805.9
8,Tänak  Ott,RC1,7,Croatia,1,329.1
11,Neuville  ,RC1,7,Croatia,2,329.4
33,Evans  Elf,RC1,7,Croatia,3,329.8
17,Ogier  S. ,RC1,7,Croatia,4,331.1
69,Rovanperä ,RC1,7,Croatia,5,331.1
18,Katsuta  T,RC1,7,Croatia,6,332.6
4,Lappi  Esa,RC1,7,Croatia,7,332.8
7,Loubet  P.,RC1,7,Croatia,8,337.7
30,Ciamin  Ni,RC2,7,Croatia,9,344.1
23,Greensmith,RC2,7,Croatia,10,346.8
24,Gryazin  N,RC2,7,Croatia,11,347.7
22,Lindholm  ,RC2,7,Croatia,12,348.5
26,Pajari  Sa,RC2,7,Croatia,13,348.8
20,Solberg  O,RC2,7,Croatia,14,349.1
21,Rossel  Yo,RC2,7,Croatia,15,349.8
25,Fourmaux  ,RC2,7,Croatia,16,352.1
36,Cachon  A.,RC2,7,Croatia,17,355.7
32,Kremer  Ar,RC2,7,Croatia,18,366.6
41,Creighton ,RC3,7,Croatia,19,367.7
44,Pellier  L,RC3,7,Croatia,20,367.9
37,Herczig  N,RC2,7,Croatia,21,369.3
34,Miele  Mau,RC2,7,Croatia,22,371.9
50,Kelly  Eam,RC3,7,Croatia,23,378.0
48,Rensonnet ,RC3,7,Croatia,24,378.3
35,Keferböck ,RC2,7,Croatia,25,379.5
38,O'Brien  P,RC2,7,Croatia,26,382.2
45,Dominguez ,RC3,7,Croatia,27,382.7
54,Turk  Rok ,RC2,7,Croatia,28,383.6
46,Hernández ,RC3,7,Croatia,29,388.2
57,Cartier  V,RC2,7,Croatia,30,388.4
53,Majerčák  ,RC2,7,Croatia,31,397.0
58,Schwarz  F,RC3,7,Croatia,32,403.2
56,Zrinski  A,RC2,7,Croatia,33,406.5
40,Boland  Ea,RC2,7,Croatia,34,416.0
60,Oldani  Ma,RC4,7,Croatia,35,419.4
61,Jürgenson ,RC4,7,Croatia,36,419.8
62,Medved  Ja,RC4,7,Croatia,37,420.0
55,László  Z.,RC2,7,Croatia,38,425.2
64,Hrvatin  T,RC4,7,Croatia,39,428.7
65,Magličić  ,RC4,7,Croatia,40,431.4
66,Pokos  Jan,RC4,7,Croatia,41,437.7
49,Anwar  Ham,RC3,7,Croatia,42,443.9
71,Mandić  Ig,RC5,7,Croatia,43,459.6
39,Vossen  He,RC2,7,Croatia,44,474.3
68,Čičko  V. ,RC5,7,Croatia,45,491.9
67,Lončarić  ,RC4,7,Croatia,46,498.7
27,Cais  Erik,RC2,7,Croatia,47,944.1
28,Munster  G,RC2,7,Croatia,48,944.1
29,Linnamäe  ,RC2,7,Croatia,49,944.1
47,Blach  Rob,RC3,7,Croatia,50,967.7
51,Kohn  Fili,RC3,7,Croatia,51,967.7
52,Ravenščak ,RC3,7,Croatia,52,967.7
59,Fontana  M,RC4,7,Croatia,53,1019.4
70,Šekuljica ,RC5,7,Croatia,54,1059.6
33,Evans  Elf,RC1,8,Croatia,1,296.3
69,Rovanperä ,RC1,8,Croatia,2,297.2
8,Tänak  Ott,RC1,8,Croatia,3,297.9
18,Katsuta  T,RC1,8,Croatia,4,298.7
11,Neuville  ,RC1,8,Croatia,5,299.0
4,Lappi  Esa,RC1,8,Croatia,6,299.8
17,Ogier  S. ,RC1,8,Croatia,7,305.6
7,Loubet  P.,RC1,8,Croatia,8,306.4
24,Gryazin  N,RC2,8,Croatia,9,307.2
22,Lindholm  ,RC2,8,Croatia,10,308.0
30,Ciamin  Ni,RC2,8,Croatia,11,309.5
20,Solberg  O,RC2,8,Croatia,12,309.8
23,Greensmith,RC2,8,Croatia,13,309.8
26,Pajari  Sa,RC2,8,Croatia,14,312.0
36,Cachon  A.,RC2,8,Croatia,15,313.9
21,Rossel  Yo,RC2,8,Croatia,16,314.0
25,Fourmaux  ,RC2,8,Croatia,17,314.9
41,Creighton ,RC3,8,Croatia,18,321.4
44,Pellier  L,RC3,8,Croatia,19,325.1
32,Kremer  Ar,RC2,8,Croatia,20,327.6
37,Herczig  N,RC2,8,Croatia,21,327.7
34,Miele  Mau,RC2,8,Croatia,22,332.3
48,Rensonnet ,RC3,8,Croatia,23,336.0
45,Dominguez ,RC3,8,Croatia,24,336.9
35,Keferböck ,RC2,8,Croatia,25,339.8
50,Kelly  Eam,RC3,8,Croatia,26,341.5
46,Hernández ,RC3,8,Croatia,27,346.6
57,Cartier  V,RC2,8,Croatia,28,353.7
53,Majerčák  ,RC2,8,Croatia,29,357.6
58,Schwarz  F,RC3,8,Croatia,30,363.4
54,Turk  Rok ,RC2,8,Croatia,31,364.1
38,O'Brien  P,RC2,8,Croatia,32,376.9
40,Boland  Ea,RC2,8,Croatia,33,386.7
49,Anwar  Ham,RC3,8,Croatia,34,391.3
56,Zrinski  A,RC2,8,Croatia,35,396.7
62,Medved  Ja,RC4,8,Croatia,36,397.1
55,László  Z.,RC2,8,Croatia,37,397.2
61,Jürgenson ,RC4,8,Croatia,38,402.9
