No.,Crew,Group,ss,Race,cou,time_SS_sec
36,Wahome  Je,RC3,4,Safari,29,1359.9
37,Kimathi  M,RC3,4,Safari,30,1382.2
45,Rathod  Mi,-,4,Safari,31,1820.7
17,Ogier  S. ,RC1,5,Safari,1,830.2
4,Lappi  Esa,RC1,5,Safari,2,838.6
8,Tänak  Ott,RC1,5,Safari,3,840.4
33,Evans  Elf,RC1,5,Safari,4,840.7
6,Sordo  Dan,RC1,5,Safari,5,841.6
11,Neuville  ,RC1,5,Safari,6,844.3
69,Rovanperä ,RC1,5,Safari,7,845.5
18,Katsuta  T,RC1,5,Safari,8,849.0
20,Solberg  O,RC2,5,Safari,9,883.3
22,Munster  G,RC2,5,Safari,10,904.4
21,Kajetanowi,RC2,5,Safari,11,906.4
9,Serderidis,RC1,5,Safari,12,908.5
23,Prokop  Ma,RC2,5,Safari,13,924.9
24,Kremer  Ar,RC2,5,Safari,14,944.3
26,Tundo  Car,RC2,5,Safari,15,953.9
27,Chwist  Da,RC2,5,Safari,16,956.8
25,Patel  Kar,RC2,5,Safari,17,957.3
35,Anwar  Ham,RC3,5,Safari,18,991.4
7,Loubet  P.,RC1,5,Safari,19,996.0
30,Virani  Aa,RC2,5,Safari,20,1003.4
34,Dominguez ,RC3,5,Safari,21,1014.7
40,Davite  G.,RC2,5,Safari,22,1017.8
38,Bailey  Ja,RC3,5,Safari,23,1042.4
28,Díaz Aboit,RC2,5,Safari,24,1047.8
41,Nzioka  Ev,-,5,Safari,25,1050.4
37,Kimathi  M,RC3,5,Safari,26,1050.6
29,Vassilakis,RC2,5,Safari,27,1069.0
36,Wahome  Je,RC3,5,Safari,28,1069.9
32,Singh Vohr,RC2,5,Safari,29,1097.7
44,Sachania  ,-,5,Safari,30,1127.9
45,Rathod  Mi,-,5,Safari,31,1650.4
17,Ogier  S. ,RC1,6,Safari,1,406.5
4,Lappi  Esa,RC1,6,Safari,2,407.7
69,Rovanperä ,RC1,6,Safari,3,409.1
33,Evans  Elf,RC1,6,Safari,4,409.6
18,Katsuta  T,RC1,6,Safari,5,410.2
8,Tänak  Ott,RC1,6,Safari,6,411.9
6,Sordo  Dan,RC1,6,Safari,7,412.8
7,Loubet  P.,RC1,6,Safari,8,416.1
20,Solberg  O,RC2,6,Safari,9,442.1
21,Kajetanowi,RC2,6,Safari,10,449.0
22,Munster  G,RC2,6,Safari,11,449.7
9,Serderidis,RC1,6,Safari,12,456.1
23,Prokop  Ma,RC2,6,Safari,13,467.0
24,Kremer  Ar,RC2,6,Safari,14,472.1
34,Dominguez ,RC3,6,Safari,15,490.0
26,Tundo  Car,RC2,6,Safari,16,492.6
25,Patel  Kar,RC2,6,Safari,17,494.1
27,Chwist  Da,RC2,6,Safari,18,497.2
35,Anwar  Ham,RC3,6,Safari,19,517.8
28,Díaz Aboit,RC2,6,Safari,20,523.2
38,Bailey  Ja,RC3,6,Safari,21,527.1
36,Wahome  Je,RC3,6,Safari,22,538.2
37,Kimathi  M,RC3,6,Safari,23,542.4
32,Singh Vohr,RC2,6,Safari,24,542.5
30,Virani  Aa,RC2,6,Safari,25,543.9
41,Nzioka  Ev,-,6,Safari,26,568.1
44,Sachania  ,-,6,Safari,27,580.0
40,Davite  G.,RC2,6,Safari,28,590.8
11,Neuville  ,RC1,6,Safari,29,1006.5
29,Vassilakis,RC2,6,Safari,30,1113.2
