No.,Crew,Group,ss,Race,cou,time_SS_sec
26,Fukunaga  ,RC2,5,Central European,16,1312.0
36,Shinkai  T,-,5,Central European,17,1316.7
28,Boland  Ea,RC2,5,Central European,18,1349.6
25,Chwist  Da,RC2,5,Central European,19,1362.4
30,Imai  Sato,RC2,5,Central European,20,1404.7
39,Murata  Ko,-,5,Central European,21,1417.9
40,Yamamoto  ,-,5,Central European,22,1444.3
38,Hotta  Mak,-,5,Central European,23,1451.6
31,Bailey  Ja,RC3,5,Central European,24,1453.5
29,Díaz Aboit,RC2,5,Central European,25,1482.5
41,Kunisawa  ,RC5,5,Central European,26,1602.8
44,Nakayama  ,-,5,Central European,27,1614.6
45,Takata  Ko,-,5,Central European,28,1692.8
49,Aihara  Ta,-,5,Central European,29,1707.9
6,Sordo  Dan,RC1,5,Central European,30,1748.1
16,Fourmaux  ,RC1,5,Central European,31,1748.1
37,Sasaki  Ya,-,5,Central European,32,1872.4
46,Hagiwara  ,-,5,Central European,33,1872.4
47,Irie  Sato,-,5,Central European,34,2307.9
48,Shimizu  H,-,5,Central European,35,2307.9
18,Katsuta  T,RC1,6,Central European,1,768.5
33,Evans  Elf,RC1,6,Central European,2,768.8
17,Ogier  S. ,RC1,6,Central European,3,773.2
69,Rovanperä ,RC1,6,Central European,4,785.3
4,Lappi  Esa,RC1,6,Central European,5,788.6
8,Tänak  Ott,RC1,6,Central European,6,801.0
24,Munster  G,RC2,6,Central European,7,802.7
20,Mikkelsen ,RC2,6,Central European,8,810.9
21,Gryazin  N,RC2,6,Central European,9,812.1
23,Kovalainen,RC2,6,Central European,10,826.3
22,Kajetanowi,RC2,6,Central European,11,842.8
32,Katsuta  N,-,6,Central European,12,846.4
35,Arai  Hiro,RC4,6,Central European,13,848.2
34,Arai  Tosh,-,6,Central European,14,880.5
26,Fukunaga  ,RC2,6,Central European,15,881.0
28,Boland  Ea,RC2,6,Central European,16,885.0
36,Shinkai  T,-,6,Central European,17,887.8
25,Chwist  Da,RC2,6,Central European,18,887.9
30,Imai  Sato,RC2,6,Central European,19,929.1
38,Hotta  Mak,-,6,Central European,20,942.3
31,Bailey  Ja,RC3,6,Central European,21,952.7
39,Murata  Ko,-,6,Central European,22,966.7
29,Díaz Aboit,RC2,6,Central European,23,967.9
40,Yamamoto  ,-,6,Central European,24,993.0
41,Kunisawa  ,RC5,6,Central European,25,1055.8
44,Nakayama  ,-,6,Central European,26,1062.7
45,Takata  Ko,-,6,Central European,27,1135.6
49,Aihara  Ta,-,6,Central European,28,1238.5
6,Sordo  Dan,RC1,6,Central European,29,1368.5
11,Neuville  ,RC1,6,Central European,30,1368.5
16,Fourmaux  ,RC1,6,Central European,31,1368.5
37,Sasaki  Ya,-,6,Central European,32,1446.4
46,Hagiwara  ,-,6,Central European,33,1446.4
47,Irie  Sato,-,6,Central European,34,1838.5
48,Shimizu  H,-,6,Central European,35,1838.5
18,Katsuta  T,RC1,7,Central European,1,873.6
33,Evans  Elf,RC1,7,Central European,2,874.7
17,Ogier  S. ,RC1,7,Central European,3,881.2
69,Rovanperä ,RC1,7,Central European,4,883.8
4,Lappi  Esa,RC1,7,Central European,5,894.5
24,Munster  G,RC2,7,Central European,6,914.5
20,Mikkelsen ,RC2,7,Central European,7,916.9
8,Tänak  Ott,RC1,7,Central European,8,918.7
21,Gryazin  N,RC2,7,Central European,9,923.4
23,Kovalainen,RC2,7,Central European,10,945.1
22,Kajetanowi,RC2,7,Central European,11,973.5
32,Katsuta  N,-,7,Central European,12,976.9
35,Arai  Hiro,RC4,7,Central European,13,982.9
26,Fukunaga  ,RC2,7,Central European,14,1001.8
25,Chwist  Da,RC2,7,Central European,15,1007.1
34,Arai  Tosh,-,7,Central European,16,1010.7
36,Shinkai  T,-,7,Central European,17,1011.3
28,Boland  Ea,RC2,7,Central European,18,1034.8
30,Imai  Sato,RC2,7,Central European,19,1071.1
31,Bailey  Ja,RC3,7,Central European,20,1071.1
38,Hotta  Mak,-,7,Central European,21,1073.9
39,Murata  Ko,-,7,Central European,22,1083.5
29,Díaz Aboit,RC2,7,Central European,23,1098.7
40,Yamamoto  ,-,7,Central European,24,1126.4
44,Nakayama  ,-,7,Central European,25,1208.0
41,Kunisawa  ,RC5,7,Central European,26,1249.8
45,Takata  Ko,-,7,Central European,27,1282.6
49,Aihara  Ta,-,7,Central European,28,1460.2
6,Sordo  Dan,RC1,7,Central European,29,1473.6
11,Neuville  ,RC1,7,Central European,30,1473.6
16,Fourmaux  ,RC1,7,Central European,31,1473.6
37,Sasaki  Ya,-,7,Central European,32,1576.9
46,Hagiwara  ,-,7,Central European,33,1576.9
47,Irie  Sato,-,7,Central European,34,2060.2
48,Shimizu  H,-,7,Central European,35,2060.2
4,Lappi  Esa,RC1,8,Central European,1,120.0
17,Ogier  S. ,RC1,8,Central European,2,121.0
18,Katsuta  T,RC1,8,Central European,3,121.0
8,Tänak  Ott,RC1,8,Central European,4,121.1
69,Rovanperä ,RC1,8,Central European,5,121.2
33,Evans  Elf,RC1,8,Central European,6,122.0
20,Mikkelsen ,RC2,8,Central European,7,125.9
21,Gryazin  N,RC2,8,Central European,8,126.0
22,Kajetanowi,RC2,8,Central European,9,127.3
23,Kovalainen,RC2,8,Central European,10,127.3
24,Munster  G,RC2,8,Central European,11,127.5
35,Arai  Hiro,RC4,8,Central European,12,131.0
26,Fukunaga  ,RC2,8,Central European,13,135.2
28,Boland  Ea,RC2,8,Central European,14,136.4
36,Shinkai  T,-,8,Central European,15,136.4
39,Murata  Ko,-,8,Central European,16,136.8
34,Arai  Tosh,-,8,Central European,17,137.6
31,Bailey  Ja,RC3,8,Central European,18,139.6
30,Imai  Sato,RC2,8,Central European,19,139.8
41,Kunisawa  ,RC5,8,Central European,20,144.6
38,Hotta  Mak,-,8,Central European,21,145.8
25,Chwist  Da,RC2,8,Central European,22,146.3
40,Yamamoto  ,-,8,Central European,23,147.4
49,Aihara  Ta,-,8,Central European,24,155.4
44,Nakayama  ,-,8,Central European,25,164.1
45,Takata  Ko,-,8,Central European,26,165.8
6,Sordo  Dan,RC1,8,Central European,27,720.0
