No,CP1,162m,CP2,1740m,CP3,2140m,CP4,2680m,CP5,3380m,CP6,3790m,CP7,4030m,CP8,4640m,CP9,5360m,CP10,6200m,CP11,7490m,CP12,8120m,CP13,8790m,CP14,9670m,CP15,10900m
1,00:14.63,58,01:31.21,82,01:48.50,42,02:09.31,95,02:41.55,73,03:00.13,69,03:12.18,71,03:37.37,123,04:06.12,87,04:41.80,58,05:43.37,73,06:09.85,60,06:42.19,72,07:22.33,73,08:04.32,66
2,00:17.20,51,01:25.74,89,01:43.65,70,02:02.87,124,02:32.16,93,02:50.63,70,03:02.35,83,03:24.55,115,03:54.48,101,04:27.23,57,05:28.50,66,05:56.82,58,06:27.69,66,07:06.47,97,07:45.59,83
4,00:15.53,60,01:33.60,82,01:52.56,38,02:12.41,91,02:45.54,88,03:05.35,50,03:17.00,73,03:40.35,120,04:10.79,73,04:46.33,50,05:48.85,73,06:18.55,60,06:50.36,75,07:29.50,87,08:10.39,66
6,00:13.13,80,01:26.54,85,01:43.76,50,02:03.50,102,02:33.70,95,02:52.44,40,03:03.72,68,03:26.56,114,03:56.75,68,04:29.46,52,05:29.89,79,05:57.23,61,06:26.59,73,07:04.63,99,07:47.72,75
7,00:16.00,57,01:40.55,73,02:01.25,39,02:25.00,76,02:59.72,79,03:21.40,36,03:33.52,62,03:58.24,100,04:32.69,59,05:11.53,50,06:19.74,52,06:50.44,59,07:24.42,68,08:06.54,91,08:52.77,69
8,00:15.70,70,01:30.21,82,01:48.36,31,02:08.76,104,02:39.76,83,02:58.18,63,03:11.70,79,03:36.14,131,04:04.14,91,04:36.49,58,05:38.13,69,06:06.55,65,06:36.27,61,07:13.46,104,07:53.78,75
9,00:16.49,66,01:35.28,86,01:52.10,45,02:14.14,100,02:49.31,70,03:07.81,55,03:21.23,88,03:49.46,108,04:16.76,73,04:54.20,50,05:59.53,56,06:28.33,68,07:01.10,61,07:40.72,96,08:21.30,76
10,00:16.94,69,01:34.22,81,01:53.53,41,02:14.69,73,02:50.53,91,03:11.28,30,03:23.50,75,03:48.60,113,04:21.00,62,04:56.54,56,06:04.60,46,06:33.10,59,07:05.38,64,07:44.94,96,08:29.87,62
11,00:17.00,65,01:33.67,83,01:51.76,51,02:15.57,87,02:48.89,78,03:07.70,60,03:21.13,84,03:46.15,104,04:16.40,76,04:53.46,56,05:58.27,54,06:26.44,65,06:58.45,61,07:36.52,100,08:20.17,72
12,00:16.19,73,01:34.70,82,01:51.66,36,02:13.58,89,02:46.76,88,03:05.00,47,03:18.12,72,03:44.37,110,04:12.39,75,04:47.62,59,05:49.58,75,06:17.69,67,06:46.60,60,07:24.58,99,08:06.71,75
14,00:16.74,68,01:37.00,66,01:57.00,46,02:20.70,76,02:54.97,77,03:15.50,44,03:28.85,68,03:54.47,108,04:27.00,71,05:05.38,49,06:12.92,64,06:43.17,61,07:14.97,72,07:55.51,93,08:40.60,61
15,00:15.61,66,01:34.10,81,01:53.00,43,02:13.75,90,02:46.00,82,03:05.46,49,03:17.41,85,03:42.00,120,04:13.13,74,04:48.50,52,05:53.83,58,06:24.16,62,06:54.71,71,07:33.60,99,08:15.85,70
16,00:15.18,68,01:34.13,79,01:54.37,13,02:13.60,85,02:46.30,74,03:05.30,63,03:17.24,70,03:41.90,112,04:11.71,74,04:47.44,39,05:51.24,66,06:21.37,61,06:52.25,72,07:31.69,98,08:15.69,57
17,00:16.00,54,01:45.14,73,02:06.44,28,02:30.66,72,03:07.58,73,03:30.00,47,03:44.82,55,04:10.26,94,04:47.47,60,05:30.67,44,06:48.00,59,07:22.59,53,08:01.38,55,08:48.42,77,09:40.50,57
18,00:15.76,64,01:32.77,81,01:51.57,53,02:14.18,84,02:47.21,78,03:06.63,42,03:20.17,72,03:45.10,118,04:15.27,70,04:50.30,55,05:57.31,67,06:26.20,61,06:59.23,67,07:41.16,90,08:23.74,67
19,00:18.50,52,01:38.52,63,01:56.66,53,02:19.55,87,02:53.71,79,03:14.38,46,03:27.14,74,03:52.35,97,04:25.48,84,05:03.20,53,06:13.00,63,06:44.00,60,07:16.58,62,07:58.15,94,08:44.00,63
20,00:16.76,52,01:43.57,76,02:03.00,35,02:26.33,84,03:02.24,76,03:23.31,48,03:37.14,72,04:05.90,105,04:38.85,64,05:19.79,52,06:28.52,57,07:01.56,53,07:35.85,63,08:18.20,90,09:06.58,66
21,00:18.57,61,01:45.00,70,02:05.52,26,02:28.10,85,03:04.29,80,03:24.34,58,03:38.78,64,04:05.60,105,04:40.27,71,05:19.27,60,06:30.72,69,07:03.30,51,07:39.64,50,08:22.57,83,09:09.00,69
22,00:16.14,70,01:34.00,83,01:51.55,38,02:14.34,90,02:49.77,77,03:09.16,64,03:22.53,75,03:49.33,112,04:20.53,78,04:55.46,50,05:59.85,66,06:29.27,66,07:01.56,67,07:41.34,96,08:22.76,74
23,00:19.16,57,01:40.87,74,02:00.50,34,02:23.67,83,02:58.87,81,03:19.00,39,03:32.37,79,03:59.58,108,04:30.59,65,05:04.78,47,06:10.92,69,06:41.57,50,07:16.28,67,07:57.00,90,08:41.50,51
24,00:18.77,58,01:42.00,73,02:01.31,36,02:35.55,79,03:11.23,77,03:32.28,35,03:46.15,67,04:15.33,100,04:49.64,66,05:27.46,59,06:37.32,52,07:08.53,53,07:42.26,69,08:24.36,90,09:11.49,62
25,00:17.76,49,01:44.51,81,02:06.25,41,02:30.00,73,03:06.29,69,03:26.70,64,03:42.35,65,04:06.25,102,04:38.96,70,05:21.68,41,06:33.80,66,07:03.64,52,07:42.54,63,08:26.72,93,09:13.20,65
26,00:23.17,56,01:51.85,71,02:12.41,36,02:38.45,72,03:16.59,76,03:39.68,35,03:53.15,61,04:21.20,102,04:57.71,54,05:39.11,49,06:50.16,57,07:23.56,53,07:58.83,62,08:43.41,80,09:34.55,67
27,00:18.11,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,00:19.33,53,01:49.16,63,02:09.41,39,02:34.76,76,03:15.00,70,03:36.59,38,03:52.00,62,04:21.00,92,04:57.52,63,05:40.53,53,06:55.33,54,07:30.45,48,08:08.55,60,08:54.52,80,09:44.62,60
29,00:18.63,67,01:42.12,78,02:02.00,41,02:26.58,82,03:01.77,81,03:20.78,50,03:35.70,66,04:02.80,109,04:36.16,62,05:16.30,51,06:25.11,64,06:58.47,60,07:32.79,69,08:15.63,90,09:02.55,60
