Gr/Cl;Crew;ss;1_time_Sec;2_time_Sec;3_time_Sec;4_time_Sec;5_time_Sec;6_time_Sec;7_time_Sec;8_time_Sec;9_time_Sec;10_time_Sec;11_time_Sec;12_time_Sec;13_time_Sec;14_time_Sec;15_time_Sec;time_SS_sec
C2;Paradissis P. ;1;14.63;91.21;108.5;129.31;161.55;180.13;192.18;217.37;246.12;281.8;343.37;369.85;402.19;442.33;484.32;502.48
C2;Ismailos Panos;1;17.2;85.74;103.65;122.87;152.16;170.63;182.35;204.55;234.48;267.23;328.5;356.82;387.69;426.47;465.59;482.56
C3;Flandy  - Stef;1;15.53;93.6;112.56;132.41;165.54;185.35;197;220.35;250.79;286.33;348.85;378.55;410.36;449.5;490.39;508.57
C2;Mider  - Nasso;1;13.13;86.54;103.76;123.5;153.7;172.44;183.72;206.56;236.75;269.46;329.89;357.23;386.59;424.63;467.72;485.99
C2;Gazetas H.  - ;1;16;100.55;121.25;145;179.72;201.4;213.52;238.24;272.69;311.53;379.74;410.44;444.42;486.54;532.77;552.03
C3;Lefkaditis Sav;1;15.7;90.21;108.36;128.76;159.76;178.18;191.7;216.14;244.14;276.49;338.13;366.55;396.27;433.46;473.78;490.72
C5;Tsakalos Theod;1;16.49;95.28;112.1;134.14;169.31;187.81;201.23;229.46;256.76;294.2;359.53;388.33;421.1;460.72;501.3;520.83
C3;Agathokleous G;1;16.94;94.22;113.53;134.69;170.53;191.28;203.5;228.6;261;296.54;364.6;393.1;425.38;464.94;509.87;528.81
C5;Panoutsos T.  ;1;17;93.67;111.76;135.57;168.89;187.7;201.13;226.15;256.4;293.46;358.27;386.44;418.45;456.52;500.17;517.88
C4;Dimopoulos Ant;1;16.19;94.7;111.66;133.58;166.76;185;198.12;224.37;252.39;287.62;349.58;377.69;406.6;444.58;486.71;504.74
C5;Giannakopoulos;1;16.74;97;117;140.7;174.97;195.5;208.85;234.47;267;305.38;372.92;403.17;434.97;475.51;520.6;541.93
C2;Tsatsaris Aris;1;15.61;94.1;113;133.75;166;185.46;197.41;222;253.13;288.5;353.83;384.16;414.71;453.6;495.85;515.27
C2;Zygogiannis K.;1;15.18;94.13;114.37;133.6;166.3;185.3;197.24;221.9;251.71;287.44;351.24;381.37;412.25;451.69;495.69;513.24
C2;Sias Haralambo;1;16;105.14;126.44;150.66;187.58;210;224.82;250.26;287.47;330.67;408;442.59;481.38;528.42;580.5;603.99
C3;Antoniou K.  -;1;15.76;92.77;111.57;134.18;167.21;186.63;200.17;225.1;255.27;290.3;357.31;386.2;419.23;461.16;503.74;523.81
C3;Chatzigakis G.;1;18.5;98.52;116.66;139.55;173.71;194.38;207.14;232.35;265.48;303.2;373;404;436.58;478.15;524;543.49
C3;Dimos Giorgos ;1;16.76;103.57;123;146.33;182.24;203.31;217.14;245.9;278.85;319.79;388.52;421.56;455.85;498.2;546.58;567.19
C3;Kalamaras Teo ;1;18.57;105;125.52;148.1;184.29;204.34;218.78;245.6;280.27;319.27;390.72;423.3;459.64;502.57;549;569.92
C6;Tsakalos Athan;1;16.14;94;111.55;134.34;169.77;189.16;202.53;229.33;260.53;295.46;359.85;389.27;421.56;461.34;502.76;522.01
C6;Toussoulis K. ;1;19.16;100.87;120.5;143.67;178.87;199;212.37;239.58;270.59;304.78;370.92;401.57;436.28;477;521.5;543.77
C6;Sotiropoulos N;1;18.77;102;121.31;155.55;191.23;212.28;226.15;255.33;289.64;327.46;397.32;428.53;462.26;504.36;551.49;572.92
C6;Englezos T.  -;1;17.76;104.51;126.25;150;186.29;206.7;222.35;246.25;278.96;321.68;393.8;423.64;462.54;506.72;553.2;577.46
4;Delaportas Gio;1;23.17;111.85;132.41;158.45;196.59;219.68;233.15;261.2;297.71;339.11;410.16;443.56;478.83;523.41;574.55;597.06
