0,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,
32,Daprà  Roberto  /  Guglielmetti  L.  Škoda Fabia Rally2 Evo,RC2,00:17:39.1,00:17:44.6,00:18:13.9,00:17:11.6,00:17:19.8,00:17:52.3,00:19:14.8,00:15:50.9,00:19:16.4,00:09:36.6,00:19:02.9,00:01:49.0,00:14:54.5,00:13:07.2,00:12:55.5
33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:18:42.8,00:20:04.1,00:20:39.1,00:16:26.4,00:16:37.3,00:17:42.7,00:18:12.8,00:15:06.7,00:18:20.1,00:09:18.4,00:22:56.1,00:11:44.6,00:14:22.9,00:11:41.1,00:10:54.6
34,Loubet  P.  /  Pascaud  Loris  Škoda Fabia RS Rally2,RC2,00:26:54.4,00:27:08.9,00:27:34.9,,,,,,,,,,,,
35,Kremer  Armin  /  Kremer  Ella  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:18:14.1,00:18:48.6,00:17:47.3,00:17:43.4,00:18:20.0,00:20:28.9,00:16:39.9,00:20:05.6,00:09:56.2,00:20:23.8,00:01:55.0,00:15:23.9,00:13:44.2,00:12:34.7
36,Vassilakis  G.  /  Krawszik  Tom  Ford Fiesta Rally2 MkII,RC2,00:17:39.1,00:19:24.1,00:20:50.7,00:19:17.4,00:19:22.3,00:19:51.4,00:21:46.8,00:29:38.9,00:21:25.1,00:10:46.6,00:21:23.0,00:02:13.7,00:16:28.8,00:13:43.6,00:13:31.3
37,Al-Wahaibi  H.  /  Burns  Niall  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:18:31.4,00:18:51.2,00:17:53.5,00:22:59.3,00:19:54.4,00:21:08.0,00:16:28.1,00:20:43.6,00:10:02.7,00:51:38.4,,,,
38,Athanassoulas  L.  /  Zakcheos  N.  Škoda Fabia Rally2 Evo,RC2,00:26:54.4,00:27:08.9,00:27:34.9,,,,,,,,,,,,
39,Kehagias  G.  /  Petropoulos  N.  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:21:44.4,00:19:02.0,00:18:13.6,00:18:49.8,00:18:57.2,00:20:24.0,00:16:25.6,00:20:26.5,00:10:08.6,00:28:24.5,,,,
40,Roustemis  P.  /  Bakloris  C.  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:18:06.7,00:18:39.4,00:17:56.3,00:17:49.1,00:18:54.8,00:20:13.8,00:16:14.4,00:19:35.3,00:09:54.9,00:19:35.0,00:01:58.7,00:15:47.0,00:13:11.9,00:12:51.8
41,Velanis  V.  /  Panagiotounis  E.  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:18:45.3,00:19:03.5,00:18:19.6,00:26:49.6,00:27:18.5,00:21:47.7,00:17:11.5,00:20:43.5,00:10:25.2,00:23:23.3,00:02:06.8,00:16:15.0,00:13:55.1,
43,Amoutzas  G.  /  Eliopoulos  G.  Škoda Fabia Rally2 Evo,RC2,00:26:54.4,00:27:08.9,00:27:34.9,00:26:45.4,00:26:49.6,00:27:18.5,00:20:23.8,00:16:19.8,00:19:53.0,00:09:53.0,00:19:57.2,00:01:54.0,,,
44,Soylu  Uğur  /  Güray  Şener  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:18:42.6,00:19:18.9,00:18:14.9,00:17:59.9,00:20:02.5,00:20:34.5,00:16:34.1,00:20:17.3,00:10:15.1,00:24:07.0,00:01:56.8,00:16:03.9,00:17:50.9,00:12:52.6
45,Granados  Miguel  /  Martí  Marc  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:18:42.5,00:19:18.4,00:18:33.3,00:18:26.1,00:19:12.7,00:20:25.8,00:16:40.8,00:20:36.2,00:10:11.6,00:20:19.9,00:01:58.5,00:15:52.6,00:14:19.4,00:13:32.5
46,Peralta  J.  /  Pérez  Víctor  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:19:19.5,00:20:02.9,00:19:47.5,00:19:18.5,00:20:47.1,00:22:57.1,00:17:23.1,00:21:11.5,00:10:45.4,00:21:05.5,00:02:01.0,00:16:17.2,00:15:45.1,00:14:32.8
47,Brazzoli  Enrico  /  Musiari  Martina  Škoda Fabia Rally2 Evo,RC2,00:17:39.1,00:19:07.7,00:20:20.0,00:19:14.4,00:19:05.0,00:20:11.5,00:28:42.3,00:25:21.3,00:28:44.8,00:19:19.1,00:28:24.5,00:11:48.5,00:16:03.6,00:15:01.9,00:14:23.4
48,Pavlidis  N.  /  Harryman  Allan  Škoda Fabia Rally2 Evo,RC2,00:17:39.1,00:19:22.8,00:19:55.0,00:23:08.0,00:19:31.3,00:20:27.5,00:21:32.7,00:17:31.0,00:22:02.3,00:11:31.7,00:24:40.1,00:02:02.0,00:16:25.1,00:14:19.7,00:13:46.5
49,Çetinkaya  B.  /  Pons  Fabrizia  Škoda Fabia Rally2 Evo,RC2,00:17:39.1,00:19:53.8,00:19:54.3,00:19:17.6,00:19:16.7,00:20:06.1,00:21:28.8,00:17:17.1,00:28:44.8,00:19:19.1,00:28:24.5,00:11:48.5,00:16:31.7,00:14:57.8,00:13:44.3
50,Dolofan  C.  /  Pavel  Traian  Citroën C3 Rally2,RC2,00:17:39.1,00:19:44.0,00:19:42.7,00:19:16.2,00:19:11.3,00:19:57.4,00:22:26.1,00:17:36.8,00:21:40.7,00:19:19.1,00:28:24.5,00:11:48.5,00:16:33.8,00:14:22.9,00:13:59.0
51,Karanikolas  E.  /  Kakavas  Giorgos  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:36.9,00:19:07.7,00:18:39.9,00:18:22.5,00:19:38.7,00:20:47.6,00:16:35.6,00:20:15.5,00:10:13.6,00:31:49.1,00:12:01.3,00:15:49.6,00:13:49.2,00:13:02.7
52,Chatzimarkos  P.  /  Tsaousoglou  M.  Renault Clio Rally3,RC3,00:17:39.1,00:18:52.5,00:19:20.1,00:24:31.8,00:18:37.8,00:19:33.7,00:21:08.2,00:16:52.0,00:20:50.7,00:10:24.4,00:25:48.2,00:02:01.3,00:16:22.4,00:13:49.2,00:13:44.5
53,Halkias  E.  /  Komnos  Nikolaos  Renault Clio Rally3,RC3,00:17:39.1,00:19:03.4,00:19:46.9,00:19:00.6,00:18:50.4,00:20:56.7,00:21:32.7,00:17:40.3,00:21:10.4,00:10:24.1,00:21:49.1,00:02:06.5,00:16:56.5,00:13:49.2,00:14:38.9
54,Delaportas  G.  /  Panaritis  E.  Ford Fiesta Rally3,RC3,00:17:39.1,00:24:24.9,00:29:07.7,00:28:39.9,00:28:22.5,,,,,,,,,,
55,Stefanis  Manos  /  Stefanis  K.  Ford Fiesta Rally3,RC3,00:17:39.1,00:19:48.7,00:20:43.5,00:20:10.6,00:19:52.3,00:21:30.4,00:22:27.2,00:17:57.9,00:22:11.9,00:10:49.7,00:22:50.1,00:02:03.0,00:17:05.8,00:13:49.2,00:15:19.8
56,Theocharopoulos  S.  /  Kotsalis  G.  Ford Fiesta Rally3,RC3,00:17:39.1,00:19:50.7,00:20:13.0,00:20:09.6,00:20:04.5,00:21:34.1,00:22:46.4,00:18:03.7,00:22:31.3,00:11:14.1,00:22:35.3,00:02:10.1,00:16:36.4,00:13:49.2,00:14:26.2
57,Šekuljica  S.  /  Petrović  Damir  Ford Fiesta Rally3,RC3,00:17:39.1,00:20:38.3,00:21:08.7,00:20:40.0,00:20:24.2,00:29:33.7,,,,,,,,,
58,Jürgenson  R.  /  Oja  Siim  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:18.4,00:18:36.1,00:18:08.3,00:18:05.5,00:18:51.1,00:19:48.3,00:16:16.0,00:20:07.5,00:09:58.1,00:23:05.4,00:01:56.2,00:15:44.1,00:13:26.0,00:13:11.7
59,Gill  Taylor  /  Brkic  Daniel  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:16.3,00:18:55.1,00:18:10.6,00:18:08.3,00:19:39.5,00:19:58.3,00:16:19.8,00:20:22.9,00:10:13.5,00:38:09.4,00:03:40.4,00:15:36.5,00:13:20.5,00:16:03.0
60,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:16.3,00:18:39.6,00:18:15.5,00:23:35.9,00:18:25.0,00:20:00.2,00:16:33.6,00:20:12.4,00:10:54.1,00:39:15.4,00:02:21.4,00:15:05.2,00:12:59.8,00:14:52.6
61,Türkkan  Ali  /  Erdener  Burak  Ford Fiesta Rally3,RC3,00:17:39.1,00:17:57.5,00:19:52.9,00:17:58.0,00:17:56.9,00:18:35.3,00:19:55.0,00:16:07.8,00:23:39.1,00:09:49.6,00:20:28.8,00:11:56.2,00:15:05.2,00:12:50.2,00:12:49.5
62,Borodin  Petr  /  Cheprassov  R.  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:34.7,00:19:07.1,00:18:29.7,00:18:17.9,00:19:01.3,00:20:03.3,00:16:27.2,00:20:12.4,00:10:01.3,00:22:33.8,00:02:03.0,00:15:45.6,,
63,Maior  Norbert  /  Maior  Francesca  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:02.7,00:18:48.8,00:18:16.3,00:18:02.0,00:18:34.1,00:20:09.1,00:16:27.1,00:19:56.2,00:10:04.7,00:20:46.3,00:01:57.4,00:15:50.8,00:13:49.2,00:13:41.9
64,Rensonnet  Tom  /  Deliot  Manon  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:39.0,00:18:45.7,00:18:20.8,00:18:11.2,00:18:53.9,00:23:22.8,00:16:28.3,00:20:30.7,00:09:57.9,00:21:22.7,00:01:56.3,00:15:22.4,00:13:43.1,00:16:03.2
66,Smart  Max  /  Fair  Cameron  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:26.0,00:21:46.8,00:21:29.1,00:18:26.9,00:19:28.5,00:20:17.9,00:20:10.9,00:20:34.7,00:10:03.9,00:26:19.3,00:01:58.2,00:15:44.6,00:14:29.5,00:12:56.7
67,Schwarz  Fabio  /  Ettel  Bernhard  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:22.9,00:18:58.2,00:18:46.5,00:21:29.8,00:19:33.7,00:22:17.6,00:16:37.5,00:20:30.4,00:09:51.2,00:19:58.4,00:02:05.3,,,
68,Caparó  José  /  Gutiérrez  E.  Ford Fiesta Rally3,RC3,00:17:39.1,00:19:10.2,00:19:58.9,00:19:03.8,00:18:56.9,00:20:14.1,00:21:27.6,00:16:54.9,00:21:13.9,00:10:22.4,00:21:39.0,00:02:45.2,00:15:26.9,00:13:54.7,00:13:35.4
70,Bruun  Nataniel  /  Olmos  Pablo  Ford Fiesta Rally3,RC3,00:17:39.1,00:20:00.4,00:19:36.1,00:18:23.0,00:18:26.3,00:19:11.4,00:20:18.7,00:16:44.2,00:20:21.4,00:10:08.7,00:20:41.4,00:11:56.2,00:15:26.8,00:13:22.0,00:13:05.8
71,Martinez  André  /  Aranguren  M.  Ford Fiesta Rally3,RC3,00:17:39.1,00:21:51.1,00:20:45.8,00:19:15.3,00:19:07.9,00:20:37.4,00:21:05.9,00:26:07.8,00:30:12.4,00:19:49.6,00:29:58.4,00:11:56.2,00:16:07.8,00:15:34.3,00:18:07.0
72,Laskowski  H.  /  Kuśnierz  M.  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:55.3,00:19:14.0,00:18:31.4,00:18:26.7,00:18:59.4,00:20:08.0,00:26:07.8,00:30:12.4,00:19:49.6,00:29:58.4,00:11:56.2,00:15:11.0,00:15:49.3,00:12:33.2
73,Blach  Roberto  /  Barreiro  Mauro  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:18:22.6,00:18:59.0,00:18:02.9,00:19:08.4,00:19:35.2,00:19:57.9,00:16:15.9,00:20:12.2,00:10:06.7,00:21:04.2,00:01:54.0,00:15:13.0,,
74,Villanueva  A.  /  Murado  José  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:18:05.9,00:18:25.1,00:17:55.4,00:20:07.8,00:19:11.4,00:19:47.6,00:16:13.5,00:19:57.4,00:09:48.7,00:31:04.2,,,,
75,Fontana  Matteo  /  Arnaboldi  A.  Ford Fiesta Rally3,RC3,00:17:39.1,00:18:27.6,00:19:06.4,00:18:05.5,00:18:05.5,00:18:54.6,00:20:03.8,00:16:27.4,00:20:13.0,00:10:02.2,00:20:23.7,00:01:56.6,00:15:13.8,00:13:08.5,00:13:26.5
76,Panteli  Petros  /  Laos  Pambos  Renault Clio Rally3,RC3,00:17:39.1,00:18:40.9,00:19:17.1,00:18:52.3,00:18:43.3,00:45:01.5,00:21:43.8,00:20:01.0,00:30:15.3,00:20:02.2,00:30:23.7,,,,
77,Cărăgui  Eugen  /  Fus  Robert  Citroën C3 Rally2,RC2,00:17:39.1,00:19:09.4,00:20:07.5,00:19:27.0,00:29:08.4,00:29:11.4,00:21:38.8,00:17:49.3,00:29:57.4,00:19:48.7,00:31:04.2,00:11:54.0,00:16:20.2,00:14:29.5,00:14:03.9
78,Campagnoli  G.  /  Arena  Nicola  Renault Clio Rally3,RC3,00:17:39.1,00:59:32.6,00:29:06.4,00:28:05.5,00:28:05.5,00:28:54.6,00:25:53.7,00:18:19.3,00:25:27.3,00:20:02.2,00:30:23.7,,,,
79,Martínez  Jorge  /  Mussano  F.  Škoda Fabia RS Rally2,RC2,00:17:39.1,00:19:40.5,00:20:27.7,00:19:37.8,00:19:36.8,00:24:13.7,00:22:29.9,00:17:57.6,00:22:10.8,00:10:54.0,00:23:10.7,00:11:54.0,00:16:28.9,00:14:29.5,
80,Georgakopoulos  M.  /  Crescenti  Aaron  Citroën DS3 R5,RC2,00:17:39.1,00:28:05.9,00:28:25.1,00:27:55.4,00:29:08.4,,,,,,,,,,
81,Lefkaditis  S.  /  Akratos  E.  Peugeot 208 Rally4,RC4,00:17:39.1,00:20:31.5,00:20:44.9,00:20:15.0,00:19:47.6,00:22:40.6,00:22:58.7,00:27:37.0,00:22:27.9,00:11:17.3,00:23:24.5,00:02:07.5,00:17:37.5,00:14:29.5,00:14:54.3
82,Plagos  Ioannis  /  Kouzionis  C.  Peugeot 208 Rally4,RC4,00:17:39.1,00:20:01.8,00:20:43.9,00:20:48.6,00:20:14.4,00:22:43.0,00:35:12.4,00:29:27.8,00:32:27.9,00:21:17.3,00:33:24.5,00:12:07.5,00:17:15.3,00:14:29.5,00:15:32.7
83,Kalamaras  T.  /  Labrakis  D.  Ford Fiesta Rally4,RC4,00:17:39.1,00:20:54.6,00:21:49.1,00:21:40.5,00:20:42.2,00:22:57.1,00:24:47.9,00:19:27.8,00:23:54.3,00:11:42.1,00:24:02.7,00:02:19.6,00:18:26.3,00:14:29.5,00:15:46.3
84,Papageorgiou  L.  /  Kougias  V.  Peugeot 208 R2,RC4,00:17:39.1,00:25:26.7,00:24:25.2,00:24:24.0,00:23:51.7,00:30:27.0,00:27:09.6,00:29:27.8,00:32:27.9,00:21:17.3,00:33:24.5,00:12:07.5,00:21:00.6,00:14:29.5,00:17:49.4
85,Parellis  D.  /  Papandreou  A.  Renault Clio Rally5,RC5,00:17:39.1,00:22:30.9,00:22:18.7,00:23:34.1,00:22:53.9,00:23:46.2,00:24:26.8,00:19:59.3,00:25:25.9,00:12:44.6,00:30:26.5,00:02:27.5,00:19:46.1,00:14:29.5,00:27:58.4
