0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,
44,Soylu  Uğur  /  Güray  Şener  Škoda Fabia RS Rally2,RC2,18.0,39.0,38.0,30.0,20.0,41.0,37.0,35.0,30.0,38.0,42.0,24.0,38.0,54.0,19.0
45,Granados  Miguel  /  Martí  Marc  Škoda Fabia RS Rally2,RC2,18.0,38.0,37.0,38.0,29.0,28.0,35.0,39.0,37.0,35.0,18.0,27.0,36.0,37.0,27.0
46,Peralta  J.  /  Pérez  Víctor  Škoda Fabia RS Rally2,RC2,18.0,47.0,47.0,51.0,44.0,47.0,56.0,45.0,42.0,43.0,27.0,29.0,41.0,52.0,37.0
47,Brazzoli  Enrico  /  Musiari  Martina  Škoda Fabia Rally2 Evo,RC2,18.0,44.0,50.0,44.0,39.0,43.0,63.0,58.0,56.0,54.0,47.0,46.0,37.0,50.0,35.0
48,Pavlidis  N.  /  Harryman  Allan  Škoda Fabia Rally2 Evo,RC2,18.0,48.0,45.0,59.0,46.0,45.0,44.0,46.0,46.0,50.0,43.0,31.0,44.0,38.0,32.0
49,Çetinkaya  B.  /  Pons  Fabrizia  Škoda Fabia Rally2 Evo,RC2,18.0,54.0,44.0,48.0,43.0,42.0,43.0,44.0,56.0,54.0,47.0,46.0,47.0,49.0,30.0
50,Dolofan  C.  /  Pavel  Traian  Citroën C3 Rally2,RC2,18.0,51.0,41.0,46.0,42.0,40.0,52.0,47.0,45.0,54.0,47.0,46.0,48.0,39.0,33.0
51,Karanikolas  E.  /  Kakavas  Giorgos  Ford Fiesta Rally3,RC3,18.0,35.0,34.0,39.0,28.0,36.0,38.0,36.0,29.0,37.0,59.0,56.0,34.0,28.0,22.0
52,Chatzimarkos  P.  /  Tsaousoglou  M.  Renault Clio Rally3,RC3,18.0,41.0,39.0,62.0,33.0,33.0,41.0,41.0,40.0,41.0,44.0,30.0,43.0,28.0,31.0
53,Halkias  E.  /  Komnos  Nikolaos  Renault Clio Rally3,RC3,18.0,43.0,42.0,42.0,36.0,48.0,44.0,48.0,41.0,40.0,32.0,35.0,50.0,28.0,38.0
54,Delaportas  G.  /  Panaritis  E.  Ford Fiesta Rally3,RC3,18.0,64.0,70.0,68.0,66.0,,,,,,,,,,
55,Stefanis  Manos  /  Stefanis  K.  Ford Fiesta Rally3,RC3,18.0,52.0,54.0,53.0,49.0,49.0,53.0,51.0,48.0,45.0,35.0,32.0,51.0,28.0,42.0
56,Theocharopoulos  S.  /  Kotsalis  G.  Ford Fiesta Rally3,RC3,18.0,53.0,49.0,52.0,50.0,50.0,55.0,52.0,50.0,48.0,34.0,38.0,49.0,28.0,36.0
57,Šekuljica  S.  /  Petrović  Damir  Ford Fiesta Rally3,RC3,18.0,59.0,59.0,55.0,53.0,64.0,,,,,,,,,
58,Jürgenson  R.  /  Oja  Siim  Ford Fiesta Rally3,RC3,18.0,27.0,18.0,27.0,22.0,18.0,20.0,24.0,24.0,25.0,37.0,21.0,30.0,22.0,24.0
59,Gill  Taylor  /  Brkic  Daniel  Ford Fiesta Rally3,RC3,18.0,25.0,26.0,28.0,24.0,37.0,23.0,25.0,32.0,36.0,62.0,44.0,28.0,20.0,46.0
60,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,18.0,25.0,20.0,31.0,58.0,15.0,24.0,34.0,26.0,47.0,63.0,41.0,19.0,16.0,39.0
61,Türkkan  Ali  /  Erdener  Burak  Ford Fiesta Rally3,RC3,18.0,20.0,43.0,24.0,19.0,17.0,21.0,20.0,51.0,18.0,21.0,52.0,19.0,14.0,17.0
62,Borodin  Petr  /  Cheprassov  R.  Ford Fiesta Rally3,RC3,18.0,34.0,33.0,36.0,27.0,25.0,25.0,29.0,26.0,26.0,33.0,32.0,32.0,,
63,Maior  Norbert  /  Maior  Francesca  Ford Fiesta Rally3,RC3,18.0,21.0,24.0,32.0,21.0,16.0,28.0,28.0,20.0,30.0,24.0,25.0,35.0,28.0,29.0
64,Rensonnet  Tom  /  Deliot  Manon  Ford Fiesta Rally3,RC3,18.0,36.0,22.0,34.0,26.0,20.0,58.0,32.0,35.0,24.0,29.0,22.0,24.0,24.0,47.0
66,Smart  Max  /  Fair  Cameron  Ford Fiesta Rally3,RC3,18.0,30.0,60.0,57.0,32.0,31.0,31.0,57.0,36.0,29.0,45.0,26.0,31.0,40.0,21.0
67,Schwarz  Fabio  /  Ettel  Bernhard  Ford Fiesta Rally3,RC3,18.0,29.0,27.0,40.0,55.0,33.0,51.0,37.0,34.0,19.0,17.0,34.0,,,
68,Caparó  José  /  Gutiérrez  E.  Ford Fiesta Rally3,RC3,18.0,46.0,46.0,43.0,37.0,44.0,42.0,42.0,43.0,39.0,31.0,43.0,27.0,35.0,28.0
70,Bruun  Nataniel  /  Olmos  Pablo  Ford Fiesta Rally3,RC3,18.0,55.0,40.0,35.0,30.0,26.0,32.0,40.0,31.0,34.0,22.0,52.0,26.0,21.0,23.0
71,Martinez  André  /  Aranguren  M.  Ford Fiesta Rally3,RC3,18.0,62.0,57.0,45.0,40.0,46.0,39.0,59.0,59.0,59.0,52.0,52.0,39.0,51.0,49.0
72,Laskowski  H.  /  Kuśnierz  M.  Ford Fiesta Rally3,RC3,18.0,42.0,35.0,37.0,31.0,24.0,27.0,59.0,59.0,59.0,52.0,52.0,21.0,53.0,15.0
73,Blach  Roberto  /  Barreiro  Mauro  Škoda Fabia RS Rally2,RC2,18.0,28.0,28.0,25.0,41.0,35.0,22.0,23.0,25.0,32.0,26.0,18.0,22.0,,
