,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Papageorgiou,RC4,62.0,65.0,64.0,64.0,64.0,64.0,62.0,63.0,63.0,63.0,63.0,58.0,56.0,54.0,52.0
Parellis  D.,RC5,60.0,63.0,63.0,62.0,62.0,60.0,58.0,59.0,57.0,55.0,55.0,50.0,50.0,48.0,49.0
Pavlidis  N.,RC2,46.0,47.0,42.0,58.0,56.0,51.0,47.0,45.0,43.0,43.0,43.0,38.0,37.0,36.0,33.0
Peralta  J. ,RC2,45.0,46.0,43.0,48.0,43.0,45.0,44.0,42.0,42.0,41.0,34.0,32.0,31.0,30.0,29.0
Plagos  Ioan,RC4,54.0,55.0,55.0,55.0,55.0,54.0,59.0,61.0,62.0,62.0,62.0,57.0,55.0,53.0,51.0
Rensonnet  T,RC3,34.0,34.0,27.0,27.0,23.0,22.0,33.0,32.0,31.0,30.0,26.0,23.0,23.0,22.0,22.0
Rossel  Yoha,RC2,7.0,7.0,6.0,5.0,6.0,11.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
Roustemis  P,RC2,22.0,22.0,18.0,18.0,16.0,16.0,17.0,16.0,15.0,15.0,15.0,14.0,14.0,14.0,12.0
Schwarz  Fab,RC3,28.0,27.0,24.0,30.0,38.0,35.0,38.0,37.0,35.0,32.0,28.0,26.0,,,
Serderidis  ,RC1,65.0,42.0,37.0,29.0,24.0,23.0,24.0,25.0,22.0,21.0,18.0,17.0,18.0,18.0,14.0
Smart  Max /,RC3,29.0,29.0,51.0,56.0,48.0,46.0,40.0,43.0,41.0,40.0,39.0,35.0,34.0,32.0,31.0
Solans  Jan ,RC2,67.0,62.0,54.0,38.0,35.0,28.0,22.0,21.0,14.0,14.0,13.0,13.0,13.0,13.0,11.0
Sordo  Dani ,RC1,5.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
Soylu  Uğur ,RC2,37.0,37.0,36.0,33.0,25.0,31.0,30.0,29.0,26.0,26.0,27.0,24.0,25.0,26.0,24.0
Stefanis  Ma,RC3,50.0,51.0,53.0,52.0,51.0,50.0,48.0,47.0,45.0,44.0,41.0,36.0,36.0,35.0,35.0
Theocharopou,RC3,51.0,52.0,49.0,51.0,50.0,49.0,49.0,48.0,46.0,45.0,42.0,37.0,39.0,37.0,36.0
Tänak  Ott /,RC1,2.0,1.0,3.0,2.0,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
Türkkan  Ali,RC3,19.0,19.0,33.0,28.0,22.0,19.0,20.0,20.0,28.0,25.0,22.0,31.0,29.0,27.0,25.0
Vassilakis  ,RC2,47.0,48.0,52.0,49.0,45.0,43.0,43.0,53.0,51.0,49.0,46.0,42.0,43.0,41.0,39.0
Velanis  V. ,RC2,38.0,38.0,32.0,31.0,57.0,57.0,55.0,52.0,49.0,48.0,47.0,41.0,42.0,40.0,
Villanueva  ,RC2,21.0,21.0,17.0,16.0,28.0,26.0,25.0,24.0,21.0,20.0,31.0,,,,
Virves  Robe,RC2,16.0,16.0,11.0,9.0,9.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
Zaldivar  F.,RC2,15.0,14.0,13.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0
Çetinkaya  B,RC2,52.0,53.0,48.0,46.0,42.0,42.0,41.0,39.0,47.0,51.0,52.0,49.0,48.0,46.0,43.0
Šekuljica  S,RC3,56.0,57.0,62.0,60.0,58.0,59.0,,,,,,,,,
