,Crew,ss,Group,Group_Pos
27,Rensonnet  T,3,RC3,6
28,Fontana  Mat,3,RC3,7
29,Linnamäe  Ge,3,RC2,16
30,Borodin  Pet,3,RC3,8
31,Karanikolas ,3,RC3,9
32,Velanis  V. ,3,RC2,17
33,Türkkan  Ali,3,RC3,10
34,Panteli  Pet,3,RC3,11
35,Granados  Mi,3,RC2,18
36,Soylu  Uğur ,3,RC2,19
37,Serderidis  ,3,RC1,7
38,Laskowski  H,3,RC3,12
39,Chatzimarkos,3,RC3,13
40,Halkias  E. ,3,RC3,14
41,Caparó  José,3,RC3,15
42,Pavlidis  N.,3,RC2,20
43,Peralta  J. ,3,RC2,21
44,Dolofan  C. ,3,RC2,22
45,Cărăgui  Eug,3,RC2,23
46,Brazzoli  En,3,RC2,24
47,Bruun  Natan,3,RC3,16
48,Çetinkaya  B,3,RC2,25
49,Theocharopou,3,RC3,17
50,Martínez  Jo,3,RC2,26
51,Smart  Max /,3,RC3,18
52,Vassilakis  ,3,RC2,27
53,Stefanis  Ma,3,RC3,19
54,Solans  Jan ,3,RC2,28
55,Plagos  Ioan,3,RC4,1
56,Kehagias  G.,3,RC2,29
57,Lefkaditis  ,3,RC4,2
58,Evans  Elfyn,3,RC1,8
59,Martinez  An,3,RC3,20
60,Kalamaras  T,3,RC4,3
61,Katsuta  T. ,3,RC1,9
62,Šekuljica  S,3,RC3,21
63,Parellis  D.,3,RC5,1
64,Papageorgiou,3,RC4,4
65,Delaportas  ,3,RC3,22
66,Georgakopoul,3,RC2,30
67,Loubet  P. /,3,RC2,31
68,Athanassoula,3,RC2,32
69,Amoutzas  G.,3,RC2,33
70,Campagnoli  ,3,RC3,23
1,Ogier  S. / ,4,RC1,1
2,Tänak  Ott /,4,RC1,2
3,Sordo  Dani ,4,RC1,3
4,Neuville  T.,4,RC1,4
5,Rossel  Yoha,4,RC2,1
6,Munster  G. ,4,RC1,5
7,Pajari  Sami,4,RC2,2
8,Greensmith  ,4,RC2,3
9,Virves  Robe,4,RC2,4
10,Gryazin  Nik,4,RC2,5
11,Zaldivar  F.,4,RC2,6
12,Kajetanowicz,4,RC2,7
13,Joona  Lauri,4,RC2,8
14,McErlean  Jo,4,RC2,9
15,Daprà  Rober,4,RC2,10
16,Villanueva  ,4,RC2,11
17,Linnamäe  Ge,4,RC2,12
18,Roustemis  P,4,RC2,13
19,Kremer  Armi,4,RC2,14
20,Jürgenson  R,4,RC3,1
21,Maior  Norbe,4,RC3,2
22,Dominguez  D,4,RC3,3
23,Al-Wahaibi  ,4,RC2,15
24,Gill  Taylor,4,RC3,4
25,Blach  Rober,4,RC2,16
26,Fontana  Mat,4,RC3,5
27,Rensonnet  T,4,RC3,6
28,Türkkan  Ali,4,RC3,7
29,Serderidis  ,4,RC1,6
30,Schwarz  Fab,4,RC3,8
31,Velanis  V. ,4,RC2,17
32,Borodin  Pet,4,RC3,9
33,Soylu  Uğur ,4,RC2,18
34,Karanikolas ,4,RC3,10
35,Granados  Mi,4,RC2,19
36,Laskowski  H,4,RC3,11
37,Panteli  Pet,4,RC3,12
38,Solans  Jan ,4,RC2,20
39,Halkias  E. ,4,RC3,13
40,Bruun  Natan,4,RC3,14
41,Caparó  José,4,RC3,15
42,Evans  Elfyn,4,RC1,7
43,Brazzoli  En,4,RC2,21
44,Dolofan  C. ,4,RC2,22
45,Cărăgui  Eug,4,RC2,23
46,Çetinkaya  B,4,RC2,24
47,Fourmaux  Ad,4,RC1,8
48,Peralta  J. ,4,RC2,25
49,Vassilakis  ,4,RC2,26
50,Martínez  Jo,4,RC2,27
51,Theocharopou,4,RC3,16
52,Stefanis  Ma,4,RC3,17
53,Kehagias  G.,4,RC2,28
54,Lefkaditis  ,4,RC4,1
55,Plagos  Ioan,4,RC4,2
56,Smart  Max /,4,RC3,18
57,Martinez  An,4,RC3,19
58,Pavlidis  N.,4,RC2,29
59,Chatzimarkos,4,RC3,20
60,Šekuljica  S,4,RC3,21
61,Kalamaras  T,4,RC4,3
62,Parellis  D.,4,RC5,1
63,Katsuta  T. ,4,RC1,9
64,Papageorgiou,4,RC4,4
65,Delaportas  ,4,RC3,22
66,Georgakopoul,4,RC2,30
67,Amoutzas  G.,4,RC2,31
68,Campagnoli  ,4,RC3,23
1,Tänak  Ott /,5,RC1,1
2,Ogier  S. / ,5,RC1,2
3,Sordo  Dani ,5,RC1,3
4,Neuville  T.,5,RC1,4
5,Munster  G. ,5,RC1,5
6,Rossel  Yoha,5,RC2,1
7,Pajari  Sami,5,RC2,2
8,Greensmith  ,5,RC2,3
9,Virves  Robe,5,RC2,4
10,Zaldivar  F.,5,RC2,5
11,Kajetanowicz,5,RC2,6
12,McErlean  Jo,5,RC2,7
13,Gryazin  Nik,5,RC2,8
14,Daprà  Rober,5,RC2,9
15,Linnamäe  Ge,5,RC2,10
16,Roustemis  P,5,RC2,11
17,Kremer  Armi,5,RC2,12
18,Jürgenson  R,5,RC3,1
19,Maior  Norbe,5,RC3,2
20,Gill  Taylor,5,RC3,3
21,Fontana  Mat,5,RC3,4
22,Türkkan  Ali,5,RC3,5
23,Rensonnet  T,5,RC3,6
24,Serderidis  ,5,RC1,6
25,Soylu  Uğur ,5,RC2,13
26,Borodin  Pet,5,RC3,7
27,Blach  Rober,5,RC2,14
28,Villanueva  ,5,RC2,15
29,Karanikolas ,5,RC3,8
30,Evans  Elfyn,5,RC1,7
31,Granados  Mi,5,RC2,16
32,Laskowski  H,5,RC3,9
33,Panteli  Pet,5,RC3,10
34,Bruun  Natan,5,RC3,11
35,Solans  Jan ,5,RC2,17
36,Halkias  E. ,5,RC3,12
37,Caparó  José,5,RC3,13
38,Schwarz  Fab,5,RC3,14
39,Brazzoli  En,5,RC2,18
40,Dolofan  C. ,5,RC2,19
41,Al-Wahaibi  ,5,RC2,20
42,Çetinkaya  B,5,RC2,21
43,Peralta  J. ,5,RC2,22
44,Dominguez  D,5,RC3,15
45,Vassilakis  ,5,RC2,23
46,Joona  Lauri,5,RC2,24
47,Martínez  Jo,5,RC2,25
48,Smart  Max /,5,RC3,16
49,Kehagias  G.,5,RC2,26
50,Theocharopou,5,RC3,17
51,Stefanis  Ma,5,RC3,18
52,Martinez  An,5,RC3,19
53,Lefkaditis  ,5,RC4,1
54,Chatzimarkos,5,RC3,20
55,Plagos  Ioan,5,RC4,2
56,Pavlidis  N.,5,RC2,27
57,Velanis  V. ,5,RC2,28
58,Šekuljica  S,5,RC3,21
59,Kalamaras  T,5,RC4,3
60,Fourmaux  Ad,5,RC1,8
61,Cărăgui  Eug,5,RC2,29
62,Parellis  D.,5,RC5,1
63,Katsuta  T. ,5,RC1,9
64,Papageorgiou,5,RC4,4
65,Delaportas  ,5,RC3,22
66,Georgakopoul,5,RC2,30
67,Amoutzas  G.,5,RC2,31
68,Campagnoli  ,5,RC3,23
1,Tänak  Ott /,6,RC1,1
2,Sordo  Dani ,6,RC1,2
3,Neuville  T.,6,RC1,3
4,Ogier  S. / ,6,RC1,4
5,Virves  Robe,6,RC2,1
6,Pajari  Sami,6,RC2,2
7,Munster  G. ,6,RC1,5
8,Kajetanowicz,6,RC2,3
9,Zaldivar  F.,6,RC2,4
10,Gryazin  Nik,6,RC2,5
11,Rossel  Yoha,6,RC2,6
12,McErlean  Jo,6,RC2,7
13,Daprà  Rober,6,RC2,8
14,Linnamäe  Ge,6,RC2,9
15,Kremer  Armi,6,RC2,10
16,Roustemis  P,6,RC2,11
17,Maior  Norbe,6,RC3,1
18,Jürgenson  R,6,RC3,2
19,Türkkan  Ali,6,RC3,3
20,Evans  Elfyn,6,RC1,6
21,Fontana  Mat,6,RC3,4
22,Rensonnet  T,6,RC3,5
23,Serderidis  ,6,RC1,7
24,Gill  Taylor,6,RC3,6
25,Borodin  Pet,6,RC3,7
26,Villanueva  ,6,RC2,12
27,Laskowski  H,6,RC3,8
