,Crew,ss,Group,Group_Pos
61,Panteli  Pet,11,RC3,20
62,Plagos  Ioan,11,RC4,3
63,Papageorgiou,11,RC4,4
64,Campagnoli  ,11,RC3,21
1,Neuville  T.,12,RC1,1
2,Sordo  Dani ,12,RC1,2
3,Ogier  S. / ,12,RC1,3
4,Tänak  Ott /,12,RC1,4
5,Pajari  Sami,12,RC2,1
6,Virves  Robe,12,RC2,2
7,Rossel  Yoha,12,RC2,3
8,Kajetanowicz,12,RC2,4
9,Linnamäe  Ge,12,RC2,5
10,Zaldivar  F.,12,RC2,6
11,Daprà  Rober,12,RC2,7
12,McErlean  Jo,12,RC2,8
13,Solans  Jan ,12,RC2,9
14,Roustemis  P,12,RC2,10
15,Kremer  Armi,12,RC2,11
16,Maior  Norbe,12,RC3,1
17,Serderidis  ,12,RC1,5
18,Fontana  Mat,12,RC3,2
19,Jürgenson  R,12,RC3,3
20,Blach  Rober,12,RC2,12
21,Granados  Mi,12,RC2,13
22,Borodin  Pet,12,RC3,4
23,Rensonnet  T,12,RC3,5
24,Soylu  Uğur ,12,RC2,14
25,Evans  Elfyn,12,RC1,6
26,Schwarz  Fab,12,RC3,6
27,Caparó  José,12,RC3,7
28,Joona  Lauri,12,RC2,15
29,Halkias  E. ,12,RC3,8
30,Fourmaux  Ad,12,RC1,7
31,Türkkan  Ali,12,RC3,9
32,Peralta  J. ,12,RC2,16
33,Bruun  Natan,12,RC3,10
34,Chatzimarkos,12,RC3,11
35,Smart  Max /,12,RC3,12
36,Stefanis  Ma,12,RC3,13
37,Theocharopou,12,RC3,14
38,Pavlidis  N.,12,RC2,17
39,Gill  Taylor,12,RC3,15
40,Katsuta  T. ,12,RC1,8
41,Velanis  V. ,12,RC2,18
42,Vassilakis  ,12,RC2,19
43,Karanikolas ,12,RC3,16
44,Dominguez  D,12,RC3,17
45,Martínez  Jo,12,RC2,20
46,Lefkaditis  ,12,RC4,1
47,Kalamaras  T,12,RC4,2
48,Dolofan  C. ,12,RC2,21
49,Çetinkaya  B,12,RC2,22
50,Parellis  D.,12,RC5,1
51,Laskowski  H,12,RC3,18
52,Amoutzas  G.,12,RC2,23
53,Brazzoli  En,12,RC2,24
54,Martinez  An,12,RC3,19
55,Cărăgui  Eug,12,RC2,25
56,Gryazin  Nik,12,RC2,26
57,Plagos  Ioan,12,RC4,3
58,Papageorgiou,12,RC4,4
1,Neuville  T.,13,RC1,1
2,Ogier  S. / ,13,RC1,2
3,Sordo  Dani ,13,RC1,3
4,Tänak  Ott /,13,RC1,4
5,Pajari  Sami,13,RC2,1
6,Virves  Robe,13,RC2,2
7,Rossel  Yoha,13,RC2,3
8,Kajetanowicz,13,RC2,4
9,Linnamäe  Ge,13,RC2,5
10,Zaldivar  F.,13,RC2,6
11,Daprà  Rober,13,RC2,7
12,McErlean  Jo,13,RC2,8
13,Solans  Jan ,13,RC2,9
14,Roustemis  P,13,RC2,10
15,Kremer  Armi,13,RC2,11
16,Maior  Norbe,13,RC3,1
17,Fontana  Mat,13,RC3,2
18,Serderidis  ,13,RC1,5
19,Blach  Rober,13,RC2,12
20,Jürgenson  R,13,RC3,3
21,Granados  Mi,13,RC2,13
22,Borodin  Pet,13,RC3,4
23,Rensonnet  T,13,RC3,5
24,Evans  Elfyn,13,RC1,6
25,Soylu  Uğur ,13,RC2,14
26,Joona  Lauri,13,RC2,15
27,Caparó  José,13,RC3,6
28,Fourmaux  Ad,13,RC1,7
29,Türkkan  Ali,13,RC3,7
30,Halkias  E. ,13,RC3,8
31,Peralta  J. ,13,RC2,16
32,Bruun  Natan,13,RC3,9
33,Chatzimarkos,13,RC3,10
34,Smart  Max /,13,RC3,11
35,Gill  Taylor,13,RC3,12
36,Stefanis  Ma,13,RC3,13
37,Pavlidis  N.,13,RC2,17
38,Katsuta  T. ,13,RC1,8
39,Theocharopou,13,RC3,14
40,Dominguez  D,13,RC3,15
41,Karanikolas ,13,RC3,16
42,Velanis  V. ,13,RC2,18
43,Vassilakis  ,13,RC2,19
44,Martínez  Jo,13,RC2,20
45,Lefkaditis  ,13,RC4,1
46,Kalamaras  T,13,RC4,2
47,Dolofan  C. ,13,RC2,21
48,Çetinkaya  B,13,RC2,22
49,Laskowski  H,13,RC3,17
50,Parellis  D.,13,RC5,1
51,Brazzoli  En,13,RC2,23
52,Martinez  An,13,RC3,18
53,Gryazin  Nik,13,RC2,24
54,Cărăgui  Eug,13,RC2,25
55,Plagos  Ioan,13,RC4,3
56,Papageorgiou,13,RC4,4
1,Neuville  T.,14,RC1,1
2,Ogier  S. / ,14,RC1,2
3,Sordo  Dani ,14,RC1,3
4,Tänak  Ott /,14,RC1,4
5,Pajari  Sami,14,RC2,1
6,Virves  Robe,14,RC2,2
7,Rossel  Yoha,14,RC2,3
8,Kajetanowicz,14,RC2,4
9,Zaldivar  F.,14,RC2,5
10,Linnamäe  Ge,14,RC2,6
11,McErlean  Jo,14,RC2,7
12,Daprà  Rober,14,RC2,8
13,Solans  Jan ,14,RC2,9
14,Roustemis  P,14,RC2,10
15,Kremer  Armi,14,RC2,11
16,Fontana  Mat,14,RC3,1
17,Maior  Norbe,14,RC3,2
18,Serderidis  ,14,RC1,5
19,Jürgenson  R,14,RC3,3
20,Evans  Elfyn,14,RC1,6
21,Granados  Mi,14,RC2,12
22,Rensonnet  T,14,RC3,4
23,Fourmaux  Ad,14,RC1,7
24,Caparó  José,14,RC3,5
25,Joona  Lauri,14,RC2,13
26,Soylu  Uğur ,14,RC2,14
27,Türkkan  Ali,14,RC3,6
28,Halkias  E. ,14,RC3,7
29,Bruun  Natan,14,RC3,8
30,Peralta  J. ,14,RC2,15
31,Chatzimarkos,14,RC3,9
32,Smart  Max /,14,RC3,10
33,Katsuta  T. ,14,RC1,8
34,Gill  Taylor,14,RC3,11
35,Stefanis  Ma,14,RC3,12
36,Pavlidis  N.,14,RC2,16
37,Theocharopou,14,RC3,13
38,Dominguez  D,14,RC3,14
39,Karanikolas ,14,RC3,15
40,Velanis  V. ,14,RC2,17
41,Vassilakis  ,14,RC2,18
42,Martínez  Jo,14,RC2,19
43,Lefkaditis  ,14,RC4,1
44,Kalamaras  T,14,RC4,2
45,Dolofan  C. ,14,RC2,20
46,Çetinkaya  B,14,RC2,21
47,Laskowski  H,14,RC3,16
48,Parellis  D.,14,RC5,1
49,Brazzoli  En,14,RC2,22
50,Martinez  An,14,RC3,17
51,Gryazin  Nik,14,RC2,23
52,Cărăgui  Eug,14,RC2,24
53,Plagos  Ioan,14,RC4,3
54,Papageorgiou,14,RC4,4
1,Neuville  T.,15,RC1,1
2,Sordo  Dani ,15,RC1,2
3,Tänak  Ott /,15,RC1,3
4,Pajari  Sami,15,RC2,1
5,Virves  Robe,15,RC2,2
6,Rossel  Yoha,15,RC2,3
7,Kajetanowicz,15,RC2,4
8,Zaldivar  F.,15,RC2,5
9,McErlean  Jo,15,RC2,6
10,Daprà  Rober,15,RC2,7
11,Solans  Jan ,15,RC2,8
12,Roustemis  P,15,RC2,9
13,Kremer  Armi,15,RC2,10
14,Serderidis  ,15,RC1,4
15,Fontana  Mat,15,RC3,1
16,Ogier  S. / ,15,RC1,5
17,Maior  Norbe,15,RC3,2
18,Evans  Elfyn,15,RC1,6
19,Jürgenson  R,15,RC3,3
20,Granados  Mi,15,RC2,11
21,Fourmaux  Ad,15,RC1,7
22,Rensonnet  T,15,RC3,4
23,Caparó  José,15,RC3,5
24,Soylu  Uğur ,15,RC2,12
25,Türkkan  Ali,15,RC3,6
26,Joona  Lauri,15,RC2,13
27,Bruun  Natan,15,RC3,7
28,Halkias  E. ,15,RC3,8
29,Peralta  J. ,15,RC2,14
30,Katsuta  T. ,15,RC1,8
31,Smart  Max /,15,RC3,9
32,Chatzimarkos,15,RC3,10
33,Pavlidis  N.,15,RC2,15
34,Gill  Taylor,15,RC3,11
35,Stefanis  Ma,15,RC3,12
36,Theocharopou,15,RC3,13
37,Karanikolas ,15,RC3,14
38,Dominguez  D,15,RC3,15
39,Vassilakis  ,15,RC2,16
40,Lefkaditis  ,15,RC4,1
41,Kalamaras  T,15,RC4,2
42,Dolofan  C. ,15,RC2,17
43,Çetinkaya  B,15,RC2,18
44,Linnamäe  Ge,15,RC2,19
45,Laskowski  H,15,RC3,16
46,Brazzoli  En,15,RC2,20
47,Martinez  An,15,RC3,17
48,Gryazin  Nik,15,RC2,21
49,Parellis  D.,15,RC5,1
50,Cărăgui  Eug,15,RC2,22
51,Plagos  Ioan,15,RC4,3
52,Papageorgiou,15,RC4,4
