,,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time
ss,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Crew,Group,,,,,,,,,,,,,,,
Kajetanowicz,RC2,00:17:12.7,00:34:33.0,00:52:41.0,01:09:37.3,01:26:46.4,01:44:25.9,02:03:32.3,02:19:07.4,02:38:05.5,02:47:31.9,03:06:14.9,03:08:03.4,03:22:53.0,03:35:43.7,03:47:58.2
Kalamaras  T,RC4,00:17:39.1,00:38:33.7,01:00:22.8,01:22:03.3,01:42:45.5,02:05:42.6,02:30:30.5,02:49:58.3,03:13:52.6,03:25:34.7,03:49:37.4,03:51:57.0,04:10:23.3,04:24:52.8,04:40:39.1
Karanikolas ,RC3,00:17:39.1,00:36:16.0,00:55:23.7,01:14:03.6,01:32:26.1,01:52:04.8,02:12:52.4,02:29:28.0,02:49:43.5,02:59:57.1,03:31:46.2,03:43:47.5,03:59:37.1,04:13:26.3,04:26:29.0
Katsuta  T. ,RC1,00:16:35.9,00:33:21.2,01:00:27.5,01:26:38.5,01:53:05.7,02:20:02.6,02:38:35.7,02:53:49.0,03:12:24.5,03:22:17.2,03:40:17.1,03:42:04.3,03:56:33.8,04:08:16.7,04:19:26.4
Kehagias  G.,RC2,00:17:39.1,00:39:23.5,00:58:45.5,01:18:59.1,01:37:48.9,01:56:46.1,02:17:10.1,02:33:35.7,02:54:02.2,03:04:10.8,03:32:35.3,,,,
Kremer  Armi,RC2,00:17:39.1,00:36:03.2,00:54:51.8,01:12:39.1,01:30:22.5,01:48:42.5,02:09:11.4,02:25:51.3,02:45:56.9,02:55:53.1,03:16:16.9,03:18:11.9,03:33:35.8,03:47:20.0,03:59:54.7
Laskowski  H,RC3,00:17:39.1,00:36:34.4,00:55:48.4,01:14:19.8,01:32:46.5,01:51:45.9,02:11:53.9,02:38:01.7,03:08:14.1,03:28:03.7,03:58:02.1,04:09:58.3,04:25:09.3,04:40:58.6,04:53:31.8
Lefkaditis  ,RC4,00:17:39.1,00:38:10.6,00:58:55.5,01:19:10.5,01:38:58.1,02:01:38.7,02:24:37.4,02:52:14.4,03:14:42.3,03:25:59.6,03:49:24.1,03:51:31.6,04:09:09.1,04:23:38.6,04:38:32.9
Linnamäe  Ge,RC2,00:17:15.6,00:34:40.0,00:55:19.5,01:12:08.5,01:29:06.6,01:46:42.3,02:05:27.7,02:20:56.8,02:39:54.8,02:49:16.0,03:07:48.6,03:09:39.2,03:24:24.9,03:37:55.8,04:51:52.8
Loubet  P. /,RC2,00:26:54.4,00:54:03.3,01:21:38.2,,,,,,,,,,,,
Maior  Norbe,RC3,00:17:39.1,00:35:41.8,00:54:30.6,01:12:46.9,01:30:48.9,01:49:23.0,02:09:32.1,02:25:59.2,02:45:55.4,02:56:00.1,03:16:46.4,03:18:43.8,03:34:34.6,03:48:23.8,04:02:05.7
Martinez  An,RC3,00:17:39.1,00:39:30.2,01:00:16.0,01:19:31.3,01:38:39.2,01:59:16.6,02:20:22.5,02:46:30.3,03:16:42.7,03:36:32.3,04:06:30.7,04:18:26.9,04:34:34.7,04:50:09.0,05:08:16.0
Martínez  Jo,RC2,00:17:39.1,00:37:19.6,00:57:47.3,01:17:25.1,01:37:01.9,02:01:15.6,02:23:45.5,02:41:43.1,03:03:53.9,03:14:47.9,03:37:58.6,03:49:52.6,04:06:21.5,04:20:51.0,
McErlean  Jo,RC2,00:17:23.0,00:34:47.7,00:52:50.5,01:09:53.0,01:26:56.9,01:44:48.1,02:03:48.5,02:19:25.3,02:38:54.3,02:48:29.0,03:09:23.3,03:11:13.7,03:26:03.1,03:38:38.0,03:50:31.4
Munster  G. ,RC1,00:16:54.8,00:34:06.6,00:52:01.6,01:08:25.2,01:24:58.6,01:44:25.3,02:02:40.1,02:17:48.6,02:46:02.7,03:05:09.7,03:33:58.7,,,,
Neuville  T.,RC1,00:16:43.5,00:33:45.5,00:51:04.4,01:07:28.6,01:24:05.2,01:41:02.1,01:58:53.4,02:13:57.8,02:32:16.6,02:41:26.2,02:59:20.7,03:01:05.3,03:15:11.2,03:27:03.0,03:38:04.2
Ogier  S. / ,RC1,00:16:33.2,00:33:22.4,00:50:28.7,01:06:39.7,01:23:23.6,01:42:43.3,02:00:34.8,02:15:28.7,02:33:42.8,02:42:52.2,03:00:41.2,03:02:26.2,03:16:26.8,03:28:05.4,04:01:48.7
Pajari  Sami,RC2,00:17:02.0,00:34:19.2,00:52:02.5,01:08:57.5,01:25:59.7,01:43:29.3,02:02:12.1,02:17:45.8,02:36:30.6,02:45:51.5,03:04:21.4,03:06:11.4,03:20:45.6,03:33:10.0,03:45:05.3
Panteli  Pet,RC3,00:17:39.1,00:36:20.0,00:55:37.1,01:14:29.4,01:33:12.7,02:19:44.2,02:41:38.0,03:01:39.0,03:31:54.3,03:51:56.5,04:22:20.2,,,,
Papageorgiou,RC4,00:17:39.1,00:43:05.8,01:07:31.0,01:31:55.0,01:55:46.7,02:26:13.7,02:53:23.3,03:22:51.1,03:55:19.0,04:16:36.3,04:50:00.8,05:02:08.3,05:23:08.9,05:37:38.4,05:55:27.8
Parellis  D.,RC5,00:17:39.1,00:40:10.0,01:02:28.7,01:26:02.8,01:48:56.7,02:12:42.9,02:37:09.7,02:57:09.0,03:22:34.9,03:35:19.5,04:05:46.0,04:08:13.5,04:27:59.6,04:42:29.1,05:10:27.5
