Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Kassidopoulos ,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,13,834.1
Papadimitriou ,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,14,838.75
Roustemis A.  ,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,15,842.76
Coughtrie Tom ,3 D,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,16,843.67
Koutsikos P.  ,3 D,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,17,845.25
Georgakopoulos,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,18,847.25
Mayr Siegfried,3 D,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,19,851.5
Amaxopoulos D.,2 C,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,20,856.53
Nioras Grigori,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,21,863.21
Vassilopoulos ,2 C,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,22,863.79
Vassilakis Geo,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,23,864.21
Nomikos Mihali,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,24,870.32
Kalaitzian I. ,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,25,882.53
Dodos Giorgos ,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,26,904.56
Kovařík Oldřic,1 A,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,27,908.4
Ganos Antonios,3 D,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,28,929.94
Papandreou A. ,3 D,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,29,933.71
Antonopoulos P,3 D,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,30,946.16
Kansos P.  - G,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,31,969.03
Christou Dimit,2 C,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,32,976.61
Tzilavis Savva,2 C,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,33,996.91
Vitogiannis G.,NAT,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,34,1017.56
Kalamaras Teo ,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,35,1048.04
Christodoulou ,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,36,
Sassos  - Mata,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,37,1334.93
Kofinas Konsta,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,38,1334.93
Paradissis P. ,3 D,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,39,
Vazakas Dimitr,3 D,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,40,
Athanasoulas A,3 D,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,41,1358.51
Paravalos Ioan,4 E,2,Historic Acropolis,3-5/11/2023,Gravel,Historic,42,3219.31
McCormack Mart,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,1,387.18
Pierangioli V.,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,2,391.07
Halivelakis A.,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,3,433.4
Graham Ernie  ,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,4,433.64
Roustemis A.  ,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,5,437.61
Kovařík Oldřic,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,6,440.5
Melas D.  - Va,2 C,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,7,442.66
Delaportas Gio,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,8,447.39
Coughtrie Tom ,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,9,447.71
Guignard Eric ,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,10,450.47
Paradissis Gio,NAT,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,11,455.47
Papadimitriou ,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,12,464.7
Pasutti Paolo ,2 C,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,13,466.43
Georgakopoulos,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,14,466.74
Argiriou Kosta,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,15,467.2
Amaxopoulos D.,2 C,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,16,470.15999999999997
Mayr Siegfried,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,17,470.4
Nioras Grigori,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,18,472.86
Nomikos Mihali,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,19,481.34
Stafilopatis M,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,20,484.04
Kassidopoulos ,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,21,490.47
Dodos Giorgos ,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,22,495.53
Vassilakis Geo,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,23,500.2
Kovařík Oldřic,1 A,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,24,505.47
Vassilopoulos ,2 C,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,25,508.69
Ganos Antonios,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,26,512.8
Kalaitzian I. ,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,27,513.07
Antonopoulos P,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,28,527.05
Papandreou A. ,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,29,538.48
Vitogiannis G.,NAT,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,30,570.45
Christou Dimit,2 C,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,31,571.49
Tzilavis Savva,2 C,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,32,597.62
Kansos P.  - G,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,33,599.39
Paravalos Ioan,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,34,614.77
Kalamaras Teo ,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,35,700.64
Paradissis P. ,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,36,
Vazakas Dimitr,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,37,
Athanasoulas A,3 D,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,38,
Christodoulou ,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,39,
Sassos  - Mata,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,40,991.07
Kofinas Konsta,4 E,3,Historic Acropolis,3-5/11/2023,Gravel,Historic,41,991.07
McCormack Mart,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,1,347.61
Pierangioli V.,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,2,373.99
Halivelakis A.,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,3,395.68
Kovařík Oldřic,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,4,395.81
Graham Ernie  ,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,5,396.12
Paradissis Gio,NAT,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,6,400.45
Guignard Eric ,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,7,411.12
Amaxopoulos D.,2 C,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,8,412.85
Mayr Siegfried,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,9,414.22
Delaportas Gio,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,10,415.58
Stafilopatis M,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,11,416.49
Melas D.  - Va,2 C,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,12,419.05
Coughtrie Tom ,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,13,421.24
Roustemis A.  ,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,14,422.17
Argiriou Kosta,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,15,431.1
Pasutti Paolo ,2 C,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,16,431.57
Papadimitriou ,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,17,435.23
Georgakopoulos,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,18,435.4
Nioras Grigori,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,19,443.01
Vassilopoulos ,2 C,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,20,452.67
Vassilakis Geo,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,21,473.47
Kassidopoulos ,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,22,475.3
Dodos Giorgos ,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,23,476.9
Ganos Antonios,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,24,478.28
Nomikos Mihali,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,25,503.69
Kovařík Oldřic,1 A,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,26,525.44
Christou Dimit,2 C,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,27,561.66
Vitogiannis G.,NAT,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,28,591.52
Kansos P.  - G,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,29,594.77
Tzilavis Savva,2 C,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,30,617.92
Paradissis P. ,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,31,
Vazakas Dimitr,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,32,
Athanasoulas A,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,33,
Papandreou A. ,3 D,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,34,947.61
Christodoulou ,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,35,
Sassos  - Mata,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,36,973.99
Kofinas Konsta,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,37,
Kalaitzian I. ,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,38,
Kalamaras Teo ,4 E,4,Historic Acropolis,3-5/11/2023,Gravel,Historic,39,988.47
McCormack Mart,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,1,958.02
Vazakas Dimitr,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,2,1025.87
Athanasoulas A,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,3,1038.34
Paradissis P. ,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,4,1049.29
Papadimitriou ,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,5,1054.64
Mayr Siegfried,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,6,1054.98
Coughtrie Tom ,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,7,1060.25
Georgakopoulos,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,8,1060.54
Paradissis Gio,NAT,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,9,1060.78
Guignard Eric ,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,10,1063.11
Pierangioli V.,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,11,1063.88
Christodoulou ,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,12,1066.43
Graham Ernie  ,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,13,1066.6
Argiriou Kosta,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,14,1068.5
Amaxopoulos D.,2 C,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,15,1075.87
Kovařík Oldřic,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,16,1080.41
Nioras Grigori,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,17,1081.42
Stafilopatis M,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,18,1081.58
Kassidopoulos ,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,19,1085.57
Vassilopoulos ,2 C,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,20,1092.44
Pasutti Paolo ,2 C,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,21,1095.55
Kofinas Konsta,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,22,1103.03
Sassos  - Mata,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,23,1119.52
Nomikos Mihali,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,24,1126.47
Dodos Giorgos ,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,25,1129.9
Kalamaras Teo ,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,26,1132.37
Delaportas Gio,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,27,1138.66
Papandreou A. ,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,28,1139.13
Kovařík Oldřic,1 A,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,29,1142.75
Ganos Antonios,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,30,1153.55
Vassilakis Geo,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,31,1159.01
Roustemis A.  ,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,32,1180.65
Christou Dimit,2 C,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,33,1196.11
Melas D.  - Va,2 C,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,34,1208.87
Kalaitzian I. ,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,35,1252.62
Vitogiannis G.,NAT,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,36,1255.84
Tzilavis Savva,2 C,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,37,1265.41
Kansos P.  - G,4 E,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,38,1287.61
Halivelakis A.,3 D,5,Historic Acropolis,3-5/11/2023,Gravel,Historic,39,1558.02
McCormack Mart,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,1,531.68
Pierangioli V.,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,2,557.15
Paradissis P. ,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,3,575.83
Graham Ernie  ,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,4,589.67
Kovařík Oldřic,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,5,593.63
Stafilopatis M,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,6,595.28
Christodoulou ,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,7,607.44
Coughtrie Tom ,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,8,617.09
Delaportas Gio,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,9,617.36
Argiriou Kosta,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,10,617.73
Guignard Eric ,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,11,619.75
Papadimitriou ,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,12,621.47
Athanasoulas A,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,13,622.95
Vazakas Dimitr,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,14,626.05
Pasutti Paolo ,2 C,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,15,627.92
Roustemis A.  ,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,16,629.19
Melas D.  - Va,2 C,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,17,638.44
Amaxopoulos D.,2 C,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,18,638.67
