,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#34,Ganos Antonios  - Konstas Petros Mercedes-Benz 500 SL,3 D2,10:03.31,15:29.94,8:32.80,7:58.28,19:13.55,11:51.83,7:13.64,18:10.51,11:09.45,15:47.61,8:58.83,13:15.32,15:42.32,6:46.75
#35,Athanasoulas A.  - Basioukas V. Toyota Starlet 1300 KP61,3 D1,8:35.88,22:38.51,-,-,17:18.34,10:22.95,6:22.60,16:23.71,10:17.06,14:17.02,-,-,-,-
#35,Athanasoulas A.  - Basioukas V. Toyota Starlet 1300 KP61  [SR],3 D1,-,-,16:27.18 [N],15:47.61 [N],-,-,-,-,-,-,-,-,-,-
#36,Kalamaras Teo  - Labrakis Dimitris Toyota Starlet 1300 KP61,4 E2,9:23.76,17:28.04,11:40.64,16:28.47,18:52.37,11:34.84,6:53.70,18:10.05,11:25.29,15:33.60,8:41.69,12:59.19,14:44.42,5:57.97
#37,Paravalos Ioannis  - Kolotouros D. Toyota Corolla AE92,4 E2,8:58.60,53:39.31,10:14.77,-,-,-,-,-,-,-,-,-,-,-
#38,Kofinas Konstantinos  - Kofinas A. Toyota Corolla 1600 GT 2 Door AE86,4 E2,9:08.39,22:14.93,16:31.07,16:13.99 [N],18:23.03,11:14.54,7:22.40,18:05.33,11:33.42,15:31.50,8:12.33,12:45.76,14:30.28,5:53.13
#39,Kalaitzian I.  - Mitsopoulou M. Fiat Ritmo Abarth 125 TC,4 E2,9:01.10,14:42.53,8:33.07,-,20:52.62,11:53.31,7:43.83,18:41.73,14:05.40,16:11.52,8:23.69,13:24.79,14:30.93,6:05.00
#39,Kalaitzian I.  - Mitsopoulou M. Fiat Ritmo Abarth 125 TC  [SR],4 E2,-,-,-,16:13.99 [N],-,-,-,-,-,-,-,-,-,-
#4,Graham Ernie  - Graham Karen Ford Escort RS 1800 MKII,4 E3,8:11.76,13:06.29,7:13.64,6:36.12,17:46.60,9:49.67,5:55.44,16:07.58,9:42.55,13:32.59,7:14.63,11:47.17,13:10.85,5:16.53
#40,Vitogiannis G.  - Vitogiannis N. BMW 2002 Ti,NAT,11:14.31,16:57.56,9:30.45,9:51.52,20:55.84,12:51.59,7:50.15,20:42.01,21:40.48,19:16.37,11:59.97,16:55.22,-,-
