,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13
#33,Hangodi Bendegúz - Bunkoczi L. Peugeot 208 Rally4,RC4,2:03.2,10:04.1,6:50.9,12:47.0,9:50.1,6:45.7,12:30.9,6:01.6,19:43.4,8:47.8,5:30.4,19:46.6,8:49.7
#34,Grillo Alessandro - Bracchi Enrico Renault Clio R3,RC4,1:57.7,10:28.4,7:16.5,13:16.7,10:24.5,7:18.1,13:20.5,6:19.1,21:58.4,9:08.3,6:04.1,21:22.5,9:37.5
#35,Ares Iván - Pintor Bouzas J. Hyundai i20 N Rally2,RC2 1,1:43.0,9:15.8,6:11.6,11:24.6,8:54.1,6:09.6,11:22.0,5:01.2,17:51.5,7:50.5,4:57.2,17:24.3,8:08.0
#36,Solans Jan - Sanjuan de Eusebio R. Hyundai i20 N Rally2,RC2 1,1:41.3,8:55.7,6:40.2,11:25.6,8:50.3,6:10.6,11:18.5,5:00.4,17:40.7,7:53.4,4:58.0,17:18.8,8:10.6
#37,Peláez José Luis - Chamorro A. Hyundai i20 N Rally2,RC2 1,1:51.2,9:36.2,6:30.2,11:57.2,9:10.3,6:21.7,11:45.6,5:19.1,18:23.0,8:08.0,5:27.3,17:56.4,8:55.8 [N]
#38,Comas Gracia M. - Romero García L. Škoda Fabia R5,RC2 1,1:52.3,9:39.5,6:45.7,12:25.9,9:41.8,6:47.1,12:29.8,6:09.3,18:57.5,8:27.6,5:29.5,19:02.1,8:34.6
#39,Pernía S. - Sánchez González A. Hyundai i20 N Rally2,RC2 1,1:41.1,9:41.2,-,-,-,-,-,-,-,-,-,-,-
#39,Pernía S. - Sánchez González A. Hyundai i20 N Rally2  [SR],RC2 1,-,-,16:06.0 [N],21:13.7 [N],18:46.4 [N],16:07.9,21:19.9 [N],-,-,-,-,-,-
#4,Kristensson Tom - Johansson Andreas Citroën C3 Rally2,RC2,1:41.7,9:29.0,6:18.9,11:32.3,8:54.4,6:15.7,11:28.6,5:03.2,17:47.0,7:51.8,5:04.5,17:33.4,7:55.9
#40,López Pacheco F. - Odriozola B. Hyundai i20 N Rally2,RC2 1,1:50.9,9:27.8,6:33.9,12:10.7,9:21.1,6:28.9,12:03.4,5:29.8,18:41.1,8:23.8,5:33.1,18:35.8,8:36.0
#41,Fuentes Matías Sergio - Bonilla A. Citroën C3 Rally2,RC2 1,1:47.6,9:16.8,6:28.5,11:59.1,9:06.3,6:22.9,11:44.7,5:10.1,18:09.8,8:06.7,5:21.0,18:03.8,8:26.5 [N]
#42,Quesada Raúl - Domínguez Pedro J. Hyundai i20 R5,RC2 1,1:56.0,9:16.3,6:21.8,11:44.6,9:05.8,6:19.1,11:44.0,5:12.9,18:07.4,8:04.7,5:07.2,17:47.2,8:22.5
#43,Fariña García G. - Rivero D. Peugeot 208 Rally4,RC4 2,1:54.3,9:37.3,6:35.6,12:11.8,9:25.9,6:31.6,12:06.5,5:24.5,18:46.7,8:19.6,5:28.7,18:41.9,8:30.0
