Pos.,No,Crew1,Gr/Cl,ss_time_m,ss_time_s,time_SS_sec,ss,Race
35,#34,Betta Armando  ,Rally4/R2,7,22.0,442,6,Dolomiti_2023
14,#24,Strabello Stefano  ,Rally4,4,31.3,271.3,7,Dolomiti_2023
17,#25,Pagnan Alex  ,Rally4,4,36.3,276.3,7,Dolomiti_2023
20,#30,Angi Simone  ,Rally4,4,37.7,277.7,7,Dolomiti_2023
21,#26,Pintarelli Matteo  ,Rally4,4,38.6,278.6,7,Dolomiti_2023
29,#28,Ferrarol Maurizio  ,Rally4,4,50.0,290,7,Dolomiti_2023
33,#27,Vardanega Roger  ,Rally4,4,54.4,294.4,7,Dolomiti_2023
22,#22,Strabello Paolo  ,Rally4 Over 55,4,39.1,279.1,7,Dolomiti_2023
15,#31,Casagrande D.  ,Rally4/R2,4,32.7,272.7,7,Dolomiti_2023
19,#32,Zanon Andrea  ,Rally4/R2,4,37.4,277.4,7,Dolomiti_2023
31,#33,Travaglini Luca  ,Rally4/R2,4,53.3,293.3,7,Dolomiti_2023
36,#34,Betta Armando  ,Rally4/R2,4,57.9,297.9,7,Dolomiti_2023
36,#74,Marchioro Nicolò  ,Rally4,7,49.0,469,1,Prealpi_2022
39,#75,Martinis Fabrizio  ,Rally4,7,51.3,471.3,1,Prealpi_2022
44,#91,Strabello Stefano  ,Rally4,7,56.4,476.4,1,Prealpi_2022
50,#76,Barisan Michele  ,Rally4,8,05.6,485.6,1,Prealpi_2022
51,#81,Ancillotti L.  ,Rally4,8,06.3,486.3,1,Prealpi_2022
52,#102,Pagnan Alex  ,Rally4,8,06.4,486.4,1,Prealpi_2022
54,#95,Gheno Tobia  ,Rally4,8,07.7,487.7,1,Prealpi_2022
55,#88,Rossetto Osvy  ,Rally4,8,08.1,488.1,1,Prealpi_2022
58,#100,Cappellati Rudi  ,Rally4,8,10.5,490.5,1,Prealpi_2022
59,#77,Spagnol Jason  ,Rally4,8,10.9,490.9,1,Prealpi_2022
67,#110,Ferrando Fabio  ,Rally4,8,23.6,503.6,1,Prealpi_2022
73,#83,De Luca Mattia  ,Rally4,8,28.1,508.1,1,Prealpi_2022
73,#84,Diserò Luca  ,Rally4,8,28.1,508.1,1,Prealpi_2022
77,#93,Lovisetto Gianmarco  ,Rally4,8,31.6,511.6,1,Prealpi_2022
78,#82,Caldart Claudio  ,Rally4,8,31.7,511.7,1,Prealpi_2022
80,#109,Sporzon Elvis  ,Rally4,8,32.0,512,1,Prealpi_2022
81,#98,Rousopoulos Christos  ,Rally4,8,32.2,512.2,1,Prealpi_2022
86,#104,Puppato Alberto  ,Rally4,8,37.8,517.8,1,Prealpi_2022
87,#107,Gozzoli Stefano  ,Rally4,8,38.0,518,1,Prealpi_2022
88,#101,Callegaro Riccardo  ,Rally4,8,39.0,519,1,Prealpi_2022
92,#97,De Faveri Joseph  ,Rally4,8,44.4,524.4,1,Prealpi_2022
93,#111,Gherardi Christian  ,Rally4,8,45.2,525.2,1,Prealpi_2022
100,#105,Merazzi Andrea  ,Rally4,8,53.2,533.2,1,Prealpi_2022
101,#96,Carlet Ermes  ,Rally4,8,53.7,533.7,1,Prealpi_2022
104,#112,D'Alicandro M.  ,Rally4,8,55.9,535.9,1,Prealpi_2022
106,#99,Foffano Cristian  ,Rally4,9,01.1,541.1,1,Prealpi_2022
110,#87,Cianfriglia Diego  ,Rally4,9,07.5,547.5,1,Prealpi_2022
115,#108,Pignani Elia  ,Rally4,9,20.6,560.6,1,Prealpi_2022
117,#106,Gava Antonucci F.  ,Rally4,9,35.3,575.3,1,Prealpi_2022
120,#103,Vigna Claudio  ,Rally4,9,41.4,581.4,1,Prealpi_2022
122,#79,Stella Manuele  ,Rally4,10,07.3,607.3,1,Prealpi_2022
46,#80,Pesavento Davide  ,Rally4 Under 25,7,58.9,478.9,1,Prealpi_2022
56,#92,Pintarelli Matteo  ,Rally4 Under 25,8,09.2,489.2,1,Prealpi_2022
61,#78,Pierulivo Leonardo  ,Rally4 Under 25,8,12.1,492.1,1,Prealpi_2022
98,#86,Ramponi Paolo  ,Rally4 Under 25,8,50.2,530.2,1,Prealpi_2022
42,#74,Marchioro Nicolò  ,Rally4,7,43.7,463.7,2,Prealpi_2022
45,#81,Ancillotti L.  ,Rally4,7,47.9,467.9,2,Prealpi_2022
47,#75,Martinis Fabrizio  ,Rally4,7,50.1,470.1,2,Prealpi_2022
48,#91,Strabello Stefano  ,Rally4,7,50.5,470.5,2,Prealpi_2022
49,#76,Barisan Michele  ,Rally4,7,51.0,471,2,Prealpi_2022
50,#88,Rossetto Osvy  ,Rally4,7,52.1,472.1,2,Prealpi_2022
54,#95,Gheno Tobia  ,Rally4,7,54.6,474.6,2,Prealpi_2022
56,#100,Cappellati Rudi  ,Rally4,7,55.7,475.7,2,Prealpi_2022
57,#102,Pagnan Alex  ,Rally4,7,57.9,477.9,2,Prealpi_2022
59,#79,Stella Manuele  ,Rally4,7,58.8,478.8,2,Prealpi_2022
61,#98,Rousopoulos Christos  ,Rally4,8,02.3,482.3,2,Prealpi_2022
62,#77,Spagnol Jason  ,Rally4,8,03.1,483.1,2,Prealpi_2022
64,#104,Puppato Alberto  ,Rally4,8,03.5,483.5,2,Prealpi_2022
66,#83,De Luca Mattia  ,Rally4,8,05.1,485.1,2,Prealpi_2022
72,#82,Caldart Claudio  ,Rally4,8,09.6,489.6,2,Prealpi_2022
75,#84,Diserò Luca  ,Rally4,8,11.0,491,2,Prealpi_2022
76,#109,Sporzon Elvis  ,Rally4,8,11.9,491.9,2,Prealpi_2022
78,#107,Gozzoli Stefano  ,Rally4,8,12.0,492,2,Prealpi_2022
79,#110,Ferrando Fabio  ,Rally4,8,13.8,493.8,2,Prealpi_2022
84,#97,De Faveri Joseph  ,Rally4,8,22.3,502.3,2,Prealpi_2022
85,#96,Carlet Ermes  ,Rally4,8,23.7,503.7,2,Prealpi_2022
87,#112,D'Alicandro M.  ,Rally4,8,26.3,506.3,2,Prealpi_2022
90,#111,Gherardi Christian  ,Rally4,8,27.9,507.9,2,Prealpi_2022
96,#101,Callegaro Riccardo  ,Rally4,8,32.9,512.9,2,Prealpi_2022
99,#99,Foffano Cristian  ,Rally4,8,37.0,517,2,Prealpi_2022
100,#105,Merazzi Andrea  ,Rally4,8,37.1,517.1,2,Prealpi_2022
104,#87,Cianfriglia Diego  ,Rally4,8,42.4,522.4,2,Prealpi_2022
108,#108,Pignani Elia  ,Rally4,8,49.8,529.8,2,Prealpi_2022
110,#103,Vigna Claudio  ,Rally4,8,54.6,534.6,2,Prealpi_2022
111,#106,Gava Antonucci F.  ,Rally4,9,01.4,541.4,2,Prealpi_2022
60,#92,Pintarelli Matteo  ,Rally4 Under 25,8,01.9,481.9,2,Prealpi_2022
72,#86,Ramponi Paolo  ,Rally4 Under 25,8,09.6,489.6,2,Prealpi_2022
40,#75,Martinis Fabrizio  ,Rally4,7,36.1,456.1,3,Prealpi_2022
41,#74,Marchioro Nicolò  ,Rally4,7,36.3,456.3,3,Prealpi_2022
45,#81,Ancillotti L.  ,Rally4,7,45.4,465.4,3,Prealpi_2022
46,#79,Stella Manuele  ,Rally4,7,46.1,466.1,3,Prealpi_2022
48,#91,Strabello Stefano  ,Rally4,7,47.5,467.5,3,Prealpi_2022
49,#102,Pagnan Alex  ,Rally4,7,48.5,468.5,3,Prealpi_2022
50,#95,Gheno Tobia  ,Rally4,7,49.1,469.1,3,Prealpi_2022
53,#77,Spagnol Jason  ,Rally4,7,53.4,473.4,3,Prealpi_2022
54,#84,Diserò Luca  ,Rally4,7,55.5,475.5,3,Prealpi_2022
54,#100,Cappellati Rudi  ,Rally4,7,55.5,475.5,3,Prealpi_2022
56,#83,De Luca Mattia  ,Rally4,7,55.9,475.9,3,Prealpi_2022
61,#104,Puppato Alberto  ,Rally4,7,58.4,478.4,3,Prealpi_2022
65,#82,Caldart Claudio  ,Rally4,8,04.7,484.7,3,Prealpi_2022
73,#110,Ferrando Fabio  ,Rally4,8,13.5,493.5,3,Prealpi_2022
75,#98,Rousopoulos Christos  ,Rally4,8,14.4,494.4,3,Prealpi_2022
77,#109,Sporzon Elvis  ,Rally4,8,19.2,499.2,3,Prealpi_2022
78,#111,Gherardi Christian  ,Rally4,8,19.3,499.3,3,Prealpi_2022
80,#97,De Faveri Joseph  ,Rally4,8,20.0,500,3,Prealpi_2022
83,#112,D'Alicandro M.  ,Rally4,8,23.9,503.9,3,Prealpi_2022
87,#87,Cianfriglia Diego  ,Rally4,8,27.4,507.4,3,Prealpi_2022
88,#96,Carlet Ermes  ,Rally4,8,27.7,507.7,3,Prealpi_2022
88,#105,Merazzi Andrea  ,Rally4,8,27.7,507.7,3,Prealpi_2022
90,#99,Foffano Cristian  ,Rally4,8,28.2,508.2,3,Prealpi_2022
95,#108,Pignani Elia  ,Rally4,8,39.0,519,3,Prealpi_2022
96,#107,Gozzoli Stefano  ,Rally4,8,40.1,520.1,3,Prealpi_2022
99,#106,Gava Antonucci F.  ,Rally4,8,43.1,523.1,3,Prealpi_2022
108,#103,Vigna Claudio  ,Rally4,9,23.6,563.6,3,Prealpi_2022
110,#76,Barisan Michele  ,Rally4,10,43.7,643.7,3,Prealpi_2022
64,#86,Ramponi Paolo  ,Rally4 Under 25,8,04.5,484.5,3,Prealpi_2022
33,#74,Marchioro Nicolò  ,Rally4,7,43.8,463.8,4,Prealpi_2022
35,#75,Martinis Fabrizio  ,Rally4,7,46.9,466.9,4,Prealpi_2022
39,#79,Stella Manuele  ,Rally4,7,53.0,473,4,Prealpi_2022
43,#76,Barisan Michele  ,Rally4,7,55.7,475.7,4,Prealpi_2022
44,#81,Ancillotti L.  ,Rally4,7,55.9,475.9,4,Prealpi_2022
45,#91,Strabello Stefano  ,Rally4,7,56.0,476,4,Prealpi_2022
48,#102,Pagnan Alex  ,Rally4,8,02.9,482.9,4,Prealpi_2022
50,#77,Spagnol Jason  ,Rally4,8,06.5,486.5,4,Prealpi_2022
51,#84,Diserò Luca  ,Rally4,8,07.9,487.9,4,Prealpi_2022
55,#98,Rousopoulos Christos  ,Rally4,8,18.0,498,4,Prealpi_2022
56,#95,Gheno Tobia  ,Rally4,8,19.5,499.5,4,Prealpi_2022
59,#100,Cappellati Rudi  ,Rally4,8,22.6,502.6,4,Prealpi_2022
60,#83,De Luca Mattia  ,Rally4,8,23.5,503.5,4,Prealpi_2022
60,#110,Ferrando Fabio  ,Rally4,8,23.5,503.5,4,Prealpi_2022
62,#109,Sporzon Elvis  ,Rally4,8,25.3,505.3,4,Prealpi_2022
63,#82,Caldart Claudio  ,Rally4,8,27.4,507.4,4,Prealpi_2022
70,#96,Carlet Ermes  ,Rally4,8,36.7,516.7,4,Prealpi_2022
79,#111,Gherardi Christian  ,Rally4,8,48.0,528,4,Prealpi_2022
82,#97,De Faveri Joseph  ,Rally4,8,54.4,534.4,4,Prealpi_2022
83,#99,Foffano Cristian  ,Rally4,8,55.3,535.3,4,Prealpi_2022
86,#87,Cianfriglia Diego  ,Rally4,9,00.8,540.8,4,Prealpi_2022
90,#105,Merazzi Andrea  ,Rally4,9,10.1,550.1,4,Prealpi_2022
91,#108,Pignani Elia  ,Rally4,9,13.4,553.4,4,Prealpi_2022
95,#106,Gava Antonucci F.  ,Rally4,9,20.9,560.9,4,Prealpi_2022
54,#86,Ramponi Paolo  ,Rally4 Under 25,8,17.7,497.7,4,Prealpi_2022
