,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
#32,Kruse Mike  - Mesterheide André Seat Ibiza,N3,-,-,-,-,-,-,6:28.5
#33,Seifert Dirk  - Sassenberg Erwin Seat Ibiza TDI,N4,-,-,-,-,-,-,6:07.1
#35,Habekost Heiner  - Schulze Heiner Opel Corsa A,F10,-,-,-,-,-,-,6:00.2
#36,Schultz Heiko  - Readwin Tim Mini,F10,-,-,-,-,-,-,10:16.6
#37,Mehlhorn K.  - Hartwig-Mehlhorn C. Audi 50,F10,-,-,-,-,-,-,5:55.2
#39,Greim Andreas  - Steffen Peter Opel Kadett GSI,F12,-,-,-,-,-,-,6:31.8
#4,Preußker Ralf  - Steffens Uwe Opel Corsa A GSi,F11,-,-,-,-,-,-,5:38.3
#40,Wendrich Ralf  - Lange Anja BMW 318 iS,G7,-,-,-,-,-,-,5:59.7
#41,Honsbrock Cord  - Schlemermeyer M. Audi 90,G7,-,-,-,-,-,-,5:57.1
#42,Pingel Stefan  - Möck Christian BMW 318 iS,G7,-,-,-,-,-,-,5:50.3
#43,Bergmann Erich  - Jabs Heinz BMW 318 iS,G7,-,-,-,-,-,-,6:03.6
#44,Schröder Ralf  - Schmidt Andreas Opel Astra GSi 16V,G7,-,-,-,-,-,-,5:57.3
#45,Münster Holger  - Kühne Maike BMW 318 iS,G7,-,-,-,-,-,-,5:52.9
#46,Reichmann Jürgen  - Reichmann H. Renault Clio 16V,G7,-,-,-,-,-,-,6:07.6
#47,Sander Thomas  - Kanitz Christian BMW 318 iS,G7,-,-,-,-,-,-,6:31.2
#50,Schütt Axel  - Willmann Markus Volkswagen Golf,G7,-,-,-,-,-,-,5:55.6
#51,Harms Uwe  - Schröder Frank BMW 318i,G8,-,-,-,-,-,-,6:19.3
#52,Mehrtens Fredi  - Scheffs Danny Volkswagen Golf III GTi,G8,-,-,-,-,-,-,6:09.6
#53,Swigoniak André  - Swigoniak P. Seat Ibiza Cupra Mk2,N3,-,-,-,-,-,-,6:03.5
#54,Borowski Harald  - Borowski M. Volkswagen Golf II GTi 16V,G7,-,-,-,-,-,-,6:19.9
#7,Path Michael  - Groth Thomas Volkswagen Golf II GTi 16V,F12,-,-,-,-,-,-,5:42.7
#8,Maiwald Hartmut  - Hagen Christine Opel Kadett GSI 16V,F12,-,-,-,-,-,-,5:55.2
#9,Weber Lothar  - Weber Bernd Honda CR-X,F11,-,-,-,-,-,-,5:53.0
