No,Time,SS
1,09:40.53,2
6,09:41.85,2
2,09:55.82,2
18,09:58.72,2
21,10:02.68,2
4,10:05.59,2
11,10:12.05,2
19,10:12.98,2
12,10:19.96,2
7,10:20.36,2
20,10:20.62,2
25,10:21.92,2
8,10:25.56,2
31,10:25.71,2
9,10:35.68,2
10,10:37.61,2
30,10:38.06,2
29,10:39.30,2
32,10:51.03,2
15,10:54.58,2
24,10:57.62,2
23,11:20.16,2
17,11:33.58,2
33,10:07.49,2
38,10:29.83,2
34,10:44.00,2
35,10:51.21,2
37,11:00.80,2
39,11:14.88,2
41,11:47.42,2
42,12:33.43,2
36,13:24.71,2
