A/A,No,ΟΔΗΓΟΣ,ΣΥΝΟΔΗΓΟΣ,ΟΧΗΜΑ,ΚΑΤ./ ΚΛΑΣΗ,1,2
28,29,ΚΟΥΝΙΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΒΑΡΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,PEUGEOT 106 S16,"C6 N2, F2",10:45.52,10:39.30
29,30,ΡΕΚΚΑΣ ΠΑΝΑΓΓΕΛΟΣ,ΡΕΚΚΑΣ ΒΙΚΤΩΡΑΣ,PEUGEOT 106 S16,"C6 N2, F2",10:59.46,10:38.06
30,31,ΤΥΡΟΣ ΝΙΚΟΛΑΟΣ,ΠΟΛΥΧΡΟΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,PEUGEOT 106 S16,"C6 N2, F2",10:31.37,10:25.71
31,32,ΜΑΥΡΟΜΑΤΗΣ ΜΑΡΙΝΟΣ,ΜΑΡΙΝΗΣ ΑΝΑΣΤΑΣΙΟΣ,PEUGEOT 106 S16,"C6 N2, F2",10:43.47,10:51.03
32,33,ΣΤΑΦΥΛΟΠΑΤΗΣ ΜΑΡΙΟΣ,ΧΑΤΖΗΡΗΓΑΣ ΓΕΩΡΓΙΟΣ,BMW M3,4/E4,11:00.00,10:07.49
33,34,ΑΜΑΞΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ,ΜΩΡΑΙΤΗ ΧΑΡΙΚΛΕΙΑ,TOYOTA COROLLA KE 30,2/C2,11:00.00,10:44.00
34,35,ΓΕΡΟΒΑΣΙΛΗΣ ΑΛΕΞΑΝΔΡΟΣ,ΒΕΡΙΚΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,FIAT 131,4/E6,11:00.00,10:51.21
35,36,ΚΟΦΙΝΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΚΟΦΙΝΑΣ ΑΝΔΡΕΑΣ,ALFA ROMEO ALFETA GTV,4/E6,11:00.00,13:24.71
36,37,"""GEO""",ΤΡΙΠΙΝΤΗΣ ΔΗΜΗΤΡΙΟΣ,PEUGEOT 205,4/E1,11:00.00,11:00.80
37,38,ΚΑΤΣΙΚΑΣ ΙΩΑΝΝΗΣ,ΜΠΑΜΠΑΛΗΣ ΝΙΚΟΛΑΟΣ,FORD ESCORT RS2000 MK2,3/D3,11:00.00,10:29.83
38,39,ΠΑΠΑΖΟΓΛΟΥ ΛΥΜΠΕΡΗΣ,ΝΙΚΟΛΟΠΟΥΛΟΥ ΜΑΡΙΑ,LANCIA DELTA,4/E8,11:00.00,11:14.88
39,40,ΤΣΙΠΛΑΝΤΩΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΒΑΒΑΣ ΘΕΟΔΩΡΟΣ,FIAT 124,3/D3,11:00.00,#N/A
40,41,ΚΑΣΙΔΟΠΟΥΛΟΣ ΓΙΩΡΓΟΣ,ΠΑΛΛΑΣ ΑΠΟΣΤΟΛΟΣ,TOYOTA STARLET,3/D1,11:00.00,11:47.42
41,42,ΜΗΤΡΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΜΠΟΥΝΑΖΟΣ ΔΗΜΗΤΡΙΟΣ,FORD ESCORT MK1,2/C3,11:00.00,12:33.43
42,43,ΛΥΚΑΚΗΣ ΙΩΑΝΝΗΣΣ,ΚΑΜΠΟΥΡΟΒΑ ΜΑΡΙΑ,VOLKSWAGEN BEETLE,2/C2,11:00.00,#N/A
