A/A,No,ΣΩΜΑΤΕΙΟ,ΟΔΗΓΟΣ,ΣΩΜΑΤΕΙΟ,ΣΥΝΟΔΗΓΟΣ,ΟΧΗΜΑ,ΚΑΤ./ ΚΛΑΣΗ
22,23,ΑΛΜΑ ΑΙΓΙΟΥ,ΚΑΡΟΥΖΟΣ ΓΕΩΡΓΙΟΣ,ΑΛΜΑ ΑΙΓΙΟΥ,ΜΠΡΑΒΟΣ ΠΑΝΑΓΙΩΤΗΣ,TOYOTA COROLLA AE 86,"C4 E10, F2"
23,24,ΑΛΑ,ΖΙΖΑΣ ΑΓΗΣΙΛΑΟΣ,ΑΛΜΑ ΑΙΓΙΟΥ,ΒΑΡΣΟΣ ΑΡΙΣΤΕΙΔΗΣ,HONDA CIVIC EP 3,"C5 N3, F2"
24,25,ΑΛΜΑ ΑΙΓΙΟΥ,ΖΩΗΣ ΔΗΜΗΤΡΙΟΣ,ΑΛΑ,ΣΑΙΝΗΣ ΔΗΜΗΤΡΙΟΣ,PEUGEOT 208,"C5 R2B, F2"
25,26,ΑΟΚΡΗΤΗΣ,ΤΡΑΚΑΚΗΣ ΔΗΜΗΤΡΗΣ,ΑΣΣΟΑΑ,ΜΑΤΑΛΙΩΤΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ,CITROEN C2,"C5 R2B, F2"
26,27,ΑΛΜΑ ΑΙΓΙΟΥ,ΜΠΑΣΔΕΛΗΣ ΓΕΩΡΓΙΟΣ,ΑΛΜΑ ΑΙΓΙΟΥ,ΔΟΥΡΔΟΥΜΑΣ ΠΑΝΑΓΙΩΤΗΣ,NISSAN MICRA K12,"C6 N2, F2"
27,28,ΑΟΚΡΗΤΗΣ,ΜΠΕΝΟΥΚΑΣ ΜΑΡΙΝΟΣ,ΑΟΚΡΗΤΗΣ,ΛΑΜΠΡΑΚΗΣ ΔΗΜΗΤΡΙΟΣ,PEUGEOT 106 S16,"C6 N2, F2"
28,29,ΑΛΜΑ ΑΙΓΙΟΥ,ΚΟΥΝΙΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΑΛΜΑ ΑΙΓΙΟΥ,ΒΑΡΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,PEUGEOT 106 S16,"C6 N2, F2"
29,30,ΑΟΘΕΣ/ΚΗΣ,ΡΕΚΚΑΣ ΠΑΝΑΓΓΕΛΟΣ,ΑΟΘΕΣ/ΚΗΣ,ΡΕΚΚΑΣ ΒΙΚΤΩΡΑΣ,PEUGEOT 106 S16,"C6 N2, F2"
30,31,START LINE,ΤΥΡΟΣ ΝΙΚΟΛΑΟΣ,ΟΜΑΘΕΣΣΑΛΙΑΣ,ΠΟΛΥΧΡΟΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,PEUGEOT 106 S16,"C6 N2, F2"
31,32,ΑΛΜΑ ΑΙΓΙΟΥ,ΜΑΥΡΟΜΑΤΗΣ ΜΑΡΙΝΟΣ,ΕΛΛΑΔΑ,ΜΑΡΙΝΗΣ ΑΝΑΣΤΑΣΙΟΣ,PEUGEOT 106 S16,"C6 N2, F2"
32,33,ΑΣΜΑ,ΣΤΑΦΥΛΟΠΑΤΗΣ ΜΑΡΙΟΣ,ΕΛΛΑΔΑ,ΧΑΤΖΗΡΗΓΑΣ ΓΕΩΡΓΙΟΣ,BMW M3,4/E4
33,34,ΑΛΑ,ΑΜΑΞΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ,ΑΛΑ,ΜΩΡΑΙΤΗ ΧΑΡΙΚΛΕΙΑ,TOYOTA COROLLA KE 30,2/C2
34,35,ΕΛΛΑΔΑ,ΓΕΡΟΒΑΣΙΛΗΣ ΑΛΕΞΑΝΔΡΟΣ,ΑΣΣΟΑΑ,ΒΕΡΙΚΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,FIAT 131,4/E6
35,36,ΑΣΜΑ,ΚΟΦΙΝΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΑΣΜΑ,ΚΟΦΙΝΑΣ ΑΝΔΡΕΑΣ,ALFA ROMEO ALFETA GTV,4/E6
36,37,ΑΛΑ,"""GEO""",ΑΛΑ,ΤΡΙΠΙΝΤΗΣ ΔΗΜΗΤΡΙΟΣ,PEUGEOT 205,4/E1
37,38,ΕΛΛΑΔΑ,ΚΑΤΣΙΚΑΣ ΙΩΑΝΝΗΣ,ΕΛΛΑΔΑ,ΜΠΑΜΠΑΛΗΣ ΝΙΚΟΛΑΟΣ,FORD ESCORT RS2000 MK2,3/D3
38,39,START LINE,ΠΑΠΑΖΟΓΛΟΥ ΛΥΜΠΕΡΗΣ,START LINE,ΝΙΚΟΛΟΠΟΥΛΟΥ ΜΑΡΙΑ,LANCIA DELTA,4/E8
39,40,START LINE,ΤΣΙΠΛΑΝΤΩΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΑΣΣΟΑΑ,ΒΑΒΑΣ ΘΕΟΔΩΡΟΣ,FIAT 124,3/D3
40,41,ΑΣΜΑ,ΚΑΣΙΔΟΠΟΥΛΟΣ ΓΙΩΡΓΟΣ,ΑΛΑ,ΠΑΛΛΑΣ ΑΠΟΣΤΟΛΟΣ,TOYOTA STARLET,3/D1
41,42,ΑΣΜΑ,ΜΗΤΡΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΑΣΙΣΑ,ΜΠΟΥΝΑΖΟΣ ΔΗΜΗΤΡΙΟΣ,FORD ESCORT MK1,2/C3
42,43,START LINE,ΛΥΚΑΚΗΣ ΙΩΑΝΝΗΣΣ,START LINE,ΚΑΜΠΟΥΡΟΒΑ ΜΑΡΙΑ,VOLKSWAGEN BEETLE,2/C2
