,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#82,Biancu Davide  - Pittalis Luigi Peugeot 208 Rally4,RC4,2:52.0 [N],-,-,-,-,-,-,12:44.3,16:20.9,32:32.2 [N],18:27.5 [N],21:56.6 [N],28:40.2 [N],34:55.7 [N],19:41.0 [N],10:55.8,7:00.7,10:40.4,6:57.2 [N]
#82,Biancu Davide  - Pittalis Luigi Peugeot 208 Rally4  [SR],RC4,-,19:14.1 [N],17:01.3 [N],49:24.7 [N],17:30.0 [N],15:51.8 [N],55:54.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#83,Bergamin Jacopo  - Ventoso Nicolò Peugeot 208 Rally4,RC4,2:52.0 [N],9:47.1,8:19.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#84,Liceri Michele  - Mendola S. Peugeot 208 Rally4,RC4,2:57.5 [N],10:28.6,7:46.7,43:37.7,7:30.0 [N],5:51.8 [N],47:46.9,13:26.5,17:37.2,25:03.7,9:07.6,13:39.4,23:19.4,28:57.4,12:08.8,11:07.3,7:23.7,11:21.5,6:57.2 [N]
#85,Schirru Fabrizio  - Salis Fabio Peugeot 208 Rally4,RC4,2:57.5 [N],10:24.1,7:44.6,49:04.3,7:30.0 [N],5:51.8 [N],45:54.3,13:48.7,19:15.3,-,-,-,-,-,-,11:33.8,7:24.4,11:17.4,6:57.2 [N]
#85,Schirru Fabrizio  - Salis Fabio Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,-,-,-,-,32:32.2 [N],18:27.5 [N],21:56.6 [N],28:40.2 [N],34:55.7 [N],19:41.0 [N],-,-,-,-
#86,Mara Gianluca  - Cottu Veronica Peugeot 208 R2,RC4,2:57.5 [N],10:35.3,8:01.7,-,-,-,-,14:20.4,18:00.9,32:32.2 [N],18:27.5 [N],21:56.6 [N],28:40.2 [N],34:55.7 [N],19:41.0 [N],12:04.2,7:34.6,11:31.2,6:57.2 [N]
#86,Mara Gianluca  - Cottu Veronica Peugeot 208 R2  [SR],RC4,-,-,-,49:24.7 [N],17:30.0 [N],15:51.8 [N],55:54.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#87,Šekuljica Slaven  - Petrović D. Renault Clio Rally5,RC5,2:57.5 [N],12:17.5,9:07.6,1:01:51.5,7:30.0 [N],5:51.8 [N],50:43.3,20:15.3,22:18.2,33:16.5,11:15.7,15:45.5,24:31.3,36:09.5,12:08.8 [N],12:58.2,8:11.5,-,-
#88,Dessi Marc  - Pastorino Mattia Renault Clio Rally5,RC5,2:57.5 [N],14:13.5,11:00.9,57:46.7,7:30.0 [N],5:51.8 [N],1:08:19.3,17:35.3,26:05.6,35:56.5,14:01.5,17:37.2,38:57.7,50:45.7,12:08.8 [N],15:45.7,9:43.8,19:46.7,6:57.2 [N]
