,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#32,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,20:17.0 [N],23:36.1 [N],30:41.5 [N],17:43.1 [N],-,-,-,-
#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,2:26.9,7:30.0,5:36.8,31:46.6,7:17.8,5:38.2,32:38.1,10:11.1,12:59.0,20:38.8,7:36.6,10:08.0,13:36.7,20:33.4,7:35.4,8:42.0,5:45.8,8:38.9,6:01.8
#34,Bulacia B.  - Coronado Jiménez A. Škoda Fabia Rally2 evo,RC2,2:32.3,7:49.9,5:53.1,38:22.5,7:30.0 [N],5:51.8 [N],-,10:44.2,13:45.5,20:05.7,7:23.9,10:30.9,15:26.2,28:55.0,-,-,-,-,-
#34,Bulacia B.  - Coronado Jiménez A. Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,43:16.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#35,Cachón Alejandro  - Jandrín Citroën C3 Rally2,RC2,2:31.2,7:54.5,6:18.1,-,-,-,-,10:53.1,14:09.4,-,-,-,-,-,-,-,-,-,-
#35,Cachón Alejandro  - Jandrín Citroën C3 Rally2  [SR],RC2,-,-,-,42:51.8 [N],17:30.0 [N],15:48.7 [N],43:16.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#36,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,2:31.0,8:01.0,5:56.1,33:56.8,-,-,-,10:42.7,13:52.6,19:59.0,7:22.0,10:32.9,16:05.7,21:18.1,8:08.1,9:08.3,5:58.4,8:53.0,6:57.2 [N]
#36,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2  [SR],RC2,-,-,-,-,17:30.0 [N],15:48.7 [N],43:16.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#37,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,2:29.7,7:38.9,5:54.6,33:18.2,7:30.0 [N],5:51.8 [N],33:58.8,10:46.7,13:49.1,20:18.1,7:27.7,10:34.2,14:27.1,21:48.5,8:16.3,9:18.6,6:09.2,9:00.5,6:57.2
#38,McErlean Josh  - Rowan John Hyundai i20 N Rally2,RC2,2:31.9,7:48.8,5:56.9,36:33.4,7:30.0 [N],5:51.8 [N],34:39.6,10:34.9,13:40.3,20:13.6,7:26.0,10:29.6,15:17.3,22:20.9,8:39.3,9:07.1,6:11.5,8:59.5,6:57.2 [N]
#39,Joona Lauri  - Shemeikka Tuukka Škoda Fabia Rally2 evo,RC2,2:33.6,7:40.7,6:00.5,36:03.2,7:30.0 [N],5:51.8 [N],34:12.0,10:45.7,13:59.5,20:11.0,7:24.1,10:27.9,15:00.3,21:36.2,8:07.6,9:10.4,6:05.2,8:49.5,6:39.2 [N]
