Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
5,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,5:45.8,+8.7 +  0.3,81.1 1.12,17
6,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,5:47.1,+10.0 +  1.3,80.8 1.28,17
7,#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,5:48.5,+11.4 +  1.4,80.5 1.46,17
8,#24,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,5:51.1,+14.0 +  2.6,79.9 1.80,17
9,#32,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2,RC2,5:53.1,+16.0 +  2.0,79.4 2.05,17
10,#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,5:56.2,+19.1 +  3.1,78.7 2.45,17
11,#23,Mikkelsen Andreas  - Eriksen T. Škoda Fabia RS Rally2,RC2,5:56.9,+19.8 +  0.7,78.6 2.54,17
12,#36,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,5:58.4,+21.3 +  1.5,78.2 2.73,17
13,#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,5:58.6,+21.5 +  0.2,78.2 2.76,17
13,#25,Suninen Teemu  - Markkula Mikko Hyundai i20 N Rally2,RC2,5:58.6,+21.5 +  0.0,78.2 2.76,17
15,#29,Kajetanowicz K.  - Szczepaniak M. Škoda Fabia RS Rally2,RC2,6:00.5,+23.4 +  1.9,77.8 3.00,17
16,#31,Zaldivar F.  - Der Ohannesian M. Hyundai i20 N Rally2,RC2,6:00.9,+23.8 +  0.4,77.7 3.06,17
17,#30,Munster Grégoire  - Louka Louis Ford Fiesta Rally2,RC2,6:01.2,+24.1 +  0.3,77.6 3.09,17
18,#46,Prokop Martin  - Ernst Michal Škoda Fabia RS Rally2,RC2,6:01.6,+24.5 +  0.4,77.6 3.15,17
19,#27,Fourmaux Adrien  - Coria Alexandre Ford Fiesta Rally2,RC2,6:03.6,+26.5 +  2.0,77.1 3.40,17
20,#28,Ciamin Nicolas  - Roche Yannick Volkswagen Polo GTI R5,RC2,6:04.0,+26.9 +  0.4,77.0 3.45,17
21,#40,Virves Robert  - Magalhães Hugo Ford Fiesta Rally2,RC2,6:04.3,+27.2 +  0.3,77.0 3.49,17
22,#39,Joona Lauri  - Shemeikka Tuukka Škoda Fabia Rally2 evo,RC2,6:05.2,+28.1 +  0.9,76.8 3.61,17
23,#37,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,6:09.2,+32.1 +  4.0,76.0 4.12,17
24,#41,Cais Erik  - Těšínský Petr Škoda Fabia RS Rally2,RC2,6:10.8,+33.7 +  1.6,75.6 4.33,17
25,#38,McErlean Josh  - Rowan John Hyundai i20 N Rally2,RC2,6:11.5,+34.4 +  0.7,75.5 4.42,17
26,#73,Hernández R.  - Pérez Fernández A. Ford Fiesta Rally3,RC3,6:11.7,+34.6 +  0.2,75.4 4.44,17
27,#47,Miele Mauro  - Beltrame Luca Škoda Fabia RS Rally2,RC2,6:12.2,+35.1 +  0.5,75.3 4.51,17
28,#49,O'Brien Patrick  - O'Brien Stephen Hyundai i20 N Rally2,RC2,6:13.4,+36.3 +  1.2,75.1 4.66,17
29,#67,Pellier Laurent  - Bronner Kévin Ford Fiesta Rally3,RC3,6:18.7,+41.6 +  5.3,74.1 5.34,17
30,#68,Domínguez Diego Jr.  - Peñate R. Ford Fiesta Rally3,RC3,6:20.2,+43.1 +  1.5,73.8 5.53,17
31,#56,Dettori Giuseppe  - Pisano Carlo Škoda Fabia Rally2 evo,RC2,6:20.7,+43.6 +  0.5,73.7 5.60,17
32,#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,6:21.0,+43.9 +  0.3,73.6 5.64,17
33,#48,Castro Eduardo  - Mussano Fernando Škoda Fabia Rally2 evo,RC2,6:21.1,+44.0 +  0.1,73.6 5.65,17
34,#63,Türkkan Ali  - Erdener Burak Ford Fiesta Rally3,RC3,6:23.6,+46.5 +  2.5,73.1 5.97,17
35,#52,Villanueva A.  - Murado González J. Škoda Fabia RS Rally2,RC2,6:23.8,+46.7 +  0.2,73.1 5.99,17
36,#57,Gamba Matteo  - Gonella Nicolò Škoda Fabia Rally2 evo,RC2,6:25.2,+48.1 +  1.4,72.8 6.17,17
37,#58,Tali Nicola  - Frau Massimiliano Škoda Fabia Rally2 evo,RC2,6:25.5,+48.4 +  0.3,72.7 6.21,17
38,#78,Bendotti Gianpietro  - Vaerini G. Škoda Fabia Rally2 evo,RC2,6:28.0,+50.9 +  2.5,72.3 6.53,17
39,#65,Korhonen Roope  - Viinikka Anssi Ford Fiesta Rally3,RC3,6:28.7,+51.6 +  0.7,72.1 6.62,17
40,#72,Kelly Eamonn  - Mohan Conor Ford Fiesta Rally3,RC3,6:29.5,+52.4 +  0.8,72.0 6.73,17
41,#79,Schwarz Fabio  - Ettel Bernhard Ford Fiesta Rally3,RC3,6:31.7,+54.6 +  2.2,71.6 7.01,17
42,#66,Creighton William  - Regan Liam Ford Fiesta Rally3,RC3,6:33.0,+55.9 +  1.3,71.4 7.18,17
43,#59,Biolghini Pablo  - Pudda Stefano Škoda Fabia Rally2 evo,RC2,6:33.1,+56.0 +  0.1,71.3 7.19,17
44,#60,Morato Maurizio  - Dal Maso Andrea Škoda Fabia Rally2 evo,RC2,6:33.9,+56.8 +  0.8,71.2 7.29,17
45,#53,Chwist Daniel  - Heller Kamil Škoda Fabia RS Rally2,RC2,6:37.2,+1:00.1 +  3.3,70.6 7.72,17
46,#64,Kohn Filip  - Woodburn Tom Ford Fiesta Rally3,RC3,6:37.9,+1:00.8 +  0.7,70.5 7.80,17
47,#70,Rensonnet Tom  - Dumont Loïc Ford Fiesta Rally3,RC3,6:38.5,+1:01.4 +  0.6,70.4 7.88,17
48,#74,Anwar Hamza  - Din Adnan Ford Fiesta Rally3,RC3,6:39.3,+1:02.2 +  0.8,70.2 7.98,17
49,#50,Keferböck Johannes  - Minor Ilka Škoda Fabia Rally2 evo,RC2,6:39.4,+1:02.3 +  0.1,70.2 8.00,17
50,#77,Pozzo Giuseppe  - Cottu Pier Paolo Škoda Fabia Rally2 evo,RC2,6:44.8,+1:07.7 +  5.4,69.3 8.69,17
51,#71,Blach Roberto Jr.  - Barreiro M. Ford Fiesta Rally3,RC3,6:45.5,+1:08.4 +  0.7,69.2 8.78,17
52,#75,László Zoltán  - Zsiros Gábor Škoda Fabia Rally2 evo,RC2,6:50.7,+1:13.6 +  5.2,68.3 9.45,17
53,#80,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,RC4,6:54.3,+1:17.2 +  3.6,67.7 9.91,17
54,#82,Biancu Davide  - Pittalis Luigi Peugeot 208 Rally4,RC4,7:00.7,+1:23.6 +  6.4,66.7 10.7,17
55,#81,Marrone Stefano  - Mele Claudio Peugeot 208 Rally4,RC4,7:07.0,+1:29.9 +  6.3,65.7 11.5,17
56,#61,Covi Carlo  - Budoia Andrea Škoda Fabia Rally2 evo,RC2,7:16.3,+1:39.2 +  9.3,64.3 12.7,17
57,#84,Liceri Michele  - Mendola S. Peugeot 208 Rally4,RC4,7:23.7,+1:46.6 +  7.4,63.2 13.7,17
58,#85,Schirru Fabrizio  - Salis Fabio Peugeot 208 Rally4,RC4,7:24.4,+1:47.3 +  0.7,63.1 13.8,17
59,#55,Al-Attiyah N.  - Bernacchini G. Ford Fiesta Rally2,RC2,7:25.6,+1:48.5 +  1.2,62.9 13.9,17
60,#86,Mara Gianluca  - Cottu Veronica Peugeot 208 R2,RC4,7:34.6,+1:57.5 +  9.0,61.7 15.1,17
61,#87,Šekuljica Slaven  - Petrović D. Renault Clio Rally5,RC5,8:11.5,+2:34.4 +  36.9,57.1 19.8,17
62,#88,Dessi Marc  - Pastorino Mattia Renault Clio Rally5,RC5,9:43.8,+4:06.7 +  1:32.3,48.0 31.7,17
1,#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1,8:31.7,,107.1,18
2,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,8:36.1,+4.4 +  4.4,106.2 0.29,18
3,#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,8:36.6,+4.9 +  0.5,106.1 0.32,18
4,#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,8:38.9,+7.2 +  2.3,105.6 0.47,18
5,#32,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2,RC2,8:39.9,+8.2 +  1.0,105.4 0.54,18
6,#27,Fourmaux Adrien  - Coria Alexandre Ford Fiesta Rally2,RC2,8:44.7,+13.0 +  4.8,104.4 0.85,18
7,#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,8:45.8,+14.1 +  1.1,104.2 0.93,18
8,#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,8:46.1,+14.4 +  0.3,104.1 0.95,18
9,#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,8:47.0,+15.3 +  0.9,104.0 1.01,18
10,#39,Joona Lauri  - Shemeikka Tuukka Škoda Fabia Rally2 evo,RC2,8:49.5,+17.8 +  2.5,103.5 1.17,18
11,#30,Munster Grégoire  - Louka Louis Ford Fiesta Rally2,RC2,8:50.1,+18.4 +  0.6,103.4 1.21,18
12,#29,Kajetanowicz K.  - Szczepaniak M. Škoda Fabia RS Rally2,RC2,8:51.1,+19.4 +  1.0,103.2 1.27,18
13,#25,Suninen Teemu  - Markkula Mikko Hyundai i20 N Rally2,RC2,8:52.3,+20.6 +  1.2,102.9 1.35,18
13,#31,Zaldivar F.  - Der Ohannesian M. Hyundai i20 N Rally2,RC2,8:52.3,+20.6 +  0.0,102.9 1.35,18
15,#36,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,8:53.0,+21.3 +  0.7,102.8 1.40,18
16,#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,8:53.6,+21.9 +  0.6,102.7 1.44,18
16,#23,Mikkelsen Andreas  - Eriksen T. Škoda Fabia RS Rally2,RC2,8:53.6,+21.9 +  0.0,102.7 1.44,18
18,#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,8:53.9,+22.2 +  0.3,102.6 1.46,18
19,#40,Virves Robert  - Magalhães Hugo Ford Fiesta Rally2,RC2,8:54.7,+23.0 +  0.8,102.5 1.51,18
20,#24,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,8:55.1,+23.4 +  0.4,102.4 1.54,18
21,#28,Ciamin Nicolas  - Roche Yannick Volkswagen Polo GTI R5,RC2,8:58.8,+27.1 +  3.7,101.7 1.78,18
22,#38,McErlean Josh  - Rowan John Hyundai i20 N Rally2,RC2,8:59.5,+27.8 +  0.7,101.6 1.83,18
23,#37,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,9:00.5,+28.8 +  1.0,101.4 1.89,18
24,#46,Prokop Martin  - Ernst Michal Škoda Fabia RS Rally2,RC2,9:01.0,+29.3 +  0.5,101.3 1.93,18
25,#41,Cais Erik  - Těšínský Petr Škoda Fabia RS Rally2,RC2,9:14.1,+42.4 +  13.1,98.9 2.79,18
26,#49,O'Brien Patrick  - O'Brien Stephen Hyundai i20 N Rally2,RC2,9:14.2,+42.5 +  0.1,98.9 2.79,18
27,#47,Miele Mauro  - Beltrame Luca Škoda Fabia RS Rally2,RC2,9:27.4,+55.7 +  13.2,96.6 3.66,18
28,#73,Hernández R.  - Pérez Fernández A. Ford Fiesta Rally3,RC3,9:27.9,+56.2 +  0.5,96.5 3.69,18
29,#68,Domínguez Diego Jr.  - Peñate R. Ford Fiesta Rally3,RC3,9:28.6,+56.9 +  0.7,96.4 3.74,18
30,#67,Pellier Laurent  - Bronner Kévin Ford Fiesta Rally3,RC3,9:29.9,+58.2 +  1.3,96.1 3.82,18
31,#56,Dettori Giuseppe  - Pisano Carlo Škoda Fabia Rally2 evo,RC2,9:32.9,+1:01.2 +  3.0,95.6 4.02,18
32,#79,Schwarz Fabio  - Ettel Bernhard Ford Fiesta Rally3,RC3,9:33.6,+1:01.9 +  0.7,95.5 4.07,18
33,#48,Castro Eduardo  - Mussano Fernando Škoda Fabia Rally2 evo,RC2,9:36.5,+1:04.8 +  2.9,95.0 4.26,18
34,#58,Tali Nicola  - Frau Massimiliano Škoda Fabia Rally2 evo,RC2,9:37.1,+1:05.4 +  0.6,94.9 4.30,18
35,#65,Korhonen Roope  - Viinikka Anssi Ford Fiesta Rally3,RC3,9:38.8,+1:07.1 +  1.7,94.7 4.41,18
36,#72,Kelly Eamonn  - Mohan Conor Ford Fiesta Rally3,RC3,9:43.3,+1:11.6 +  4.5,93.9 4.70,18
