0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
64,Kohn  Fili,RC3,Sardegna,50,49,70,30,10,12,27,42,41,60,61,59,58,57,60,41,46,41,16
65,Korhonen  ,RC3,Sardegna,42,41,40,36,10,12,33,56,42,36,25,31,20,29,22,26,39,35,16
66,Creighton ,RC3,Sardegna,43,43,39,39,10,12,34,39,31,35,27,34,43,18,20,34,42,39,16
67,Pellier  L,RC3,Sardegna,64,34,35,43,10,12,40,33,34,24,24,29,22,53,56,37,29,30,16
68,Dominguez ,RC3,Sardegna,44,38,37,24,10,12,39,38,34,28,28,28,33,28,37,35,30,29,16
69,Rovanperä ,RC1,Sardegna,5,6,8,8,7,8,1,3,4,4,3,4,2,4,5,11,7,8,1
70,Rensonnet ,RC3,Sardegna,49,50,45,46,10,12,54,44,45,41,35,38,36,53,56,42,47,42,16
71,Blach  Rob,RC3,Sardegna,55,58,50,38,10,12,60,50,47,45,37,42,40,34,34,44,51,47,16
72,Kelly  Eam,RC3,Sardegna,54,46,46,57,58,65,60,41,43,37,32,35,31,25,25,38,40,36,16
73,Hernández ,RC3,Sardegna,45,47,32,60,10,12,32,48,37,27,59,57,56,53,56,31,26,28,16
74,Anwar  Ham,RC3,Sardegna,63,69,68,57,58,65,60,52,54,47,39,44,42,35,31,45,48,43,16
75,László  Z.,RC2,Sardegna,51,59,55,66,10,12,64,53,55,49,44,47,45,39,39,62,52,51,16
76,Marrone  F,RC2,Sardegna,56,61,51,48,10,12,36,54,51,67,62,60,60,58,61,53,-,-,-
77,Pozzo  Giu,RC2,Sardegna,64,55,53,47,10,12,37,61,53,51,62,60,60,58,61,55,50,54,16
78,Bendotti  ,RC2,Sardegna,56,51,49,44,10,12,35,51,49,40,36,41,37,30,32,49,38,48,16
79,Schwarz  F,RC3,Sardegna,51,42,42,26,10,12,57,62,61,39,59,57,56,53,56,27,41,32,16
80,Fontana  M,RC4,Sardegna,51,56,54,45,10,12,65,49,50,48,43,43,44,36,35,48,53,45,16
81,Marrone  S,RC4,Sardegna,56,60,58,62,58,65,65,57,57,54,46,48,46,41,40,51,55,52,16
82,Biancu  Da,RC4,Sardegna,56,70,69,62,58,65,65,58,56,61,64,62,62,60,63,54,54,53,16
83,Bergamin  ,RC4,Sardegna,56,63,62,62,58,65,65,-,-,-,-,-,-,-,-,-,-,-,-
84,Liceri  Mi,RC4,Sardegna,64,65,60,56,10,12,59,60,60,55,50,49,50,43,41,56,57,57,16
85,Schirru  F,RC4,Sardegna,64,64,59,61,10,12,55,63,63,61,64,62,62,60,63,58,58,56,16
86,Mara  Gian,RC4,Sardegna,64,66,61,62,58,65,65,64,62,61,64,62,62,60,63,60,60,58,16
87,Šekuljica ,RC5,Sardegna,64,67,63,69,10,12,63,67,64,64,52,50,55,63,41,61,61,-,-
88,Dessi  Mar,RC5,Sardegna,64,68,65,67,10,12,70,65,67,65,53,51,65,65,41,63,62,60,16
