Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,5,Solberg  Oliver  /  Edmondson  E.  Volkswagen Polo Gti R5,RC2,00:05:28.9,124.67 0.00,00:00:00.0 00:00:00.0,11
2,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:05:29.2,124.56 0.03,00:00:00.3 00:00:00.3,11
3,19,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:05:29.8,124.33 0.08,00:00:00.9 00:00:00.6,11
4,6,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:05:32.7,123.25 0.33,00:00:03.8 00:00:02.9,11
5,18,Joona  Lauri  /  Hussi  Janni  Škoda Fabia RS Rally2,RC2,00:05:33.1,123.10 0.37,00:00:04.2 00:00:00.4,11
6,8,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia Rally2 Evo,RC2,00:05:33.3,123.02 0.39,00:00:04.4 00:00:00.1,11
7,47,Åhlin  Fredrik  /  Sjöberg  Joakim  Škoda Fabia R5,RC2,00:05:35.2,122.33 0.55,00:00:06.3 00:00:01.9,11
8,7,Franceschi  M.  /  Escartefigue  J.  Škoda Fabia Rally2 Evo,RC2,00:05:38.1,121.28 0.81,00:00:09.2 00:00:02.9,11
9,48,Åkesson  Jonas  /  Bengtsson  Maja  Škoda Fabia R5,RC2,00:05:38.6,121.10 0.85,00:00:09.7 00:00:00.5,11
10,2,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:05:40.1,120.56 0.98,00:00:11.2 00:00:01.5,11
11,15,Battistolli  A.  /  Scattolin  S.  Škoda Fabia RS Rally2,RC2,00:05:40.4,120.46 1.01,00:00:11.5 00:00:00.2,11
12,17,Armstrong  Jon  /  Thulin  Julia  Ford Fiesta Rally2 MkII,RC2,00:05:40.6,120.39 1.03,00:00:11.7 00:00:00.2,11
13,23,Gustafsson  K.  /  Nilsson  Magnus  Ford Fiesta Rally2 MkII,RC2,00:05:41.8,119.96 1.13,00:00:12.9 00:00:01.2,11
14,10,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:05:42.2,119.82 1.17,00:00:13.3 00:00:00.3,11
15,4,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:05:44.1,119.16 1.33,00:00:15.2 00:00:01.9,11
16,9,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:05:45.4,118.71 1.45,00:00:16.5 00:00:01.3,11
17,12,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:05:49.8,117.22 1.83,00:00:20.9 00:00:04.4,11
18,26,Creighton  W.  /  Regan  Liam  Ford Fiesta Rally3,RC3,00:05:51.6,116.62 1.99,00:00:22.7 00:00:01.8,11
19,25,Al-Rashed  Rakan  /  Haapala  Antti  Škoda Fabia RS Rally2,RC2,00:05:59.6,114.03 2.70,00:00:30.7 00:00:08.0,11
20,28,Nore  Ola jun.  /  Eilertsen  Rune  Renault Clio Rally4,RC4,00:06:01.4,113.46 2.85,00:00:32.5 00:00:01.8,11
21,49,Lassila  Leevi  /  Lukka  Mikko  Ford Fiesta Rally4,RC4,00:06:02.1,113.24 2.91,00:00:33.2 00:00:00.7,11
21,50,O'Brien  Patrick  /  O'Brien  Stephen  Škoda Fabia R5,RC2,00:06:02.1,113.24 2.91,00:00:33.2 00:00:00.0,11
23,45,Hallberg  Patrik  /  Stigh  John  Ford Fiesta Rally4,RC4,00:06:04.3,112.56 3.11,00:00:35.4 00:00:02.2,11
24,31,Daprà  Roberto  /  Guglielmetti  L.  Peugeot 208 Rally4,RC4,00:06:05.5,112.19 3.21,00:00:36.6 00:00:01.2,11
25,30,Maior  Norbert  /  Maior  Francesca  Peugeot 208 Rally4,RC4,00:06:06.1,112.00 3.27,00:00:37.2 00:00:00.6,11
26,29,Hansen  Victor  /  Johansson  V.  Peugeot 208 Rally4,RC4,00:06:08.1,111.39 3.44,00:00:39.2 00:00:02.0,11
27,32,McRae  Max  /  Kierans  M.  Opel Corsa Rally4,RC4,00:06:08.9,111.15 3.51,00:00:40.0 00:00:00.7,11
28,41,Andersson  Simon  /  Jonsson  Jörgen  Renault Clio Rally4,RC4,00:06:09.7,110.91 3.58,00:00:40.8 00:00:00.8,11
29,21,Somaschini  R.  /  Arena  Nicola  Citroën C3 Rally2,RC2,00:06:10.3,110.73 3.63,00:00:41.4 00:00:00.6,11
