,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#31,Daprà Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,4:43.6,11:05.2,8:16.8,5:07.5,4:38.4,10:45.5,8:02.2,5:01.3,5:21.6,4:55.3,6:05.5,5:25.0,5:12.0,4:50.0,6:00.5,5:18.9
#32,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,4:43.7,10:57.7,8:16.2,5:05.7,4:38.0,10:49.2,-,-,5:30.5,4:57.2,6:08.9,5:29.0,5:16.1,4:51.4,6:08.0,5:21.5
#32,McRae Max  - Kierans Mac Opel Corsa Rally4  [SR],RC4,-,-,-,-,-,-,17:59.0 [N],14:56.2 [N],-,-,-,-,-,-,-,-
#33,Raftery Aoife  - Kierans Arthur Peugeot 208 Rally4,RC4,5:02.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#33,Raftery Aoife  - Kierans Arthur Peugeot 208 Rally4  [SR],RC4,-,20:46.6 [N],18:04.7 [N],14:59.7 [N],14:33.5 [N],20:38.6 [N],17:59.0 [N],14:56.2 [N],-,-,-,-,-,-,-,-
#34,Zanin Mattia  - Pizzol Fabio Peugeot 208 Rally4,RC4,4:54.5,11:27.7,8:40.0,5:21.0,4:44.6,11:04.3,8:19.1,5:07.9,5:34.4,5:04.5,6:20.8,-,-,-,-,-
#35,Tiits Mark-Egert  - Viilo Jakko Ford Fiesta Rally4,RC4,4:47.5,14:44.0,8:27.6,5:09.5,4:39.4,10:49.5,8:07.5,5:02.5,5:26.8,4:56.1,6:14.0,5:27.1,5:20.0,4:50.9,6:06.9,5:22.8
#36,Jalava Miko  - Peippo Matias Ford Fiesta Rally4,RC4,4:52.9,20:46.6,18:04.7,-,-,-,-,-,-,-,-,-,-,-,-,-
#37,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,5:14.5,-,-,-,-,-,-,-,5:29.5,5:00.8,6:21.2,6:10.5,5:22.7,4:56.8,6:06.7,5:31.1
#37,Schulz Timo  - Wenzel Michael Opel Corsa Rally4  [SR],RC4,-,20:46.6 [N],18:04.7 [N],14:59.7 [N],14:33.5 [N],20:38.6 [N],17:59.0 [N],14:56.2 [N],-,-,-,-,-,-,-,-
#38,Spitalier Patrice  - Spitalier N. Peugeot 208 Rally4,RC4,5:06.5,-,-,-,-,-,-,-,5:43.3,5:17.5,6:35.0,5:52.4,5:36.0,5:12.2,6:22.2,6:05.2
#38,Spitalier Patrice  - Spitalier N. Peugeot 208 Rally4  [SR],RC4,-,20:46.6 [N],18:04.7 [N],14:59.7 [N],14:33.5 [N],20:38.6 [N],17:59.0 [N],14:56.2 [N],-,-,-,-,-,-,-,-
#39,Johansson Mille  - Grönvall Johan Ford Fiesta Rally4,RC4,4:47.7,10:58.5,8:14.2,5:09.3,4:39.0,10:43.3,8:03.4,5:04.1,5:21.8,4:53.2,6:12.2,5:24.1,5:13.3,4:48.1,6:03.2,5:17.9
#4,Mabellini Andrea  - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,4:25.1,10:15.2,7:38.9,4:41.8,4:16.0,9:52.4,7:23.9,4:33.2,5:04.5,4:33.9,5:44.1,4:58.3,4:50.5,4:25.6,5:31.5,4:46.9
