0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No.,Crew,Group,Race,,,,,,,,,,,,,,,,
24,Binbach  W,RC2,Scandinavia,00:04:30.3,00:10:22.0,00:07:49.3,00:04:46.9,00:04:28.5,00:10:12.8,00:07:35.5,00:04:38.5,00:04:59.8,-,-,-,-,-,-,-
25,Al-Rashed ,RC2,Scandinavia,00:04:45.9,00:10:57.3,00:08:07.8,00:04:55.1,00:04:34.1,00:10:37.3,00:07:56.4,00:04:52.0,00:05:17.3,00:04:47.0,00:05:59.6,00:05:18.5,00:05:06.0,00:04:43.4,00:05:47.4,00:05:14.4
26,Creighton ,RC3,Scandinavia,00:04:32.9,00:10:24.2,00:08:07.1,00:15:00.6,00:14:36.3,00:20:33.4,00:17:50.1,00:14:51.5,00:05:06.7,00:04:46.4,00:05:51.6,00:05:11.7,00:05:02.3,00:04:35.9,00:05:44.8,00:05:07.9
27,Feofanov  ,RC3,Scandinavia,00:04:44.0,00:11:03.5,00:18:07.1,00:15:00.6,00:14:36.3,00:20:33.4,00:17:50.1,00:14:51.5,-,-,-,-,-,-,-,-
28,Nore  Ola ,RC4,Scandinavia,00:04:43.1,00:11:03.4,00:08:25.0,00:05:07.6,00:04:39.5,00:10:45.0,00:08:07.2,00:05:01.4,00:05:19.3,00:04:55.0,00:06:01.4,00:05:27.0,00:05:18.0,00:04:51.9,00:05:57.1,00:05:23.7
29,Hansen  Vi,RC4,Scandinavia,00:04:49.0,00:11:08.4,00:08:22.8,00:05:09.3,00:04:40.9,00:10:47.8,00:08:07.0,00:05:04.4,00:05:26.3,00:04:56.4,00:06:08.1,00:05:22.9,00:05:24.0,00:04:58.4,00:07:10.5,00:06:36.7
30,Maior  Nor,RC4,Scandinavia,00:04:46.7,00:11:01.6,00:08:18.2,00:05:06.9,00:04:38.7,00:10:43.2,00:08:04.3,00:05:00.5,00:05:23.8,00:04:51.3,00:06:06.1,00:05:22.9,00:05:13.6,00:04:49.6,00:05:58.2,00:05:19.2
31,Daprà  Rob,RC4,Scandinavia,00:04:43.6,00:11:05.2,00:08:16.8,00:05:07.5,00:04:38.4,00:10:45.5,00:08:02.2,00:05:01.3,00:05:21.6,00:04:55.3,00:06:05.5,00:05:25.0,00:05:12.0,00:04:50.0,00:06:00.5,00:05:18.8
32,McRae  Max,RC4,Scandinavia,00:04:43.7,00:10:57.7,00:08:16.2,00:05:05.7,00:04:38.0,00:10:49.2,00:17:59.0,00:14:56.2,00:05:30.5,00:04:57.2,00:06:08.9,00:05:29.0,00:05:16.1,00:04:51.4,00:06:08.0,00:05:21.4
33,Raftery  A,RC4,Scandinavia,00:05:02.4,00:20:46.6,00:18:04.7,00:14:59.7,00:14:33.5,00:20:38.6,00:17:59.0,00:14:56.2,-,-,-,-,-,-,-,-
34,Zanin  Mat,RC4,Scandinavia,00:04:54.5,00:11:27.7,00:08:40.0,00:05:21.0,00:04:44.6,00:11:04.3,00:08:19.1,00:05:07.9,00:05:34.4,00:05:04.5,00:06:20.8,-,-,-,-,-
35,Tiits  M. ,RC4,Scandinavia,00:04:47.5,00:14:44.0,00:08:27.6,00:05:09.5,00:04:39.4,00:10:49.5,00:08:07.5,00:05:02.5,00:05:26.8,00:04:56.1,00:06:14.0,00:05:27.1,00:05:20.0,00:04:50.9,00:06:06.9,00:05:22.8
36,Jalava  Mi,RC4,Scandinavia,00:04:52.9,00:20:46.6,00:18:04.7,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Schulz  Ti,RC4,Scandinavia,00:05:14.5,00:20:46.6,00:18:04.7,00:14:59.7,00:14:33.5,00:20:38.6,00:17:59.0,00:14:56.2,00:05:29.5,00:05:00.8,00:06:21.2,00:06:10.5,00:05:22.7,00:04:56.8,00:06:06.7,00:05:31.1
38,Spitalier ,RC4,Scandinavia,00:05:06.5,00:20:46.6,00:18:04.7,00:14:59.7,00:14:33.5,00:20:38.6,00:17:59.0,00:14:56.2,00:05:43.3,00:05:17.5,00:06:35.0,00:05:52.4,00:05:36.0,00:05:12.2,00:06:22.2,00:06:05.2
39,Johansson ,RC4,Scandinavia,00:04:47.7,00:10:58.5,00:08:14.2,00:05:09.3,00:04:39.0,00:10:43.3,00:08:03.4,00:05:04.1,00:05:21.8,00:04:53.2,00:06:12.2,00:05:24.1,00:05:13.3,00:04:48.1,00:06:03.2,00:05:17.9
40,Kramer  A.,RC4,Scandinavia,00:04:57.0,00:11:30.6,00:08:39.7,00:05:27.6,00:04:50.6,00:11:17.2,00:08:28.1,00:05:20.0,00:05:35.6,00:05:47.7,00:06:31.5,00:05:41.5,00:05:30.7,00:05:08.6,00:06:21.1,00:05:35.3
41,Andersson ,RC4,Scandinavia,00:04:47.5,00:11:11.8,00:08:21.8,00:05:09.5,00:04:42.7,00:10:53.9,00:08:10.9,00:05:04.0,00:05:27.5,00:04:58.1,00:06:09.7,00:05:31.4,00:05:22.0,00:04:54.9,00:06:11.8,00:05:38.2
44,Reiersen  ,RC4,Scandinavia,00:04:37.9,00:10:46.6,00:08:04.7,00:04:59.7,00:04:33.5,00:10:38.6,00:08:01.4,00:04:56.2,00:05:21.5,00:04:50.5,00:06:35.4,00:05:20.6,00:05:16.1,00:04:44.8,00:06:00.0,00:05:24.5
45,Hallberg  ,RC4,Scandinavia,00:04:43.3,00:10:53.3,00:08:09.2,00:05:02.0,00:04:36.0,00:10:40.5,00:07:59.0,00:04:56.2,00:05:25.9,00:04:55.9,00:06:04.3,00:05:26.0,00:05:17.4,00:04:48.0,00:05:58.9,00:05:25.2
46,Kreuter  N,RC4,Scandinavia,00:05:02.0,00:12:05.9,00:08:56.4,00:05:38.4,00:05:03.7,00:12:00.6,00:08:50.4,00:05:36.6,00:05:49.4,00:05:24.5,00:06:50.4,00:05:57.6,00:05:41.9,00:05:23.2,00:06:40.2,00:05:52.6
47,Åhlin  Fre,RC2,Scandinavia,00:04:22.9,00:22:59.9,00:17:17.2,00:14:29.4,00:14:09.4,00:19:34.8,00:17:09.6,00:14:24.4,00:04:54.1,00:04:28.5,00:05:35.2,00:04:53.5,00:04:46.5,00:04:22.5,00:05:27.1,00:04:51.5
48,Åkesson  J,RC2,Scandinavia,00:04:20.3,00:10:09.4,00:08:03.7,00:04:39.0,00:04:19.2,00:09:58.0,00:07:29.2,00:04:34.5,00:04:59.6,00:04:30.4,00:05:38.6,00:04:59.6,00:07:11.6,00:04:23.1,00:05:28.2,00:05:50.1
49,Lassila  L,RC4,Scandinavia,00:04:40.8,00:10:52.8,00:08:17.0,00:05:07.3,00:04:42.1,00:10:48.9,00:08:10.1,00:05:03.7,00:05:23.7,00:04:52.9,00:06:02.1,00:05:31.7,00:05:15.1,-,-,-
50,O'Brien  P,RC2,Scandinavia,00:04:36.1,00:10:43.5,00:08:06.9,00:05:00.6,00:04:36.3,00:10:33.4,00:07:50.1,00:04:51.5,00:05:08.6,00:05:11.2,00:06:02.1,00:05:25.5,00:05:01.5,00:04:45.6,00:05:48.7,00:05:06.9
