Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
22,#39,Johansson Mille  - Grönvall Johan Ford Fiesta Rally4,RC4,5:24.1,+39.3 +  1.2,100.1 4.36,12
23,#31,Daprà Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,5:25.0,+40.2 +  0.9,99.8 4.46,12
24,#50,O'Brien Patrick  - O'Brien Stephen Škoda Fabia R5,RC2,5:25.5,+40.7 +  0.5,99.6 4.52,12
25,#45,Hallberg Patrik  - Stigh John Ford Fiesta Rally4,RC4,5:26.0,+41.2 +  0.5,99.5 4.57,12
26,#28,Nore Ola Jr.  - Eilertsen Rune Renault Clio Rally4,RC4,5:27.0,+42.2 +  1.0,99.2 4.68,12
27,#35,Tiits Mark-Egert  - Viilo Jakko Ford Fiesta Rally4,RC4,5:27.1,+42.3 +  0.1,99.2 4.69,12
28,#32,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,5:29.0,+44.2 +  1.9,98.6 4.91,12
29,#20,Cuzma Bogdan  - Minor Ilka Škoda Fabia RS Rally2,RC2,5:30.1,+45.3 +  1.1,98.3 5.03,12
30,#12,László Martin  - Berendi Dávid Škoda Fabia Rally2 evo,RC2,5:31.3,+46.5 +  1.2,97.9 5.16,12
31,#41,Andersson Simon  - Jönsson J. Renault Clio Rally4,RC4,5:31.4,+46.6 +  0.1,97.9 5.17,12
32,#49,Lassila Leevi  - Lukka Mikko Ford Fiesta Rally4,RC4,5:31.7,+46.9 +  0.3,97.8 5.21,12
33,#21,Somaschini Rachele  - Arena Nicola Citroën C3 Rally2,RC2,5:32.6,+47.8 +  0.9,97.5 5.31,12
34,#40,Kramer A.  - Kvick Andersson J. Peugeot 208 Rally4,RC4,5:41.5,+56.7 +  8.9,95.0 6.29,12
35,#38,Spitalier Patrice  - Spitalier N. Peugeot 208 Rally4,RC4,5:52.4,+1:07.6 +  10.9,92.0 7.50,12
36,#46,Kreuter Norman  - Lade Maresa Peugeot 208 Rally4,RC4,5:57.6,+1:12.8 +  5.2,90.7 8.08,12
37,#37,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,6:10.5,+1:25.7 +  12.9,87.5 9.51,12
1,#5,Solberg Oliver  - Edmondson E. Volkswagen Polo GTI R5,RC2,4:39.6,,106.7,13
2,#6,Sesks Mārtiņš  - Francis R. Škoda Fabia RS Rally2,RC2,4:40.7,+1.1 +  1.1,106.3 0.13,13
3,#1,Paddon Hayden  - Kennard John Hyundai i20 N Rally2,RC2,4:41.3,+1.7 +  0.6,106.1 0.21,13
4,#8,Heikkilä Mikko  - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,4:42.7,+3.1 +  1.4,105.6 0.37,13
5,#18,Joona Lauri  - Hussi Janni Škoda Fabia RS Rally2,RC2,4:43.7,+4.1 +  1.0,105.2 0.49,13
5,#19,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia RS Rally2,RC2,4:43.7,+4.1 +  0.0,105.2 0.49,13
7,#47,Åhlin Fredrik  - Sjöberg Joakim Škoda Fabia R5,RC2,4:46.5,+6.9 +  2.8,104.2 0.83,13
8,#2,Østberg Mads  - Barth Patrik Citroën C3 Rally2,RC2,4:47.4,+7.8 +  0.9,103.8 0.94,13
9,#7,Franceschi M.  - Escartefigue J. Škoda Fabia Rally2 evo,RC2,4:48.5,+8.9 +  1.1,103.4 1.07,13
10,#23,Gustafsson Kalle  - Nilsson Magnus Ford Fiesta Rally2,RC2,4:49.2,+9.6 +  0.7,103.2 1.16,13
11,#10,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,4:49.7,+10.1 +  0.5,103.0 1.22,13
12,#9,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,4:49.9,+10.3 +  0.2,102.9 1.24,13
13,#4,Mabellini Andrea  - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,4:50.5,+10.9 +  0.6,102.7 1.31,13
14,#15,Battistolli A.  - Scattolin S. Škoda Fabia RS Rally2,RC2,4:51.9,+12.3 +  1.4,102.2 1.48,13
15,#17,Armstrong Jon  - Thulin Julia Ford Fiesta Rally2,RC2,4:52.6,+13.0 +  0.7,102.0 1.57,13
16,#12,László Martin  - Berendi Dávid Škoda Fabia Rally2 evo,RC2,5:00.3,+20.7 +  7.7,99.4 2.50,13
17,#50,O'Brien Patrick  - O'Brien Stephen Škoda Fabia R5,RC2,5:01.5,+21.9 +  1.2,99.0 2.64,13
18,#26,Creighton William  - Regan Liam Ford Fiesta Rally3,RC3,5:02.3,+22.7 +  0.8,98.7 2.74,13
19,#25,Al-Rashed Rakan  - Haapala Antti Škoda Fabia RS Rally2,RC2,5:06.0,+26.4 +  3.7,97.5 3.18,13
20,#31,Daprà Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,5:12.0,+32.4 +  6.0,95.7 3.91,13
21,#21,Somaschini Rachele  - Arena Nicola Citroën C3 Rally2,RC2,5:12.3,+32.7 +  0.3,95.6 3.94,13
22,#39,Johansson Mille  - Grönvall Johan Ford Fiesta Rally4,RC4,5:13.3,+33.7 +  1.0,95.3 4.07,13
23,#30,Maior Norbert  - Maior F. Peugeot 208 Rally4,RC4,5:13.6,+34.0 +  0.3,95.2 4.10,13
24,#49,Lassila Leevi  - Lukka Mikko Ford Fiesta Rally4,RC4,5:15.1,+35.5 +  1.5,94.7 4.28,13
25,#32,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,5:16.1,+36.5 +  1.0,94.4 4.40,13
25,#44,Reiersen Isak  - Karlsson Lucas Ford Fiesta Rally4,RC4,5:16.1,+36.5 +  0.0,94.4 4.40,13
27,#45,Hallberg Patrik  - Stigh John Ford Fiesta Rally4,RC4,5:17.4,+37.8 +  1.3,94.0 4.56,13
28,#28,Nore Ola Jr.  - Eilertsen Rune Renault Clio Rally4,RC4,5:18.0,+38.4 +  0.6,93.8 4.63,13
29,#20,Cuzma Bogdan  - Minor Ilka Škoda Fabia RS Rally2,RC2,5:19.7,+40.1 +  1.7,93.4 4.84,13
30,#35,Tiits Mark-Egert  - Viilo Jakko Ford Fiesta Rally4,RC4,5:20.0,+40.4 +  0.3,93.3 4.87,13
31,#41,Andersson Simon  - Jönsson J. Renault Clio Rally4,RC4,5:22.0,+42.4 +  2.0,92.7 5.11,13
32,#37,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,5:22.7,+43.1 +  0.7,92.5 5.20,13
33,#29,Hansen Victor  - Johansson Victor Peugeot 208 Rally4,RC4,5:24.0,+44.4 +  1.3,92.1 5.36,13
34,#40,Kramer A.  - Kvick Andersson J. Peugeot 208 Rally4,RC4,5:30.7,+51.1 +  6.7,90.2 6.16,13
35,#38,Spitalier Patrice  - Spitalier N. Peugeot 208 Rally4,RC4,5:36.0,+56.4 +  5.3,88.8 6.80,13
36,#46,Kreuter Norman  - Lade Maresa Peugeot 208 Rally4,RC4,5:41.9,+1:02.3 +  5.9,87.3 7.52,13
37,#48,Åkesson Jonas  - Bengtsson Maja Škoda Fabia R5,RC2,7:11.6,+2:32.0 +  1:29.7,69.1 18.3,13
1,#5,Solberg Oliver  - Edmondson E. Volkswagen Polo GTI R5,RC2,4:16.2,,133.8,14
2,#6,Sesks Mārtiņš  - Francis R. Škoda Fabia RS Rally2,RC2,4:18.5,+2.3 +  2.3,132.6 0.24,14
3,#18,Joona Lauri  - Hussi Janni Škoda Fabia RS Rally2,RC2,4:18.8,+2.6 +  0.3,132.4 0.27,14
