Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:05:29.7,114.98 0.00,00:00:00.0 00:00:00.0,16
2,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:05:30.3,114.77 0.06,00:00:00.6 00:00:00.6,16
3,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:30.6,114.66 0.09,00:00:00.9 00:00:00.3,16
4,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:33.9,113.53 0.40,00:00:04.2 00:00:03.3,16
5,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:34.2,113.43 0.43,00:00:04.5 00:00:00.3,16
6,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:05:39.5,111.66 0.93,00:00:09.8 00:00:05.3,16
7,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:05:45.5,109.72 1.50,00:00:15.8 00:00:06.0,16
8,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:48.4,108.81 1.78,00:00:18.7 00:00:02.9,16
9,20,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia Rally2 Evo,RC2,00:05:57.6,106.01 2.65,00:00:27.9 00:00:09.2,16
10,21,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia Rally2 Evo,RC2,00:06:02.9,104.46 3.15,00:00:33.2 00:00:05.3,16
11,22,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:06:07.7,103.09 3.61,00:00:38.0 00:00:04.8,16
12,23,Prokop  Martin  /  Jůrka  Zdeněk  Ford Fiesta Rally2 MkII,RC2,00:06:28.7,97.53 5.60,00:00:59.0 00:00:21.0,16
13,24,Kremer  Armin  /  Gottschalk  Timo  Škoda Fabia Rally2 Evo,RC2,00:06:32.9,96.48 6.00,00:01:03.2 00:00:04.2,16
14,27,Chwist  Daniel  /  Heller  Kamil  Škoda Fabia RS Rally2,RC2,00:06:42.8,94.11 6.94,00:01:13.1 00:00:09.9,16
15,26,Tundo  Carl  /  Jessop  Timothy  Škoda Fabia R5,RC2,00:06:45.4,93.51 7.19,00:01:15.7 00:00:02.6,16
16,25,Patel  Karan  /  Khan  Tauseef  Ford Fiesta R5,RC2,00:06:49.7,92.53 7.60,00:01:20.0 00:00:04.3,16
17,34,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,00:07:19.5,86.25 10.43,00:01:49.8 00:00:29.8,16
18,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:07:20.8,86.00 10.55,00:01:51.1 00:00:01.3,16
19,30,Virani  Aakif  /  Bhatti  Azhar  Škoda Fabia R5,RC2,00:07:26.2,84.96 11.06,00:01:56.5 00:00:05.4,16
20,32,Singh Vohra  S.  /  Khan  Alfir  Škoda Fabia Rally2 Evo,RC2,00:07:27.1,84.79 11.15,00:01:57.4 00:00:00.9,16
21,38,Bailey  Jason  /  Willetts  James  Ford Fiesta Rally3,RC3,00:07:29.1,84.41 11.34,00:01:59.4 00:00:02.0,16
22,41,Nzioka  Evans  /  Aswani  Absalom  Mitsubishi Lancer Evo X,,00:07:36.0,83.13 11.99,00:02:06.3 00:00:06.9,16
23,37,Kimathi  McRae  /  Kioni  Mwangi  Ford Fiesta Rally3,RC3,00:07:40.1,82.39 12.38,00:02:10.4 00:00:04.1,16
24,45,Rathod  Minesh  /  Mactavish  Jamie  Mitsubishi Lancer Evo X,,00:08:30.5,74.26 17.17,00:03:00.8 00:00:50.4,16
25,44,Sachania  Nikhil  /  Patel  Deep  Mitsubishi Lancer Evo X,,00:08:37.8,73.21 17.86,00:03:08.1 00:00:07.3,16
