Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
12,#26,Tundo Carl  - Jessop Tim Škoda Fabia R5,RC2,10:01.9,+1:41.3 +  8.1,90.2 6.72,12
13,#24,Kremer Armin  - Gottschalk Timo Škoda Fabia Rally2 evo,RC2,10:03.1,+1:42.5 +  1.2,90.0 6.80,12
14,#25,Patel Karan  - Khan Tauseef Ford Fiesta R5,RC2,10:18.6,+1:58.0 +  15.5,87.8 7.82,12
15,#29,Vassilakis George  - Krawszik Tom Ford Fiesta Rally2,RC2,11:09.5,+2:48.9 +  50.9,81.1 11.2,12
16,#34,Domínguez Diego Jr.  - Peñate R. Ford Fiesta Rally3,RC3,11:41.5,+3:20.9 +  32.0,77.4 13.3,12
17,#44,Sachania Nikhil  - Patel Deep Mitsubishi Lancer Evo X,NAT NR4,11:44.9,+3:24.3 +  3.4,77.0 13.6,12
18,#45,Rathod Minesh  - Mactavish Jamie Mitsubishi Lancer Evo X,NAT NR4,11:58.5,+3:37.9 +  13.6,75.6 14.5,12
19,#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1  [SR],RC1 M,18:20.6 [N],+10:00.0 +  6:22.1,49.3 39.8,12
20,#22,Munster Grégoire  - Louka Louis Ford Fiesta Rally2  [SR],RC2,18:57.9 [N],+10:37.3 +  37.3,47.7 42.3,12
20,#27,Chwist Daniel  - Heller Kamil Škoda Fabia RS Rally2  [SR],RC2,18:57.9 [N],+10:37.3 +  0.0,47.7 42.3,12
20,#30,Virani Aakif  - Bhatti Azhar Škoda Fabia R5  [SR],RC2,18:57.9 [N],+10:37.3 +  0.0,47.7 42.3,12
20,#32,Singh Vohra Samman  - Khan Alfir Škoda Fabia Rally2 evo  [SR],RC2,18:57.9 [N],+10:37.3 +  0.0,47.7 42.3,12
24,#36,Wahome Jeremiah  - Okundi Victor Ford Fiesta Rally3  [SR],RC3,21:41.5 [N],+13:20.9 +  2:43.6,41.7 53.1,12
24,#37,Kimathi McRae  - Kioni Mwangi Ford Fiesta Rally3  [SR],RC3,21:41.5 [N],+13:20.9 +  0.0,41.7 53.1,12
24,#38,Bailey Jason  - Willetts Jamie Ford Fiesta Rally3  [SR],RC3,21:41.5 [N],+13:20.9 +  0.0,41.7 53.1,12
27,#41,Nzioka Evans  - Aswani Absalom Mitsubishi Lancer Evo X  [SR],NAT NR4,21:44.9 [N],+13:24.3 +  3.4,41.6 53.3,12
