,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12
#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,3:18.3,14:07.8,6:49.7,15:22.7,13:58.6,6:47.7,15:07.9,17:56.8,8:27.6,18:01.2,-,-
#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1  [SR],RC1 M,-,-,-,-,-,-,-,-,-,-,27:23.4 [N],18:20.6 [N]
#40,Davite Giancarlo  - Vindevogel S. Ford Fiesta R5,RC2,4:26.8,18:09.5,8:57.8,20:44.8,16:57.8,9:50.8,-,22:22.3,10:57.8,24:16.4,22:09.4,-
#40,Davite Giancarlo  - Vindevogel S. Ford Fiesta R5  [SR],RC2,-,-,-,-,-,-,27:12.2 [N],-,-,-,-,-
#41,Nzioka Evans  - Aswani Absalom Mitsubishi Lancer Evo X,NAT NR4,3:51.0,17:13.3,9:04.2,20:20.7,17:30.4,9:28.1,22:25.8,38:43.4,-,-,-,-
#41,Nzioka Evans  - Aswani Absalom Mitsubishi Lancer Evo X  [SR],NAT NR4,-,-,-,-,-,-,-,-,21:47.2 [N],34:49.9 [N],34:06.2 [N],21:44.9 [N]
#44,Sachania Nikhil  - Patel Deep Mitsubishi Lancer Evo X,NAT NR4,3:50.8,18:49.0,9:33.0,21:39.3,18:47.9,9:40.0,23:14.4,24:58.8,11:51.2,25:49.1,24:06.2,11:44.9
#45,Rathod Minesh  - Mactavish Jamie Mitsubishi Lancer Evo X,NAT NR4,4:00.3,19:13.6,10:24.8,-,-,-,-,23:30.7,11:47.2,24:49.9,25:11.4,11:58.5
#45,Rathod Minesh  - Mactavish Jamie Mitsubishi Lancer Evo X  [SR],NAT NR4,-,-,-,30:20.7 [N],27:30.4 [N],19:28.1 [N],32:25.8 [N],-,-,-,-,-
#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,3:20.2,14:02.0,6:56.7,15:14.4,14:01.6,6:52.8,15:29.4,18:12.7,8:32.5,18:27.2,17:46.0,8:30.0
#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,3:16.7,13:57.8,6:53.0,14:52.4,14:05.5,6:49.1,15:07.0,17:37.6,8:25.2,17:57.7,17:29.8,8:26.4
#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,3:22.3,14:24.5,6:57.5,15:30.4,16:36.0,6:56.1,17:56.8,19:23.3,8:53.1,19:41.3,18:17.5,8:42.9
#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,3:14.3,14:05.5,6:59.0,17:05.0,14:00.4,6:51.9,15:25.9,18:04.9,8:32.7,18:41.4,19:48.7,8:42.4
#9,Serderidis Jourdan  - Malfoy Andy Ford Puma Rally1,RC1,3:25.6,15:17.9,7:48.0,17:19.9,15:08.5,7:36.1,17:38.1,20:31.4,9:14.6,20:54.4,21:40.7,-
