,,,ss_time,ss_time,ss_time
ss,,,1,2,3
No,Crew,Gr/Cl,,,
#10,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C5 F2,11:28.96,11:25.23,11:05.83
#101,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3 2000,11:43.62,11:46.23,11:17.37
#102,Halkias Efthimios  - Komnos Nikos Nissan Violet GT,3 2000,11:50.72,12:00.95,-
#103,Paradissis Giorgos  - Stergiou P. Ford Escort RS 1800 MKII,3 2000,11:49.46,11:33.92,11:36.45
#104,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 1600,11:56.23,11:44.33,11:34.25
#105,Koutsikos P.  - Petropoulos N. Toyota Starlet KP60,4 1300,12:14.76,12:16.67,11:48.34
#106,Christodoulou A.  - Samaras A. Lancia 037 Rally,4,11:39.13,11:19.53,11:21.03
#107,Kassidopoulos G.  - Babalis N. Toyota Starlet KP60,3 1300,12:20.38,12:13.26,11:59.54
#108,Melas D.  - Vardaxis S. Porsche 911 Carrera 3.0,2,12:52.65,11:56.90,11:45.55
#109,Dedegikas Spiros  - Mountzouris A. Ford Escort RS 1800 MKII,3 2000,12:59.34,12:24.99,11:39.65
#11,Panteli Chrysostomos  - Kougias V. Peugeot 208 R2,C5 F2,10:43.31,10:26.00,10:20.36
#110,Kansos P.  - Grigoropoulos A. Volkswagen Golf II GTi 16V,4 2000,13:50.90,13:58.38,13:58.39
#111,Vassilopoulos P.  - Stathakos D. Ford Escort MK1,2 2000,12:27.93,12:33.67,12:40.12
#112,Kofinas Konstantinos  - Kofinas A. Toyota Corolla 1600 GT 2 Door AE86,4 1600,13:08.35,12:35.86,12:30.08
#113,Papandreou A.  - Rizopoulos D. Toyota Starlet KP61,4 1300,13:14.79,-,-
#114,Dodos Giorgos  - Intzoglou Nikos Nissan Pulsar,4 1600,12:50.51,12:28.14,12:38.71
#12,Antoniou K.  - Bourazas E. Ford Escort MK2,C3 F2,11:09.57,10:52.64,12:26.82
#14,Basdelis Andreas  - Zotiadis K. Volkswagen Golf II,C3 F2,12:02.94,11:42.22,11:23.80
#15,Christodoulou A.  - Karanikolas E. Mitsubishi Lancer Evo IX,C2,11:17.38,10:47.48,10:42.73
#16,Rigas Giorgos  - Mougios Theodoros Ford Escort MK2,C3 F2,11:42.00,-,-
#17,Chatzigakis G.  - Chatzigakis C. Ford Escort MK2,C3 F2,11:30.67,11:11.36,11:13.21
#18,Kalamaras Teo  - Psaraki Vicky Renault Clio RS,C3 F2,12:07.97,11:39.03,11:45.18
#19,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,11:52.15,11:21.04,11:21.12
#2,Panteli Petros  - Laos Pambos Citroën DS3 R5,C1,9:59.66,9:46.60,9:50.43
#20,Mavraganis A.  - Chreppas N. Toyota Corolla AE92,C4 F2,12:32.43,12:00.17,11:47.57
#21,Athanasoulas S.  - Basioukas V. Ford Fiesta Rally4,C5 F2,11:50.80,11:20.89,11:18.87
#22,Koutsoukos A.  - Kotsopoulos A. Toyota Starlet EP91,C4 F2,12:56.82,12:25.30,12:16.34
#23,Avgeris Giorgos  - Andritsakis K. Seat Ibiza 2.0 GTi 16V,C3 F2,12:11.49,-,-
#24,Papadopoulos Ioannis  - Ahtidas E. Peugeot 206 XS,C5 F2,14:21.44,12:40.19,-
#25,Manouskos Elias  - Manouskos N. Toyota Yaris,C6 F2,12:22.66,11:29.04,11:22.25
#26,Bakas Alexandros  - Massialas V. Ford Fiesta R2,C5 F2,12:50.75,-,-
#27,Delaportas Giorgos  - Panaritis E. Ford Fiesta R2,C5 F2,11:38.46,10:56.80,10:57.52
#28,Amoutzas Giorgos  - Eliopoulos G. Renault Clio RS,C3 F2,11:22.10,10:56.35,11:13.25
#29,Gazetas D.  - Papadimitriou K. Toyota Yaris,C6 F2,12:17.30,11:40.50,-
#3,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,9:28.07,9:19.87,9:24.22
#30,Giannakopoulos I.  - Foteinogiannopoulos I. Toyota Yaris,C6 F2,12:29.18,24:00.00,-
#31,Englezos T.  - Grigoriadis K. Toyota Yaris,C6 F2,12:35.50,11:37.02,12:05.14
#32,Kourtessis Haralambos  - Moukas E. Nissan Micra K11,C6 F2,12:52.31,12:12.39,12:02.98
#33,Kotsadam Lambros  - Kotsadam N. Toyota Starlet EP91,C6 F2,12:45.15,11:58.85,12:07.38
#34,Kanellopoulos A.  - Spirou K. Peugeot 208 Rally4,C5 F2,12:44.07,11:39.05,11:40.08
#35,Ita Vita  - Synetos Konstantinos Citroën Saxo VTS,C5 F2,14:24.60,21:53.87,-
#36,Pavli Marialena  - Papadaki V. Nissan Micra K11,C6 F2,12:45.35,12:36.83,12:26.85
#37,Berssis Evangelos  - Exarchos K. Toyota Hilux,T,11:53.07,11:41.66,-
#38,Vorrias Ioannis  - Sioutis Petros Mitsubishi Pajero Evolution,T1,12:20.93,11:31.16,-
#4,Paradissis P.  - Poimenidis K. Mitsubishi Lancer Evo IX,C2,10:24.29,10:10.07,10:05.54
#5,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,17:00.77,10:15.80,10:11.20
#6,Xanthakos M.  - Karathanassis N. Subaru Impreza STi N12,C2,11:47.60,14:03.34,-
#7,Davaris Nikos  - Makrinos Manolis Mitsubishi Lancer Evo IX,C2,11:08.30,10:56.41,10:54.67
#9,Tsakalos Theodoros  - Kotronis A. Ford Fiesta R2,C5 F2,10:54.93,10:46.44,10:38.32
