Pos.,No,Crew,Vehicle,GR,Cl,infos,time,ss
35,26,Yfantis Vassileios Mountzouris Aris,Ford Escort RS 2000 MKII,C3,E11,4:22.74  88.10 k/n'h,4:22.74,1
36,106,Manoussaridis Harris Papageorgiou Giorgos,Ford Escort RS 2000 MKII,C3,E11,4:24.09  87.65 km'h,4:24.09,1
14,117,Kotsopoulos Antonis Kollias Ioannis,Volkswagen Golf II GTi,4,E3,4:28.34  86.26 km/h,4:28.34,1
15,109,Kassidopoulos Giorgos Pallas Apostolos,Toyota Corolla AE86,4,E2,4:30.21  85.67 km/h,4:30.21,1
16,113,Vassilopoulos Petros Stathakos Dimitris,Ford Escort MK1,2,C3,4:39.26  82.89 km/h,4:39.26,1
17,119,Antonopoulos Pantelis Kallitsi Maria,Ford Escort RS 2000 MKII,3,D3,4:52.48  79.14 km/h,4:52.48,1
37,36,Andrikopoulos Panagiotis Andrikopoulos Filippos,Peugeot 206,C5,A6,4:53.13  78 97 knVh,4:53.13,1
18,118,Kansos Patroklos Grigoropoulos Andreas,Volkswagen Golf II GTi 16V,4,E3,5:10.20  74.62 km/h,5:10.20,1
1,3,Papadimitriou Ioannis Petropoulos Nikolaos,Škoda Fabia Rally2 evo,C1,R5R2,10:58.94  101.73 knvh,10:58.94,2
2,2,Kehagias Giorgos Kouzionis Christos,Škoda Fabia Rally2 evo,C1,R5R2,11:27.41  97.51 knvh,11:27.41,2
3,5,Panteli Petros Laos Pambos,Citroën DS3 R5,C1,R5R2,11:42.42  95.43 knvh,11:42.42,2
4,4,Serderidis Jourdan Malfoy Andy,Škoda Fabia Rally2 evo,C1,R5R2,11:48.13  94.66 knvh,11:48.13,2
5,7,Kirkos Panagiotis Polizois Giorgos,Mitsubishi Lancer Evo IX,C2,N4,11:55.73  9386 knvh,11:55.73,2
6,14,Polykarpou Panikos Votsis George,Peugeot 208 Rally4,C5,R4B,12:00.35  93.05 knvh,12:00.35,2
7,12,Chatzimarkos Paschalis Tsaousoglou Marios,Peugeot 208 Rally4,C5,R4B,12:13.44  91 39 knvh,12:13.44,2
8,11,Lefkaditis Savvas Akratos Evangelos,Peugeot 208 Rally4,C5,R4B,12:18.39  90.78 knvh,12:18.39,2
9,8,"""JJ"" Stefanis Konstantinos",Škoda Fabia R5,C1,R5R2,12:23.89  90.11 knvh,12:23.89,2
10,16,Dimopoulos Antonis Skaltsas Efthimios,Toyota Starlet KP60,C4,E10,12:41.18  88.06 knvh,12:41.18,2
11,6,Nicolaou Phivos Zakou Savvas,Mitsubishi Lancer Evo IX,C2,N4,12:43.40  8781 knvh,12:43.40,2
12,21,Amoutzas Giorgos Eliopoulos Giorgos,Renault Clio RS,C3,A7,12:58.77  86.07 knvh,12:58.77,2
13,19,Zygogiannis Konstantinos Tsellos Nikolaos,Mitsubishi Lancer Evo IX,C2,N4,13:06.27  8525 knvh,13:06.27,2
14,18,Stamatopoulos Fotis Sainis Dimitris,Mitsubishi Lancer Evo IX,C2,N4,13:17.94  84.01 knvh,13:17.94,2
1,101,Halivelakis Alexandros Papageorgiou Athanasios,Ford Escort RS 2000 MKII,3,D3,13:19.07  83.89 km/h,13:19.07,2
15,28,Giotis Ioannis Farmakis Chrístos,Hyundai Accent,C4,E10,13:21.45  83.64 knvh,13:21.45,2
16,9,Vassilakis George Krawszik Tom,Ford Fiesta R5,C1,R5R2,13:23.52  83.42 knvh,13:23.52,2
2,102,Christodoulou Alexandros Samaras Athanassios,Lancia 037 Rally,4,E6,13:32.91  82.46 km/h,13:32.91,2
17,22,Delaportas Giorgos Panaritis Evangelos,Ford Fiesta Rally4,C5,R4B,13:37.28  82.02 knvh,13:37.28,2
18,27,Milonas Konstantinos Paraperas Nikolaos,Toyota Corolla FX AE101,C4,E10,13:46.37  81.12 knvh,13:46.37,2
19,25,Chatzigakis Giorgos Tolias Ioannis,Ford Escort MK2,C3,E11,13:46.39  81.11 knvh,13:46.39,2
3,107,Papadimitriou Konstantinos Sigalas Manos,Toyota Starlet EP71 Turbo,4,E3,13:47.05  81.05 km/h,13:47.05,2
20,15,Davaris Nikos Makrinos Manolis,Mitsubishi Lancer Evo IX,C2,N4,13:50.36  80 73 knvh,13:50.36,2
4,103,Paradissis Giorgos Stergiou Ploutarchos,Ford Escort RS 2000 MKII,3,D3,13:56.64  80.12 km/h,13:56.64,2
21,23,Halkias Efthimios Komnos Nikos,Nissan Violet,C3,E11,13:59.96  7980 knvh,13:59.96,2
5,112,Melas Dimitris-Pavlos Vardaxis Stathis,Porsche 911,2,C5,14:00.07  79.79 km/h,14:00.07,2
22,1,Tsouloftas Alexandros Elia Stelios,Volkswagen Polo GTI R5,C1,R5R2,14:00.45  79.76 knvh,14:00.45,2
23,34,Panagiotopoulos Manolis Dikopoulou Chrissoula,Toyota Yaris,C6,A5,14:02.34  79.58 knvh,14:02.34,2
6,104,Amaxopoulos Dimitrios Moraiti Hara,Toyota Corolla KE30,2,C2,14:03.74  79.45 km/h,14:03.74,2
24,24,Rigas Giorgos Georgiadis Ioannis,Ford Escort MK2,C3,E11,14:04.36  7939 knvh,14:04.36,2
