Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
20,#19,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,11:52.15,+2:24.08 +  1.35,60.5 12.0,1
21,#37,Berssis Evangelos  - Exarchos K. Toyota Hilux,T,11:53.07,+2:25.00 +  0.92,60.4 12.1,1
22,#104,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2,11:56.23,+2:28.16 +  3.16,60.2 12.4,1
23,#14,Basdelis Andreas  - Zotiadis K. Volkswagen Golf II,C3 F2,12:02.94,+2:34.87 +  6.71,59.6 12.9,1
24,#18,Kalamaras Teo  - Psaraki Vicky Renault Clio RS,C3 F2,12:07.97,+2:39.90 +  5.03,59.2 13.4,1
25,#23,Avgeris Giorgos  - Andritsakis K. Seat Ibiza 2.0 GTi 16V,C3 F2,12:11.49,+2:43.42 +  3.52,58.9 13.7,1
26,#105,Koutsikos P.  - Petropoulos N. Toyota Starlet,4,12:14.76,+2:46.69 +  3.27,58.6 13.9,1
27,#29,Gazetas D.  - Papadimitriou K. Toyota Yaris,C6 F2,12:17.30,+2:49.23 +  2.54,58.4 14.1,1
28,#107,Kassidopoulos G.  - Babalis N. Toyota Starlet,3,12:20.38,+2:52.31 +  3.08,58.2 14.4,1
29,#38,Vorrias Ioannis Mitsubishi Pajero Evolution,T1,12:20.93,+2:52.86 +  0.55,58.2 14.4,1
30,#25,Manouskos Elias  - Manouskos N. Toyota Yaris,C6 F2,12:22.66,+2:54.59 +  1.73,58.0 14.6,1
31,#111,Vassilopoulos P.  - Stathakos D. Ford Escort MK1,2,12:27.93,+2:59.86 +  5.27,57.6 15.0,1
32,#30,Giannakopoulos I.  - Foteinogiannopoulos I. Toyota Yaris,C6 F2,12:29.18,+3:01.11 +  1.25,57.5 15.1,1
33,#20,Mavraganis A.  - Chreppas N. Toyota Corolla AE92,C4 F2,12:32.43,+3:04.36 +  3.25,57.3 15.4,1
34,#31,Englezos T.  - Grigoriadis K. Toyota Yaris,C6 F2,12:35.50,+3:07.43 +  3.07,57.0 15.7,1
35,#34,Kanellopoulos A.  - Spirou K. Peugeot 208 Rally4,C5 F2,12:44.07,+3:16.00 +  8.57,56.4 16.4,1
36,#33,Kotsadam Lambros  - Kotsadam N. Toyota Starlet EP91,C6 F2,12:45.15,+3:17.08 +  1.08,56.3 16.5,1
37,#114,Dodos Giorgos  - Intzoglou Nikos Nissan Sunny,4,12:50.51,+3:22.44 +  5.36,55.9 16.9,1
38,#108,Melas D.  - Vardaxis S. Porsche 911,2,12:52.65,+3:24.58 +  2.14,55.8 17.1,1
39,#109,Dedegikas Spiros  - Mountzouris A. Ford Escort MK2,3,12:59.34,+3:31.27 +  6.69,55.3 17.7,1
40,#112,Kofinas Konstantinos  - Kofinas A. Toyota Corolla AE86,4,13:08.35,+3:40.28 +  9.01,54.7 18.4,1
41,#113,Papandreou A.  - Rizopoulos D. Toyota Starlet KP61,4,13:14.79,+3:46.72 +  6.44,54.2 18.9,1
42,#110,Kansos P.  - Grigoropoulos A. Volkswagen Golf II,4,13:50.90,+4:22.83 +  36.11,51.9 22.0,1
1,#3,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,9:19.87,,77.0,2
2,#2,Panteli Petros  - Laos Pambos Citroën DS3 R5,C1,9:46.60,+26.73 +  26.73,73.5 2.23,2
3,#4,Paradissis P.  - Poimenidis K. Mitsubishi Lancer Evo IX,C2,10:10.07,+50.20 +  23.47,70.6 4.19,2
4,#11,Panteli Chrysostomos  - Kougias V. Peugeot 208 R2,C5 F2,10:26.00,+1:06.13 +  15.93,68.8 5.52,2
5,#9,Tsakalos Theodoros  - Kotronis A. Ford Fiesta R2,C5 F2,10:46.44,+1:26.57 +  20.44,66.7 7.23,2
6,#15,Christodoulou A.  - Karanikolas E. Mitsubishi Lancer Evo IX,C2,10:47.48,+1:27.61 +  1.04,66.6 7.32,2
7,#12,Antoniou K.  - Bourazas E. Ford Escort MK2,C3 F2,10:52.64,+1:32.77 +  5.16,66.0 7.75,2
8,#28,Amoutzas Giorgos  - Eliopoulos G. Renault Clio RS,C3 F2,10:56.35,+1:36.48 +  3.71,65.7 8.06,2
9,#7,Davaris Nikos  - Makrinos Manolis Mitsubishi Lancer Evo IX,C2,10:56.41,+1:36.54 +  0.06,65.6 8.07,2
10,#27,Delaportas Giorgos  - Panaritis E. Ford Fiesta R2,C5 F2,10:56.80,+1:36.93 +  0.39,65.6 8.10,2
11,#17,Chatzigakis G.  - Chatzigakis C. Ford Escort MK2,C3 F2,11:11.36,+1:51.49 +  14.56,64.2 9.31,2
12,#106,Christodoulou A.  - Samaras A. Lancia 037 Rally,4,11:19.53,+1:59.66 +  8.17,63.4 10.0,2
13,#21,Athanasoulas S.  - Basioukas V. Ford Fiesta Rally4,C5 F2,11:20.89,+2:01.02 +  1.36,63.3 10.1,2
14,#19,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,11:21.04,+2:01.17 +  0.15,63.3 10.1,2
15,#10,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C5 F2,11:25.23,+2:05.36 +  4.19,62.9 10.5,2
16,#25,Manouskos Elias  - Manouskos N. Toyota Yaris,C6 F2,11:29.04,+2:09.17 +  3.81,62.5 10.8,2
17,#103,Paradissis Giorgos  - Stergiou P. Ford Escort RS 1800 MKII,3,11:33.92,+2:14.05 +  4.88,62.1 11.2,2
18,#31,Englezos T.  - Grigoriadis K. Toyota Yaris,C6 F2,11:37.02,+2:17.15 +  3.10,61.8 11.5,2
19,#18,Kalamaras Teo  - Psaraki Vicky Renault Clio RS,C3 F2,11:39.03,+2:19.16 +  2.01,61.6 11.6,2
20,#34,Kanellopoulos A.  - Spirou K. Peugeot 208 Rally4,C5 F2,11:39.05,+2:19.18 +  0.02,61.6 11.6,2
21,#29,Gazetas D.  - Papadimitriou K. Toyota Yaris,C6 F2,11:40.50,+2:20.63 +  1.45,61.5 11.8,2
22,#14,Basdelis Andreas  - Zotiadis K. Volkswagen Golf II,C3 F2,11:42.22,+2:22.35 +  1.72,61.4 11.9,2
23,#104,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2,11:44.33,+2:24.46 +  2.11,61.2 12.1,2
