Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
41,#112,Lambrou Karolos  - Kollias Ioannis Alpine-Renault A110 1300,1,10:47.98,+3:07.08 +  9.41,60.2 17.3,1
42,#114,Melas D.  - Vardaxis S. Porsche 911,3,10:48.61,+3:07.71 +  0.63,60.1 17.3,1
43,#43,Pavli Marialena  - Papadaki V. Nissan Micra K11,C6 F2,10:50.79,+3:09.89 +  2.18,59.9 17.5,1
44,#42,Mitsias M.  - Petropoulos N. Renault Clio RS,C3 F2,10:54.46,+3:13.56 +  3.67,59.6 17.9,1
45,#33,Mavraganis Aristeidis  - Katsas A. Toyota Corolla AE92,C4 F2,10:57.69,+3:16.79 +  3.23,59.3 18.2,1
46,#118,Karagrigoris A.  - Karathanassis K. Toyota Corolla AE86,4,11:05.03,+3:24.13 +  7.34,58.6 18.9,1
47,#30,Kanellopoulos A.  - Tsadaris N. Peugeot 208 Rally4,C5 F2,11:08.81,+3:27.91 +  3.78,58.3 19.2,1
48,#35,Papadopoulos Ioannis  - Ahtidas E. Peugeot 206 XS,C5 F2,11:14.64,+3:33.74 +  5.83,57.8 19.7,1
49,#32,Kokkinos Stelios  - Kokkinos P. Toyota Starlet 1300 KP61,C4 F2,11:24.74,+3:43.84 +  10.10,56.9 20.7,1
50,#121,Vassilopoulos P.  - Stathakos D. Ford Escort MK1,2,11:38.52,+3:57.62 +  13.78,55.8 21.9,1
51,#39,Kourtessis Haralambos  - Pappas N. Nissan Micra K11,C6 F2,11:41.56,+4:00.66 +  3.04,55.6 22.2,1
52,#116,Kotsopoulos A.  - Verikakis K. Volkswagen Golf II GTi,4 2000,11:47.28,+4:06.38 +  5.72,55.1 22.8,1
53,#117,Kansos P.  - Grigoropoulos A. Volkswagen Golf II GTi 16V,4,12:02.56,+4:21.66 +  15.28,54.0 24.2,1
54,#34,Gerodimos Giorgos  - Grigoriou S. Ford Fiesta R1,C6 F2,12:07.95,+4:27.05 +  5.39,53.6 24.7,1
55,#3,Velanis Vassileios  - Velanis I. Škoda Fabia R5,C1,12:13.31,+4:32.41 +  5.36,53.2 25.2,1
56,#120,Mathios Nikolaos  - Zelianeos L. Toyota Starlet 1300 KP61,3,14:17.15,+6:36.25 +  2:03.84,45.5 36.6,1
57,#28,Karotsieris Andreas  - Stergiou A. Peugeot 208 R2,C5 F2,15:43.22,+8:02.32 +  1:26.07,41.3 44.5,1
1,#1,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,5:25.78,,121.3,2
2,#2,Kehagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,5:36.61,+10.83 +  10.83,117.4 0.99,2
3,#4,Chatzimarkos P.  - Tsaousoglou M. Škoda Fabia R5,C1,5:48.87,+23.09 +  12.26,113.3 2.10,2
4,#5,Panteli Petros  - Laos Pambos Citroën DS3 R5,C1,5:59.46,+33.68 +  10.59,110.0 3.07,2
5,#7,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,6:06.45,+40.67 +  6.99,107.9 3.70,2
6,#6,Paradissis P.  - Fragkou M. Mitsubishi Lancer Evo IX,C2,6:11.22,+45.44 +  4.77,106.5 4.14,2
7,#20,Lefkaditis Savvas  - Akratos E. Peugeot 208 Rally4,C5 F2,6:19.13,+53.35 +  7.91,104.3 4.86,2
8,#8,Davaris Nikos  - Makrinos Manolis Mitsubishi Lancer Evo IX,C2,6:48.64,+1:22.86 +  29.51,96.7 7.55,2
9,#19,Chatzigakis G.  - Chatzigakis C. Ford Escort MK2,C3 F2,6:51.80,+1:26.02 +  3.16,96.0 7.83,2
10,#27,Tsakalos Theodoros  - Kotronis A. Ford Fiesta R2,C5 F2,6:53.13,+1:27.35 +  1.33,95.7 7.96,2
11,#23,Sassos  - Vavas Theodoros Peugeot 206,C5 F2,6:55.39,+1:29.61 +  2.26,95.2 8.16,2
12,#105,Stafilopatis M.  - Chatzirigas G. Ford Escort RS 1800 MKII,3,6:56.23,+1:30.45 +  0.84,95.0 8.24,2
13,#26,Panoutsos T.  - Stavropoulos D. Ford Fiesta R2,C5 F2,6:58.71,+1:32.93 +  2.48,94.4 8.46,2
14,#22,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C5 F2,6:59.21,+1:33.43 +  0.50,94.3 8.51,2
15,#12,Xanthakos M.  - Karathanassis N. Subaru Impreza STi N12,C2,6:59.82,+1:34.04 +  0.61,94.2 8.56,2
16,#21,Milonas K.  - Paraperas N. Toyota Corolla FX AE101,C4 F2,7:00.16,+1:34.38 +  0.34,94.1 8.60,2
17,#18,Antoniou K.  - Bourazas E. Ford Escort MK2,C3 F2,7:04.00,+1:38.22 +  3.84,93.2 8.95,2
18,#28,Karotsieris Andreas  - Stergiou A. Peugeot 208 R2,C5 F2,7:06.15,+1:40.37 +  2.15,92.8 9.14,2
19,#101,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3 2000,7:07.18,+1:41.40 +  1.03,92.5 9.23,2
20,#9,Simetra  - Pallas Apostolos Mitsubishi Lancer Evo IX,C2,7:07.25,+1:41.47 +  0.07,92.5 9.24,2
21,#103,Halkias Efthimios  - Komnos Nikos Nissan Sunny,4,7:07.27,+1:41.49 +  0.02,92.5 9.24,2
22,#29,Athanasoulas S.  - Basioukas V. Ford Fiesta Rally4,C5 F2,7:08.64,+1:42.86 +  1.37,92.2 9.37,2
23,#104,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 1600,7:13.54,+1:47.76 +  4.90,91.2 9.81,2
24,#36,Gazetas Dionissis  - Kontos Nikos Toyota Yaris,C6 F2,7:14.69,+1:48.91 +  1.15,90.9 9.92,2
25,#109,Kyriakopoulos G.  - Tripintis D. Peugeot 205,4,7:15.57,+1:49.79 +  0.88,90.8 10.0,2
26,#32,Kokkinos Stelios  - Kokkinos P. Toyota Starlet 1300 KP61,C4 F2,7:21.56,+1:55.78 +  5.99,89.5 10.5,2
27,#102,Paradissis Giorgos  - Bogdanos S. Ford Escort RS 1800 MKII,3,7:25.23,+1:59.45 +  3.67,88.8 10.9,2
28,#37,Agelis Elias  - Kougias Vassileios Toyota Yaris,C6 F2,7:29.79,+2:04.01 +  4.56,87.9 11.3,2
29,#25,Basdelis Andreas  - Zotiadis K. Volkswagen Golf II,C3 F2,7:29.82,+2:04.04 +  0.03,87.9 11.3,2
30,#113,Papadimitriou K.  - Sigalas M. Toyota Starlet EP71,4,7:31.07,+2:05.29 +  1.25,87.6 11.4,2
31,#111,Nomikos Mihalis  - Trovas K. Toyota Starlet KP60,4,7:31.27,+2:05.49 +  0.20,87.6 11.4,2
32,#33,Mavraganis Aristeidis  - Katsas A. Toyota Corolla AE92,C4 F2,7:32.03,+2:06.25 +  0.76,87.4 11.5,2
33,#115,Georgakopoulos K.  - Kontos K. Toyota Corolla 1600 GT 2 Door AE86,4 1600,7:32.13,+2:06.35 +  0.10,87.4 11.5,2
34,#15,Lymperis A.  - Karagounis E. Subaru Impreza STi N12,C2,7:34.17,+2:08.39 +  2.04,87.0 11.7,2
35,#24,Kalamaras Teo  - Psaraki Vicky Renault Clio RS,C3 F2,7:35.08,+2:09.30 +  0.91,86.9 11.8,2
36,#44,Berssis Evangelos  - Kalfas P. Toyota Hilux,T1,7:37.84,+2:12.06 +  2.76,86.3 12.0,2
37,#114,Melas D.  - Vardaxis S. Porsche 911,3,7:39.51,+2:13.73 +  1.67,86.0 12.2,2
38,#34,Gerodimos Giorgos  - Grigoriou S. Ford Fiesta R1,C6 F2,7:42.96,+2:17.18 +  3.45,85.4 12.5,2
39,#41,Englezos T.  - Grigoriadis K. Toyota Yaris,C6 F2,7:42.99,+2:17.21 +  0.03,85.4 12.5,2
40,#38,Giannakopoulos I.  - Foteinogiannopoulos I. Toyota Yaris,C6 F2,7:47.65,+2:21.87 +  4.66,84.5 12.9,2
41,#39,Kourtessis Haralambos  - Pappas N. Nissan Micra K11,C6 F2,7:50.98,+2:25.20 +  3.33,83.9 13.2,2
42,#30,Kanellopoulos A.  - Tsadaris N. Peugeot 208 Rally4,C5 F2,7:51.29,+2:25.51 +  0.31,83.9 13.3,2
43,#31,Delaportas Giorgos  - Panaritis E. Ford Fiesta R2,C5 F2,7:52.97,+2:27.19 +  1.68,83.6 13.4,2
44,#118,Karagrigoris A.  - Karathanassis K. Toyota Corolla AE86,4,7:54.36,+2:28.58 +  1.39,83.3 13.5,2
45,#45,Vorrias Ioannis  - Bakas A. Mitsubishi Pajero,T1,8:04.76,+2:38.98 +  10.40,81.5 14.5,2
46,#116,Kotsopoulos A.  - Verikakis K. Volkswagen Golf II GTi,4 2000,8:11.08,+2:45.30 +  6.32,80.5 15.1,2
47,#121,Vassilopoulos P.  - Stathakos D. Ford Escort MK1,2,8:15.15,+2:49.37 +  4.07,79.8 15.4,2
48,#35,Papadopoulos Ioannis  - Ahtidas E. Peugeot 206 XS,C5 F2,8:23.67,+2:57.89 +  8.52,78.5 16.2,2
49,#112,Lambrou Karolos  - Kollias Ioannis Alpine-Renault A110 1300,1,8:25.71,+2:59.93 +  2.04,78.2 16.4,2
50,#42,Mitsias M.  - Petropoulos N. Renault Clio RS,C3 F2,8:27.92,+3:02.14 +  2.21,77.8 16.6,2
51,#120,Mathios Nikolaos  - Zelianeos L. Toyota Starlet 1300 KP61,3,10:08.55,+4:42.77 +  1:40.63,65.0 25.8,2
1,#2,Kehagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,7:28.75,,86.9,3
2,#5,Panteli Petros  - Laos Pambos Citroën DS3 R5,C1,7:56.42,+27.67 +  27.67,81.8 2.55,3
3,#7,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,8:07.13,+38.38 +  10.71,80.0 3.54,3
4,#6,Paradissis P.  - Fragkou M. Mitsubishi Lancer Evo IX,C2,8:15.75,+47.00 +  8.62,78.6 4.34,3
5,#20,Lefkaditis Savvas  - Akratos E. Peugeot 208 Rally4,C5 F2,8:30.37,+1:01.62 +  14.62,76.4 5.69,3
6,#27,Tsakalos Theodoros  - Kotronis A. Ford Fiesta R2,C5 F2,8:42.22,+1:13.47 +  11.85,74.7 6.78,3
7,#23,Sassos  - Vavas Theodoros Peugeot 206,C5 F2,8:43.59,+1:14.84 +  1.37,74.5 6.91,3
8,#12,Xanthakos M.  - Karathanassis N. Subaru Impreza STi N12,C2,8:46.08,+1:17.33 +  2.49,74.1 7.14,3
9,#18,Antoniou K.  - Bourazas E. Ford Escort MK2,C3 F2,8:57.94,+1:29.19 +  11.86,72.5 8.24,3
10,#22,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C5 F2,9:00.40,+1:31.65 +  2.46,72.1 8.46,3
11,#8,Davaris Nikos  - Makrinos Manolis Mitsubishi Lancer Evo IX,C2,9:02.15,+1:33.40 +  1.75,71.9 8.62,3
12,#26,Panoutsos T.  - Stavropoulos D. Ford Fiesta R2,C5 F2,9:05.71,+1:36.96 +  3.56,71.4 8.95,3
13,#9,Simetra  - Pallas Apostolos Mitsubishi Lancer Evo IX,C2,9:16.32,+1:47.57 +  10.61,70.1 9.93,3
14,#15,Lymperis A.  - Karagounis E. Subaru Impreza STi N12,C2,9:16.50,+1:47.75 +  0.18,70.1 9.95,3
15,#45,Vorrias Ioannis  - Bakas A. Mitsubishi Pajero,T1,9:21.10,+1:52.35 +  4.60,69.5 10.4,3
16,#44,Berssis Evangelos  - Kalfas P. Toyota Hilux,T1,9:21.90,+1:53.15 +  0.80,69.4 10.5,3
