,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
#40,Zeiringer Fabian  - Letz Angelika Opel Corsa Rally4  [SR],RC4,25:50.3,16:24.4,25:21.8,18:29.4,12:28.1,-,-,-,-
#41,Kramer A.  - Kvick Andersson J. Peugeot 208 Rally4,RC4,17:00.7,6:54.3,16:48.6,9:20.5,2:42.3,12:47.1,12:03.7,12:51.2,11:37.2
#44,Tiits Mark-Egert  - Viilo Jakko Ford Fiesta Rally4,RC4,16:28.4,6:40.6,15:48.6,8:48.1,2:40.7,11:54.0,10:59.8,11:50.7,10:37.0
#45,Kreuter Norman  - Seidl Anna-Maria Peugeot 208 Rally4,RC4,17:00.3,7:01.2,16:44.6,9:20.7,2:36.7,12:47.8,12:07.1,12:43.3,11:34.8
#46,Hangodi BendegÃºz  - Bunkoczi L. Peugeot 208 Rally4,RC4,16:38.0,6:45.4,16:13.0,9:00.6,2:28.9,12:16.0,11:01.7,12:15.6,10:32.8
#47,Kogure Hikaru  - Luhtinen T. Renault Clio Rally4,RC4,16:02.3,6:42.3,15:38.1,8:35.4,2:31.4,11:43.5,-,-,-
#48,Yamamoto Yuki  - Teiskonen Miika Renault Clio Rally4,RC4,15:50.3,6:34.9,15:28.5,8:36.2,2:29.0,11:47.3,11:04.5,12:04.0,-
#49,Otake Nao  - Salminen Marko Renault Clio Rally4,RC4,15:55.4,6:36.6,15:40.6,8:44.3,2:28.1,11:48.5,11:11.2,12:02.0,-
#5,Sesks MÄrtiÅÅ¡  - Francis R. Å koda Fabia RS Rally2,RC2,14:30.5,5:46.6,13:24.0,7:21.8,2:23.1,10:08.8,9:37.2,10:11.2,9:24.1
#50,Tiramani Christian  - Grimaldi F. Å koda Fabia R5,RC2,16:48.8,7:36.9,14:56.3,8:21.9,2:26.3,11:14.3,10:49.2,11:11.2,-
#51,Uger Sergey  - Uger Obolenskaya M. Ford Fiesta R5,RC2,16:47.6,7:02.8,16:13.0,8:55.2,2:53.6,12:08.2,11:27.8,11:51.1,10:59.3
#52,Mauro SÃ¡nchez A.  - Sanjuan de Eusebio D. Å koda Fabia Rally2 evo,RC2,15:42.3,6:33.9,15:21.3,8:37.1,2:29.1,11:21.5,11:15.4,11:15.0,10:19.4
#53,Terlecki Aleksander  - Szeja M. Å koda Fabia Rally2 evo,RC2,15:25.0,6:20.3,14:50.5,8:05.0,2:22.7,11:01.1,10:38.2,11:11.6,10:09.9
#54,Potiiko Serhii  - Mishyn Ivan Å koda Fabia Rally2-Kit,RC2,15:57.6,6:31.5,15:29.9,8:37.4,2:34.5,11:38.4,10:58.2,11:42.3,10:29.5
#55,Korzun Anton  - Kononov Pavlo Å koda Fabia Rally2-Kit,RC2,15:51.8,6:30.7,15:31.7,8:38.4,2:41.5,11:34.4,11:56.8,11:57.6,10:24.2
#56,Laskowski Hubert  - KuÅnierz M. Ford Fiesta Rally3,RC3,15:28.9,6:11.8,14:46.2,8:14.4,2:25.6,10:58.3,10:17.1,10:54.6,9:59.5
#57,Kelly Eamonn  - Mohan Conor Ford Fiesta Rally3,RC3,15:50.3,6:16.3,15:10.9,8:18.3,2:28.9,11:12.6,10:45.4,11:19.8,10:18.8
#58,Fontana Matteo  - Arena Nicola Peugeot 208 Rally4,RC4,16:16.9,6:39.9,15:52.4,8:55.8,2:29.9,11:48.9,11:06.1,11:48.0,10:40.7
#59,Schwarz Fabio  - Ettel Bernhard Ford Fiesta Rally4,RC4,-,-,-,-,-,12:06.3,-,-,-
#59,Schwarz Fabio  - Ettel Bernhard Ford Fiesta Rally4  [SR],RC4,25:50.3 [N],16:24.4 [N],25:21.8 [N],18:29.4 [N],12:28.1 [N],-,-,-,-
#6,Franceschi M.  - Escartefigue J. Å koda Fabia Rally2 evo,RC2,15:05.9,5:54.7,13:41.4,7:30.5,2:22.7,10:12.8,9:45.5,10:11.8,9:31.6
#60,Orgus Keiro  - Kraav Hendrik Ford Fiesta Rally4,RC4,16:49.3,6:54.6,16:09.9,8:58.7,-,12:12.7,11:18.9,12:19.5,11:38.1
#60,Orgus Keiro  - Kraav Hendrik Ford Fiesta Rally4  [SR],RC4,-,-,-,-,12:28.1 [N],-,-,-,-
#61,Zakmans Ilja  - Å½akmane Estere Mitsubishi Lancer Evo X,RC2,16:50.5,6:57.8,16:13.4,31:00.2,2:49.3,12:37.9,11:57.3,12:38.3,11:24.9
#7,HeikkilÃ¤ Mikko  - Vaaleri Samu Å koda Fabia Rally2 evo,RC2,15:04.2,5:53.0,13:38.1,7:22.2,2:25.0,10:09.1,9:41.5,10:08.6,9:34.1
#8,LinnamÃ¤e Georg  - Morgan James Hyundai i20 N Rally2,RC2,14:57.0,5:54.3,13:44.0 [N],7:25.4,2:24.1,10:24.0,9:47.4,10:24.1,9:38.5
#9,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,15:06.4,5:52.7,13:45.1,7:28.7,2:19.9,10:09.7,9:46.7,10:15.4,9:26.6
