0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,3,4,5,6,7,8,9,10
No.,Crew,Group,Race,,,,,,,,,
36,Andersson ,RC4,Latvia,00:18:01.4,00:06:44.2,00:16:20.3,00:09:05.6,00:02:31.8,00:12:26.7,00:11:14.7,00:12:48.5,00:11:49.2
37,Vaher  Jas,RC4,Latvia,00:16:06.4,00:06:24.4,00:15:25.6,00:08:29.4,-,-,-,-,-
38,Sei  Karl-,RC4,Latvia,00:19:21.3,00:06:33.6,00:15:31.2,00:08:39.4,00:02:33.2,00:12:08.1,00:11:04.8,-,-
39,Noller  Re,RC4,Latvia,00:16:46.3,00:06:47.0,00:16:25.9,00:09:09.6,00:02:42.8,00:12:34.6,00:11:35.0,00:13:01.9,00:14:10.1
40,Zeiringer ,RC4,Latvia,00:25:50.3,00:16:24.4,00:25:21.8,00:18:29.4,00:12:28.1,-,-,-,-
41,Kramer  A.,RC4,Latvia,00:17:00.7,00:06:54.3,00:16:48.6,00:09:20.5,00:02:42.3,00:12:47.1,00:12:03.7,00:12:51.2,00:11:37.2
44,Tiits  M. ,RC4,Latvia,00:16:28.4,00:06:40.6,00:15:48.6,00:08:48.1,00:02:40.7,00:11:54.0,00:10:59.8,00:11:50.7,00:10:37.0
45,Kreuter  N,RC4,Latvia,00:17:00.3,00:07:01.2,00:16:44.6,00:09:20.7,00:02:36.7,00:12:47.8,00:12:07.1,00:12:43.3,00:11:34.8
46,Hangodi  B,RC4,Latvia,00:16:38.0,00:06:45.4,00:16:13.0,00:09:00.6,00:02:28.9,00:12:16.0,00:11:01.7,00:12:15.6,00:10:32.8
47,Kogure  Hi,RC4,Latvia,00:16:02.3,00:06:42.3,00:15:38.1,00:08:35.4,00:02:31.4,00:11:43.5,-,-,-
48,Yamamoto  ,RC4,Latvia,00:15:50.3,00:06:34.9,00:15:28.5,00:08:36.2,00:02:29.0,00:11:47.3,00:11:04.5,00:12:04.0,-
49,Otake  Nao,RC4,Latvia,00:15:55.4,00:06:36.6,00:15:40.6,00:08:44.3,00:02:28.1,00:11:48.5,00:11:11.2,00:12:02.0,-
50,Tiramani  ,RC2,Latvia,00:16:48.8,00:07:36.9,00:14:56.3,00:08:21.9,00:02:26.3,00:11:14.3,00:10:49.2,00:11:11.2,-
51,Uger  Serg,RC2,Latvia,00:16:47.6,00:07:02.8,00:16:13.0,00:08:55.2,00:02:53.6,00:12:08.2,00:11:27.8,00:11:51.1,00:10:59.3
