,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#32,Parys Piotr  - Syty Damian Ford Fiesta Rally3  [SR],RC3 3,-,-,-,-,20:27.7 [N],17:11.2 [N],19:26.7 [N],11:51.4 [N],-,-,-,-,-,-,-,-
#33,Matulka Jakub  - Dymurski Daniel Ford Fiesta Rally3,RC3 3,1:56.9,10:57.2,7:28.5,9:13.7,11:13.0,7:36.8,9:26.7,1:52.4,5:50.7,12:57.1,10:12.9,7:14.9,5:59.8,7:26.4,4:07.4,6:12.8
#34,Soria P.  - Coronado Jiménez A. Renault Clio Rally3,RC3,1:56.5,10:39.8,10:13.8,9:06.1,10:58.5,7:27.5,-,-,-,-,-,-,-,-,-,-
#35,Daprà Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,2:02.3,11:29.9,7:45.9,9:29.7,11:53.3,7:46.7,9:35.9,2:02.3,6:07.5,7:28.2,6:16.4,4:09.6,6:19.6,7:30.2,4:18.7,6:24.9
#36,Jalava Miko  - Hokkanen Riikka Ford Fiesta Rally4,RC4,2:06.4,11:47.1,7:55.3,9:48.1,11:50.6,7:53.5,9:43.2,2:03.7,6:08.3,7:53.9,6:38.4,4:15.9,6:37.1,8:04.8,4:28.1,6:37.4
#37,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,2:01.9,11:46.4,7:53.6,9:44.4,12:20.6,8:02.9,9:43.5,2:02.3,10:35.8,7:38.4,6:18.2,4:07.4,6:31.5,7:31.5,4:14.1,6:20.8
#38,Andersson Simon  - Jönsson J. Peugeot 208 Rally4,RC4,2:03.9,11:32.7,7:50.2,9:33.5,-,-,-,-,-,-,-,-,-,-,-,-
#39,Hansen Victor  - Johansson Victor Peugeot 208 Rally4,RC4,2:06.6,11:34.4,7:46.8,9:30.1,11:33.0 [N],7:41.6,9:41.7,2:03.0,6:03.5,7:32.4,6:10.6,4:03.4,6:16.9,7:33.6,4:16.7,6:26.9
#4,Kristensson Tom  - Johansson A. Citroën C3 Rally2,RC2,1:49.8,13:13.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#40,Herczig Patrik  - Varga Kristóf Peugeot 208 Rally4,RC4,2:02.6,11:27.2,7:50.3,9:35.8,-,-,-,-,6:19.1,7:47.2,6:30.2,4:14.8,6:42.2,7:46.4,4:25.4,6:26.8
#40,Herczig Patrik  - Varga Kristóf Peugeot 208 Rally4  [SR],RC4,-,-,-,-,21:21.2 [N],17:39.1 [N],19:27.0 [N],12:00.1 [N],-,-,-,-,-,-,-,-
#41,Johansson Mille  - Grönvall Johan Ford Fiesta Rally4,RC4,2:01.5,11:36.3,7:47.4,9:30.7,12:34.3,7:46.2,9:32.0,2:02.1,6:05.9,8:05.2,6:19.1,4:08.3,-,-,-,-
#42,Kramer A.  - Kvick Andersson J. Peugeot 208 Rally4,RC4,2:04.7,12:22.2,8:09.4,10:06.0,12:29.4,8:11.5,10:16.3,2:01.8,6:41.1,-,-,-,-,-,-,-
